CAN Message; 0x1d3:0000c33116568b7d
Timestamp;Amplitude
1739209716.3062267;-38.13080360867914
1739209716.3062344;-45.120503652039325
1739209716.306242;-38.13080360867914
1739209716.3062496;-31.141103565318915
1739209716.3062572;-27.267205301931607
1739209716.3062649;-45.120503652039325
1739209716.3062725;-38.13080360867914
1739209716.3062801;-45.120503652039325
1739209716.306288;-38.13080360867914
1739209716.3062956;-45.120503652039325
1739209716.3063033;-45.120503652039325
1739209716.306311;-38.13080360867914
1739209716.3063185;-35.57807855764607
1739209716.3063262;-45.120503652039325
1739209716.3063338;-38.13080360867914
1739209716.3063414;-38.13080360867914
1739209716.306349;-38.13080360867914
1739209716.3063567;-45.120503652039325
1739209716.3063643;-45.120503652039325
1739209716.306372;-38.13080360867914
1739209716.3063796;-33.981070128970906
1739209716.3063872;-35.57807855764607
1739209716.3063948;-38.13080360867914
1739209716.3064024;-38.13080360867914
1739209716.3064103;-38.13080360867914
1739209716.306418;-45.120503652039325
1739209716.3064256;-38.13080360867914
1739209716.3064332;-45.120503652039325
1739209716.3064408;-33.981070128970906
1739209716.3064485;-45.120503652039325
1739209716.306456;-38.13080360867914
1739209716.3064637;-38.13080360867914
1739209716.3064713;-38.13080360867914
1739209716.306479;-38.13080360867914
1739209716.3064866;-45.120503652039325
1739209716.3064942;-45.120503652039325
1739209716.3065019;-28.58837851428586
1739209716.3065095;-38.13080360867914
1739209716.3065171;-38.13080360867914
1739209716.3065248;-45.120503652039325
1739209716.3065324;-38.13080360867914
1739209716.3065403;-45.120503652039325
1739209716.3065479;-45.120503652039325
1739209716.3065555;-45.120503652039325
1739209716.3065631;-30.49652367304973
1739209716.3065708;-38.13080360867914
1739209716.3065784;-38.13080360867914
1739209716.306586;-45.120503652039325
1739209716.3065937;-38.13080360867914
1739209716.3066013;-35.57807855764607
1739209716.306609;-35.57807855764607
1739209716.3066165;-45.120503652039325
1739209716.3066242;-33.981070128970906
1739209716.3066318;-32.816014438256545
1739209716.3066394;-45.120503652039325
1739209716.306647;-45.120503652039325
1739209716.3066547;-45.120503652039325
1739209716.3066626;-45.120503652039325
1739209716.3066702;-45.120503652039325
1739209716.3066778;-45.120503652039325
1739209716.3066854;-38.13080360867914
1739209716.306693;-45.120503652039325
1739209716.3067007;-38.13080360867914
1739209716.3067083;-45.120503652039325
1739209716.306716;-33.981070128970906
1739209716.3067236;-45.120503652039325
1739209716.3067312;-38.13080360867914
1739209716.3067389;-45.120503652039325
1739209716.3067465;-38.13080360867914
1739209716.306754;-35.57807855764607
1739209716.3067617;-38.13080360867914
1739209716.3067694;-45.120503652039325
1739209716.306777;-45.120503652039325
