CAN Message; 0x39:0f8401984af7bd14
Timestamp;Amplitude
1739209836.513587;-38.13080360867914
1739209836.5135958;-45.120503652039325
1739209836.5136049;-45.120503652039325
1739209836.5136137;-45.120503652039325
1739209836.5136228;-38.13080360867914
1739209836.5136316;-38.13080360867914
1739209836.5136406;-32.816014438256545
1739209836.5136495;-38.13080360867914
1739209836.5136585;-45.120503652039325
1739209836.5136673;-38.13080360867914
1739209836.5136764;-45.120503652039325
1739209836.5136852;-38.13080360867914
1739209836.5136943;-35.57807855764607
1739209836.513703;-38.13080360867914
1739209836.5137122;-45.120503652039325
1739209836.5137212;-38.13080360867914
1739209836.51373;-35.57807855764607
1739209836.513739;-38.13080360867914
1739209836.513748;-45.120503652039325
1739209836.513757;-38.13080360867914
1739209836.5137658;-38.13080360867914
1739209836.5137749;-33.981070128970906
1739209836.5137837;-45.120503652039325
1739209836.5137928;-45.120503652039325
1739209836.5138016;-38.13080360867914
1739209836.5138106;-38.13080360867914
1739209836.5138195;-45.120503652039325
1739209836.5138285;-45.120503652039325
1739209836.5138373;-38.13080360867914
1739209836.5138464;-38.13080360867914
1739209836.5138552;-38.13080360867914
1739209836.5138643;-30.49652367304973
1739209836.5138733;-45.120503652039325
1739209836.5138822;-38.13080360867914
1739209836.5138912;-38.13080360867914
1739209836.5139;-38.13080360867914
1739209836.513909;-45.120503652039325
1739209836.513918;-35.57807855764607
1739209836.513927;-45.120503652039325
1739209836.5139358;-38.13080360867914
1739209836.5139449;-38.13080360867914
1739209836.5139537;-38.13080360867914
1739209836.5139627;-45.120503652039325
1739209836.5139716;-45.120503652039325
1739209836.5139806;-38.13080360867914
1739209836.5139894;-45.120503652039325
1739209836.5139985;-38.13080360867914
1739209836.5140076;-28.992665084841942
1739209836.5140164;-45.120503652039325
1739209836.5140254;-38.13080360867914
1739209836.5140343;-38.13080360867914
1739209836.5140433;-38.13080360867914
1739209836.5140522;-45.120503652039325
1739209836.5140612;-38.13080360867914
1739209836.51407;-38.13080360867914
1739209836.514079;-38.13080360867914
1739209836.514088;-38.13080360867914
1739209836.514097;-38.13080360867914
1739209836.5141058;-38.13080360867914
1739209836.5141149;-33.981070128970906
1739209836.5141237;-45.120503652039325
1739209836.5141327;-45.120503652039325
1739209836.5141418;-45.120503652039325
1739209836.5141506;-38.13080360867914
1739209836.5141597;-38.13080360867914
1739209836.5141685;-38.13080360867914
1739209836.5141776;-45.120503652039325
1739209836.5141864;-45.120503652039325
1739209836.5141954;-45.120503652039325
1739209836.5142043;-45.120503652039325
1739209836.5142133;-35.57807855764607
1739209836.5142221;-33.981070128970906
1739209836.5142312;-45.120503652039325
1739209836.51424;-45.120503652039325
1739209836.514249;-38.13080360867914
1739209836.514258;-32.816014438256545
1739209836.514267;-33.981070128970906
1739209836.514276;-45.120503652039325
1739209836.5142848;-45.120503652039325
1739209836.514294;-38.13080360867914
1739209836.5143027;-38.13080360867914
1739209836.5143118;-38.13080360867914
1739209836.5143206;-45.120503652039325
1739209836.5143297;-45.120503652039325
