CAN Message; 0x1a7:0000706a3debbeb3
Timestamp;Amplitude
1739209740.7261155;-38.13080360867914
1739209740.7261276;-32.816014438256545
1739209740.72614;-45.120503652039325
1739209740.7261522;-45.120503652039325
1739209740.7261646;-33.981070128970906
1739209740.7261767;-45.120503652039325
1739209740.7261891;-45.120503652039325
1739209740.7262015;-32.816014438256545
1739209740.7262137;-45.120503652039325
1739209740.726226;-45.120503652039325
1739209740.7262383;-45.120503652039325
1739209740.7262506;-38.13080360867914
1739209740.7262628;-38.13080360867914
1739209740.7262752;-45.120503652039325
1739209740.7262876;-33.981070128970906
1739209740.7262998;-35.57807855764607
1739209740.7263122;-38.13080360867914
1739209740.7263243;-38.13080360867914
1739209740.7263367;-33.981070128970906
1739209740.7263489;-32.816014438256545
1739209740.7263613;-32.816014438256545
1739209740.7263734;-45.120503652039325
1739209740.7263858;-33.981070128970906
1739209740.7263982;-28.21854285175415
1739209740.7264104;-45.120503652039325
1739209740.7264228;-45.120503652039325
1739209740.726435;-38.13080360867914
1739209740.7264473;-35.57807855764607
1739209740.7264595;-38.13080360867914
1739209740.726472;-45.120503652039325
1739209740.7264843;-45.120503652039325
1739209740.7264965;-38.13080360867914
1739209740.7265089;-35.57807855764607
1739209740.726521;-38.13080360867914
1739209740.7265334;-38.13080360867914
1739209740.7265456;-35.57807855764607
1739209740.726558;-38.13080360867914
1739209740.7265704;-45.120503652039325
1739209740.7265825;-33.981070128970906
1739209740.726595;-38.13080360867914
1739209740.726607;-45.120503652039325
1739209740.7266195;-38.13080360867914
1739209740.7266316;-45.120503652039325
1739209740.726644;-38.13080360867914
1739209740.7266564;-38.13080360867914
1739209740.7266686;-45.120503652039325
1739209740.726681;-45.120503652039325
1739209740.7266932;-45.120503652039325
1739209740.7267056;-38.13080360867914
1739209740.7267177;-38.13080360867914
1739209740.72673;-45.120503652039325
1739209740.7267425;-45.120503652039325
1739209740.7267547;-45.120503652039325
1739209740.726767;-33.981070128970906
1739209740.7267792;-38.13080360867914
1739209740.7267916;-45.120503652039325
1739209740.7268038;-45.120503652039325
1739209740.7268162;-33.981070128970906
1739209740.7268283;-38.13080360867914
1739209740.7268407;-45.120503652039325
1739209740.7268531;-35.57807855764607
1739209740.7268653;-45.120503652039325
1739209740.7268777;-45.120503652039325
1739209740.7268898;-38.13080360867914
1739209740.7269022;-33.981070128970906
1739209740.7269144;-45.120503652039325
1739209740.7269268;-38.13080360867914
1739209740.7269392;-35.57807855764607
1739209740.7269514;-45.120503652039325
1739209740.7269638;-38.13080360867914
1739209740.726976;-38.13080360867914
1739209740.7269883;-35.57807855764607
1739209740.7270005;-38.13080360867914
1739209740.7270129;-35.57807855764607
1739209740.7270253;-38.13080360867914
1739209740.7270374;-45.120503652039325
1739209740.7270498;-45.120503652039325
1739209740.727062;-35.57807855764607
1739209740.7270744;-38.13080360867914
1739209740.7270865;-45.120503652039325
1739209740.727099;-45.120503652039325
1739209740.7271113;-45.120503652039325
1739209740.7271235;-38.13080360867914
1739209740.727136;-38.13080360867914
1739209740.727148;-38.13080360867914
1739209740.7271605;-33.981070128970956
1739209740.7271726;-38.13080360867914
1739209740.727185;-35.57807855764607
1739209740.7271972;-45.120503652039325
1739209740.7272096;-38.13080360867914
1739209740.727222;-45.120503652039325
1739209740.7272341;-38.13080360867914
1739209740.7272465;-45.120503652039325
1739209740.7272587;-28.992665084841942
1739209740.727271;-33.981070128970906
1739209740.7272832;-33.981070128970906
1739209740.7272956;-45.120503652039325
1739209740.727308;-45.120503652039325
1739209740.7273202;-33.981070128970906
1739209740.7273326;-35.57807855764607
1739209740.7273448;-38.13080360867914
1739209740.7273571;-33.981070128970956
