CAN Message; 0x24:00f62b7098fb4a7c
Timestamp;Amplitude
1739209798.00269;-45.120503652039325
1739209798.0026948;-32.816014438256545
1739209798.0026994;-38.13080360867914
1739209798.002704;-38.13080360867914
1739209798.0027087;-38.13080360867914
1739209798.0027132;-38.13080360867914
1739209798.002718;-45.120503652039325
1739209798.0027225;-45.120503652039325
1739209798.002727;-45.120503652039325
1739209798.0027318;-45.120503652039325
1739209798.0027363;-45.120503652039325
1739209798.0027409;-45.120503652039325
1739209798.0027456;-38.13080360867914
1739209798.0027502;-45.120503652039325
1739209798.002755;-45.120503652039325
1739209798.0027595;-35.57807855764607
1739209798.002764;-38.13080360867914
1739209798.0027688;-45.120503652039325
1739209798.0027733;-45.120503652039325
1739209798.0027778;-38.13080360867914
1739209798.0027826;-38.13080360867914
1739209798.002787;-32.816014438256545
1739209798.002792;-35.57807855764607
1739209798.0027964;-38.13080360867914
1739209798.002801;-38.13080360867914
1739209798.0028057;-38.13080360867914
1739209798.0028102;-38.13080360867914
1739209798.0028148;-38.13080360867914
1739209798.0028195;-38.13080360867914
1739209798.002824;-45.120503652039325
1739209798.0028286;-45.120503652039325
1739209798.0028334;-38.13080360867914
1739209798.002838;-35.57807855764607
1739209798.0028427;-38.13080360867914
1739209798.0028472;-45.120503652039325
1739209798.0028517;-38.13080360867914
1739209798.0028565;-45.120503652039325
1739209798.002861;-45.120503652039325
1739209798.0028656;-45.120503652039325
1739209798.0028703;-45.120503652039325
1739209798.0028749;-45.120503652039325
1739209798.0028796;-29.438486411369333
1739209798.0028841;-32.816014438256545
1739209798.0028887;-38.13080360867914
1739209798.0028934;-45.120503652039325
1739209798.002898;-32.816014438256545
1739209798.0029025;-32.816014438256545
1739209798.0029073;-45.120503652039325
1739209798.0029118;-45.120503652039325
1739209798.0029166;-38.13080360867914
1739209798.002921;-38.13080360867914
1739209798.0029256;-45.120503652039325
1739209798.0029304;-45.120503652039325
1739209798.002935;-35.57807855764607
1739209798.0029395;-32.816014438256545
1739209798.0029442;-45.120503652039325
1739209798.0029488;-38.13080360867914
1739209798.0029533;-45.120503652039325
1739209798.002958;-45.120503652039325
1739209798.0029626;-38.13080360867914
1739209798.0029674;-45.120503652039325
1739209798.002972;-45.120503652039325
1739209798.0029764;-45.120503652039325
1739209798.0029812;-38.13080360867914
1739209798.0029857;-45.120503652039325
1739209798.0029902;-33.981070128970906
1739209798.002995;-30.49652367304973
1739209798.0029995;-45.120503652039325
1739209798.0030043;-45.120503652039325
1739209798.0030088;-45.120503652039325
1739209798.0030134;-45.120503652039325
1739209798.0030181;-45.120503652039325
1739209798.0030227;-45.120503652039325
1739209798.0030272;-45.120503652039325
1739209798.003032;-45.120503652039325
1739209798.0030365;-45.120503652039325
1739209798.003041;-45.120503652039325
1739209798.0030458;-45.120503652039325
1739209798.0030503;-38.13080360867914
1739209798.003055;-45.120503652039325
1739209798.0030596;-45.120503652039325
1739209798.0030642;-38.13080360867914
1739209798.003069;-45.120503652039325
1739209798.0030735;-38.13080360867914
1739209798.003078;-38.13080360867914
1739209798.0030828;-45.120503652039325
1739209798.0030873;-45.120503652039325
1739209798.003092;-38.13080360867914
1739209798.0030966;-38.13080360867914
1739209798.003101;-38.13080360867914
1739209798.0031059;-35.57807855764607
1739209798.0031104;-38.13080360867914
1739209798.003115;-38.13080360867914
1739209798.0031197;-45.120503652039325
1739209798.0031242;-38.13080360867914
1739209798.003129;-33.981070128970906
1739209798.0031335;-33.981070128970906
1739209798.003138;-45.120503652039325
1739209798.0031428;-38.13080360867914
1739209798.0031474;-45.120503652039325
1739209798.003152;-45.120503652039325
1739209798.0031567;-45.120503652039325
1739209798.0031612;-38.13080360867914
1739209798.0031657;-45.120503652039325
1739209798.0031705;-45.120503652039325
1739209798.003175;-45.120503652039325
1739209798.0031798;-45.120503652039325
1739209798.0031843;-38.13080360867914
1739209798.0031888;-38.13080360867914
1739209798.0031936;-38.13080360867914
1739209798.0031981;-45.120503652039325
1739209798.0032027;-38.13080360867914
1739209798.0032074;-45.120503652039325
1739209798.003212;-38.13080360867914
1739209798.0032167;-31.141103565318893
1739209798.0032213;-38.13080360867914
1739209798.0032258;-45.120503652039325
1739209798.0032306;-45.120503652039325
1739209798.003235;-33.981070128970906
1739209798.0032396;-45.120503652039325
1739209798.0032444;-45.120503652039325
1739209798.003249;-33.981070128970906
1739209798.0032537;-33.981070128970906
1739209798.0032582;-38.13080360867914
1739209798.0032628;-45.120503652039325
1739209798.0032675;-45.120503652039325
1739209798.003272;-33.981070128970906
1739209798.0032766;-38.13080360867914
1739209798.0032814;-45.120503652039325
1739209798.003286;-45.120503652039325
1739209798.0032904;-33.981070128970906
1739209798.0032952;-38.13080360867914
1739209798.0032997;-45.120503652039325
1739209798.0033045;-32.816014438256545
1739209798.003309;-38.13080360867914
1739209798.0033135;-45.120503652039325
1739209798.0033183;-38.13080360867914
1739209798.0033228;-38.13080360867914
1739209798.0033274;-33.981070128970906
1739209798.0033321;-31.141103565318915
1739209798.0033367;-45.120503652039325
1739209798.0033414;-35.57807855764607
1739209798.003346;-35.57807855764607
1739209798.0033505;-38.13080360867914
1739209798.0033553;-45.120503652039325
1739209798.0033598;-45.120503652039325
1739209798.0033643;-33.981070128970906
1739209798.003369;-35.57807855764607
1739209798.0033736;-38.13080360867914
1739209798.0033784;-45.120503652039325
1739209798.003383;-38.13080360867914
1739209798.0033875;-35.57807855764607
1739209798.0033922;-35.57807855764607
1739209798.0033967;-45.120503652039325
1739209798.0034013;-45.120503652039325
1739209798.003406;-38.13080360867914
1739209798.0034106;-45.120503652039325
1739209798.003415;-35.57807855764607
1739209798.0034199;-38.13080360867914
1739209798.0034244;-38.13080360867914
1739209798.0034292;-35.57807855764607
1739209798.0034337;-45.120503652039325
1739209798.0034382;-38.13080360867914
1739209798.003443;-27.267205301931607
1739209798.0034475;-45.120503652039325
1739209798.003452;-45.120503652039325
1739209798.0034568;-38.13080360867914
1739209798.0034614;-33.981070128970906
1739209798.0034661;-38.13080360867914
1739209798.0034707;-38.13080360867914
1739209798.0034752;-38.13080360867914
1739209798.00348;-32.81601443825658
1739209798.0034845;-45.120503652039325
1739209798.003489;-45.120503652039325
1739209798.0034938;-45.120503652039325
1739209798.0034983;-38.13080360867914
1739209798.003503;-38.13080360867914
1739209798.0035076;-45.120503652039325
1739209798.0035121;-38.13080360867914
1739209798.003517;-33.981070128970906
1739209798.0035214;-45.120503652039325
1739209798.003526;-45.120503652039325
1739209798.0035307;-45.120503652039325
1739209798.0035353;-45.120503652039325
1739209798.0035398;-45.120503652039325
1739209798.0035446;-38.13080360867914
1739209798.003549;-38.13080360867914
1739209798.0035539;-35.57807855764607
1739209798.0035584;-45.120503652039325
1739209798.003563;-45.120503652039325
1739209798.0035677;-38.13080360867914
1739209798.0035722;-38.13080360867914
1739209798.0035768;-45.120503652039325
1739209798.0035815;-32.816014438256545
1739209798.003586;-35.57807855764607
1739209798.0035908;-45.120503652039325
1739209798.0035954;-45.120503652039325
1739209798.0036;-35.57807855764607
1739209798.0036047;-38.13080360867914
1739209798.0036092;-45.120503652039325
1739209798.0036137;-38.13080360867914
1739209798.0036185;-38.13080360867914
1739209798.003623;-38.13080360867914
1739209798.0036278;-35.57807855764607
1739209798.0036323;-38.13080360867914
1739209798.0036368;-38.13080360867914
1739209798.0036416;-35.57807855764607
1739209798.0036461;-45.120503652039325
1739209798.0036507;-45.120503652039325
1739209798.0036554;-35.57807855764607
1739209798.00366;-45.120503652039325
1739209798.0036645;-45.120503652039325
1739209798.0036693;-38.13080360867914
1739209798.0036738;-45.120503652039325
1739209798.0036786;-38.13080360867914
1739209798.003683;-35.57807855764607
1739209798.0036876;-45.120503652039325
1739209798.0036924;-35.57807855764607
1739209798.003697;-38.13080360867914
1739209798.0037014;-45.120503652039325
1739209798.0037062;-35.57807855764607
1739209798.0037107;-45.120503652039325
1739209798.0037155;-38.13080360867914
1739209798.00372;-45.120503652039325
1739209798.0037246;-38.13080360867914
1739209798.0037293;-45.120503652039325
