CAN Message; 0x1b8:0200f680bdcf567d
Timestamp;Amplitude
1739209907.7493184;-38.13080360867914
1739209907.7493246;-35.57807855764607
1739209907.7493308;-45.120503652039325
1739209907.749337;-33.981070128970956
1739209907.7493434;-45.120503652039325
1739209907.7493496;-38.13080360867914
1739209907.7493558;-45.120503652039325
1739209907.749362;-45.120503652039325
1739209907.7493682;-38.13080360867914
1739209907.7493744;-35.57807855764607
1739209907.7493806;-38.13080360867914
1739209907.7493868;-31.141103565318915
1739209907.749393;-35.57807855764607
1739209907.7493992;-45.120503652039325
1739209907.7494056;-38.13080360867914
1739209907.7494118;-38.13080360867914
1739209907.749418;-38.13080360867914
1739209907.7494242;-35.57807855764607
1739209907.7494304;-35.57807855764607
1739209907.7494366;-45.120503652039325
1739209907.7494428;-38.13080360867914
1739209907.749449;-35.57807855764607
1739209907.7494552;-45.120503652039325
1739209907.7494614;-45.120503652039325
1739209907.7494678;-38.13080360867914
1739209907.749474;-35.57807855764607
1739209907.7494802;-38.13080360867914
1739209907.7494864;-45.120503652039325
1739209907.7494926;-35.57807855764607
1739209907.7494988;-35.57807855764607
1739209907.749505;-38.13080360867914
1739209907.7495112;-45.120503652039325
1739209907.7495174;-38.13080360867914
1739209907.7495236;-32.816014438256545
1739209907.74953;-38.13080360867914
1739209907.7495363;-38.13080360867914
1739209907.7495425;-33.981070128970906
1739209907.7495487;-35.57807855764607
1739209907.7495549;-45.120503652039325
1739209907.749561;-45.120503652039325
1739209907.7495673;-33.981070128970906
1739209907.7495735;-45.120503652039325
1739209907.7495797;-38.13080360867914
1739209907.7495859;-35.57807855764607
1739209907.7495923;-38.13080360867914
1739209907.7495985;-45.120503652039325
1739209907.7496047;-38.13080360867914
1739209907.749611;-45.120503652039325
1739209907.749617;-45.120503652039325
1739209907.7496233;-33.981070128970906
1739209907.7496295;-45.120503652039325
1739209907.7496357;-38.13080360867914
1739209907.749642;-35.57807855764607
1739209907.749648;-35.57807855764607
1739209907.7496545;-38.13080360867914
1739209907.7496607;-45.120503652039325
1739209907.749667;-33.981070128970906
1739209907.7496731;-38.13080360867914
1739209907.7496793;-45.120503652039325
1739209907.7496855;-38.13080360867914
1739209907.7496917;-38.13080360867914
1739209907.749698;-45.120503652039325
1739209907.7497041;-45.120503652039325
1739209907.7497103;-45.120503652039325
1739209907.7497168;-45.120503652039325
1739209907.749723;-38.13080360867914
1739209907.7497292;-38.13080360867914
1739209907.7497354;-45.120503652039325
1739209907.7497416;-45.120503652039325
1739209907.7497478;-38.13080360867914
1739209907.749754;-45.120503652039325
1739209907.7497602;-38.13080360867914
1739209907.7497663;-38.13080360867914
1739209907.7497725;-38.13080360867914
1739209907.749779;-38.13080360867914
1739209907.7497852;-38.13080360867914
1739209907.7497914;-32.816014438256545
1739209907.7497976;-38.13080360867914
1739209907.7498038;-38.13080360867914
1739209907.74981;-45.120503652039325
1739209907.7498162;-35.57807855764607
1739209907.7498224;-38.13080360867914
1739209907.7498286;-45.120503652039325
1739209907.7498348;-45.120503652039325
1739209907.7498412;-45.120503652039325
1739209907.7498474;-38.13080360867914
1739209907.7498536;-38.13080360867914
1739209907.7498598;-38.13080360867914
1739209907.749866;-38.13080360867914
1739209907.7498722;-38.13080360867914
1739209907.7498784;-38.13080360867914
1739209907.7498846;-38.13080360867914
1739209907.7498908;-32.816014438256545
1739209907.749897;-32.816014438256545
1739209907.7499034;-45.120503652039325
1739209907.7499096;-45.120503652039325
1739209907.7499158;-35.57807855764607
1739209907.749922;-35.57807855764607
1739209907.7499282;-45.120503652039325
1739209907.7499344;-38.13080360867914
1739209907.7499406;-45.120503652039325
1739209907.7499468;-38.13080360867914
1739209907.749953;-38.13080360867914
1739209907.7499592;-45.120503652039325
1739209907.7499657;-38.13080360867914
1739209907.7499719;-33.981070128970906
1739209907.749978;-38.13080360867914
1739209907.7499843;-45.120503652039325
1739209907.7499905;-30.49652367304973
