CAN Message; 0x150:0600c9c5cf73a940
Timestamp;Amplitude
1739209756.6221356;-38.13080360867914
1739209756.6221418;-45.120503652039325
1739209756.6221478;-45.120503652039325
1739209756.622154;-38.13080360867914
1739209756.6221602;-45.120503652039325
1739209756.6221664;-45.120503652039325
1739209756.6221724;-45.120503652039325
1739209756.6221786;-45.120503652039325
1739209756.6221848;-38.13080360867914
1739209756.622191;-38.13080360867914
1739209756.622197;-45.120503652039325
1739209756.622203;-35.57807855764607
1739209756.6222093;-38.13080360867914
1739209756.6222155;-45.120503652039325
1739209756.6222215;-45.120503652039325
1739209756.6222277;-38.13080360867914
1739209756.6222339;-33.981070128970906
1739209756.62224;-38.13080360867914
1739209756.622246;-45.120503652039325
1739209756.6222522;-45.120503652039325
1739209756.6222584;-35.57807855764607
1739209756.6222646;-45.120503652039325
1739209756.6222706;-45.120503652039325
1739209756.6222768;-45.120503652039325
1739209756.622283;-38.13080360867914
1739209756.6222892;-38.13080360867914
1739209756.6222951;-45.120503652039325
1739209756.6223013;-45.120503652039325
1739209756.6223075;-35.57807855764607
1739209756.6223137;-38.13080360867914
1739209756.6223197;-38.13080360867914
1739209756.622326;-38.13080360867914
1739209756.622332;-45.120503652039325
1739209756.6223383;-38.13080360867914
1739209756.6223443;-45.120503652039325
1739209756.6223505;-38.13080360867914
1739209756.6223567;-35.57807855764607
1739209756.6223629;-45.120503652039325
1739209756.6223688;-38.13080360867914
1739209756.622375;-33.981070128970906
1739209756.6223812;-38.13080360867914
1739209756.6223874;-38.13080360867914
1739209756.6223936;-35.57807855764607
1739209756.6223996;-38.13080360867914
1739209756.6224058;-45.120503652039325
1739209756.622412;-38.13080360867914
1739209756.6224182;-35.57807855764607
1739209756.6224241;-38.13080360867914
1739209756.6224303;-45.120503652039325
1739209756.6224365;-45.120503652039325
1739209756.6224427;-38.13080360867914
1739209756.6224487;-38.13080360867914
1739209756.622455;-38.13080360867914
1739209756.622461;-45.120503652039325
1739209756.6224673;-35.57807855764607
1739209756.6224732;-35.57807855764607
1739209756.6224794;-38.13080360867914
1739209756.6224856;-45.120503652039325
1739209756.6224918;-38.13080360867914
1739209756.6224978;-38.13080360867914
1739209756.622504;-38.13080360867914
1739209756.6225102;-38.13080360867914
1739209756.6225164;-32.816014438256545
1739209756.6225224;-33.981070128970906
1739209756.6225286;-38.13080360867914
1739209756.6225348;-38.13080360867914
1739209756.622541;-35.57807855764607
1739209756.622547;-38.13080360867914
1739209756.622553;-38.13080360867914
1739209756.6225593;-38.13080360867914
1739209756.6225655;-35.57807855764607
1739209756.6225715;-38.13080360867914
1739209756.6225777;-45.120503652039325
1739209756.6225839;-38.13080360867914
1739209756.62259;-38.13080360867914
1739209756.622596;-38.13080360867914
1739209756.6226022;-26.487275050834715
1739209756.6226084;-38.13080360867914
1739209756.6226146;-45.120503652039325
1739209756.6226206;-38.13080360867914
1739209756.6226268;-38.13080360867914
1739209756.622633;-38.13080360867914
1739209756.6226392;-45.120503652039325
1739209756.6226451;-45.120503652039325
1739209756.6226513;-45.120503652039325
1739209756.6226575;-38.13080360867914
1739209756.6226637;-45.120503652039325
1739209756.62267;-38.13080360867914
1739209756.622676;-38.13080360867914
1739209756.622682;-45.120503652039325
1739209756.6226883;-45.120503652039325
1739209756.6226945;-38.13080360867914
1739209756.6227005;-35.57807855764607
1739209756.6227067;-38.13080360867914
1739209756.6227129;-45.120503652039325
1739209756.622719;-38.13080360867914
1739209756.622725;-35.57807855764607
1739209756.6227312;-38.13080360867914
1739209756.6227374;-38.13080360867914
1739209756.6227436;-45.120503652039325
1739209756.6227496;-31.141103565318893
1739209756.6227558;-35.57807855764607
1739209756.622762;-45.120503652039325
1739209756.6227682;-45.120503652039325
1739209756.6227741;-35.57807855764607
1739209756.6227803;-38.13080360867914
1739209756.6227865;-45.120503652039325
1739209756.6227927;-38.13080360867914
1739209756.6227987;-45.120503652039325
1739209756.6228049;-45.120503652039325
1739209756.622811;-45.120503652039325
1739209756.6228173;-45.120503652039325
1739209756.6228232;-45.120503652039325
1739209756.6228294;-35.57807855764607
1739209756.6228356;-38.13080360867914
1739209756.6228418;-38.13080360867914
1739209756.6228478;-29.438486411369333
1739209756.622854;-38.13080360867914
1739209756.6228602;-35.57807855764607
1739209756.6228664;-38.13080360867914
1739209756.6228724;-45.120503652039325
1739209756.6228786;-45.120503652039325
1739209756.6228848;-35.57807855764607
1739209756.622891;-38.13080360867914
1739209756.622897;-45.120503652039325
1739209756.622903;-38.13080360867914
1739209756.6229093;-38.13080360867914
1739209756.6229155;-38.13080360867914
1739209756.6229217;-45.120503652039325
1739209756.6229277;-45.120503652039325
