CAN Message; 0x1d3:00000d9b77e89f99
Timestamp;Amplitude
1739209676.976953;-45.120503652039325
1739209676.976957;-45.120503652039325
1739209676.976961;-45.120503652039325
1739209676.976965;-38.13080360867914
1739209676.9769688;-38.13080360867914
1739209676.9769728;-38.13080360867914
1739209676.9769769;-38.13080360867914
1739209676.9769807;-38.13080360867914
1739209676.9769847;-33.981070128970906
1739209676.9769886;-45.120503652039325
1739209676.9769926;-33.981070128970906
1739209676.9769964;-35.57807855764607
1739209676.9770005;-38.13080360867914
1739209676.9770045;-45.120503652039325
1739209676.9770083;-38.13080360867914
1739209676.9770124;-38.13080360867914
1739209676.9770162;-38.13080360867914
1739209676.9770203;-45.120503652039325
1739209676.977024;-45.120503652039325
1739209676.9770281;-38.13080360867914
1739209676.9770322;-38.13080360867914
1739209676.977036;-45.120503652039325
1739209676.97704;-38.13080360867914
1739209676.9770439;-38.13080360867914
1739209676.977048;-38.13080360867914
1739209676.9770517;-45.120503652039325
1739209676.9770558;-32.816014438256545
1739209676.9770596;-32.816014438256545
1739209676.9770637;-45.120503652039325
1739209676.9770677;-45.120503652039325
1739209676.9770715;-35.57807855764607
1739209676.9770756;-35.57807855764607
1739209676.9770794;-38.13080360867914
1739209676.9770834;-45.120503652039325
1739209676.9770873;-45.120503652039325
1739209676.9770913;-38.13080360867914
1739209676.9770954;-38.13080360867914
1739209676.9770992;-35.57807855764607
1739209676.9771032;-38.13080360867914
1739209676.977107;-45.120503652039325
1739209676.977111;-38.13080360867914
1739209676.977115;-45.120503652039325
1739209676.977119;-31.141103565318915
1739209676.977123;-31.141103565318893
1739209676.9771268;-45.120503652039325
1739209676.977131;-38.13080360867914
1739209676.9771347;-35.57807855764607
1739209676.9771388;-32.816014438256545
1739209676.9771426;-33.981070128970906
1739209676.9771466;-32.816014438256545
1739209676.9771507;-45.120503652039325
1739209676.9771545;-45.120503652039325
1739209676.9771585;-38.13080360867914
1739209676.9771624;-45.120503652039325
1739209676.9771664;-38.13080360867914
1739209676.9771702;-45.120503652039325
1739209676.9771743;-45.120503652039325
1739209676.9771783;-45.120503652039325
1739209676.9771821;-38.13080360867914
1739209676.9771862;-29.438486411369333
1739209676.97719;-38.13080360867914
1739209676.977194;-45.120503652039325
1739209676.977198;-45.120503652039325
1739209676.977202;-32.816014438256545
1739209676.9772058;-38.13080360867914
1739209676.9772098;-45.120503652039325
1739209676.9772139;-38.13080360867914
1739209676.9772177;-45.120503652039325
1739209676.9772217;-45.120503652039325
1739209676.9772255;-45.120503652039325
1739209676.9772296;-38.13080360867914
1739209676.9772334;-45.120503652039325
1739209676.9772375;-38.13080360867914
1739209676.9772415;-45.120503652039325
1739209676.9772453;-38.13080360867914
1739209676.9772494;-35.57807855764607
1739209676.9772532;-38.13080360867914
1739209676.9772573;-45.120503652039325
1739209676.977261;-38.13080360867914
1739209676.9772651;-31.141103565318893
1739209676.9772692;-45.120503652039325
1739209676.977273;-45.120503652039325
1739209676.977277;-45.120503652039325
1739209676.9772809;-38.13080360867914
1739209676.977285;-38.13080360867914
1739209676.9772887;-45.120503652039325
1739209676.9772928;-45.120503652039325
1739209676.9772968;-45.120503652039325
1739209676.9773006;-35.57807855764607
1739209676.9773047;-38.13080360867914
1739209676.9773085;-38.13080360867914
1739209676.9773126;-45.120503652039325
1739209676.9773164;-38.13080360867914
1739209676.9773204;-35.57807855764607
1739209676.9773245;-45.120503652039325
1739209676.9773283;-32.816014438256545
1739209676.9773324;-45.120503652039325
1739209676.9773362;-38.13080360867914
1739209676.9773402;-38.13080360867914
1739209676.977344;-33.981070128970906
1739209676.977348;-35.57807855764607
1739209676.977352;-38.13080360867914
1739209676.977356;-45.120503652039325
1739209676.97736;-45.120503652039325
1739209676.9773638;-38.13080360867914
1739209676.9773679;-38.13080360867914
1739209676.9773717;-45.120503652039325
1739209676.9773757;-33.981070128970956
1739209676.9773796;-45.120503652039325
1739209676.9773836;-38.13080360867914
1739209676.9773877;-38.13080360867914
1739209676.9773915;-38.13080360867914
1739209676.9773955;-45.120503652039325
1739209676.9773993;-45.120503652039325
1739209676.9774034;-38.13080360867914
1739209676.9774072;-28.58837851428586
1739209676.9774113;-38.13080360867914
1739209676.9774153;-45.120503652039325
1739209676.9774191;-38.13080360867914
1739209676.9774232;-38.13080360867914
1739209676.977427;-35.57807855764607
1739209676.977431;-45.120503652039325
1739209676.9774349;-38.13080360867914
1739209676.977439;-33.981070128970956
1739209676.977443;-45.120503652039325
1739209676.9774468;-33.981070128970906
1739209676.9774508;-38.13080360867914
1739209676.9774547;-45.120503652039325
1739209676.9774587;-45.120503652039325
1739209676.9774625;-45.120503652039325
1739209676.9774666;-45.120503652039325
1739209676.9774704;-28.992665084841942
1739209676.9774745;-33.981070128970906
1739209676.9774785;-45.120503652039325
1739209676.9774823;-45.120503652039325
1739209676.9774864;-45.120503652039325
1739209676.9774902;-35.57807855764607
1739209676.9774942;-32.816014438256545
1739209676.977498;-45.120503652039325
1739209676.977502;-45.120503652039325
1739209676.9775062;-38.13080360867914
1739209676.97751;-45.120503652039325
1739209676.977514;-38.13080360867914
1739209676.9775178;-45.120503652039325
1739209676.977522;-38.13080360867914
1739209676.9775257;-38.13080360867914
1739209676.9775298;-45.120503652039325
1739209676.9775338;-35.57807855764607
1739209676.9775376;-45.120503652039325
1739209676.9775417;-38.13080360867914
1739209676.9775455;-38.13080360867914
1739209676.9775496;-45.120503652039325
1739209676.9775534;-38.13080360867914
1739209676.9775574;-38.13080360867914
1739209676.9775615;-45.120503652039325
1739209676.9775653;-38.13080360867914
1739209676.9775693;-38.13080360867914
1739209676.9775732;-38.13080360867914
1739209676.9775772;-38.13080360867914
1739209676.977581;-45.120503652039325
1739209676.977585;-38.13080360867914
1739209676.9775891;-45.120503652039325
1739209676.977593;-45.120503652039325
1739209676.977597;-38.13080360867914
1739209676.9776008;-30.49652367304973
1739209676.9776049;-38.13080360867914
1739209676.9776087;-45.120503652039325
1739209676.9776127;-45.120503652039325
1739209676.9776165;-45.120503652039325
1739209676.9776206;-33.981070128970906
1739209676.9776247;-45.120503652039325
1739209676.9776285;-38.13080360867914
1739209676.9776325;-31.141103565318915
1739209676.9776363;-45.120503652039325
1739209676.9776404;-38.13080360867914
