CAN Message; 0x39:068f266ed7d3343b
Timestamp;Amplitude
1739209727.8738406;-38.13080360867914
1739209727.873847;-29.438486411369333
1739209727.8738534;-38.13080360867914
1739209727.8738596;-45.120503652039325
1739209727.873866;-38.13080360867914
1739209727.8738725;-45.120503652039325
1739209727.873879;-38.13080360867914
1739209727.8738854;-35.57807855764607
1739209727.8738918;-38.13080360867914
1739209727.873898;-45.120503652039325
1739209727.8739045;-45.120503652039325
1739209727.873911;-38.13080360867914
1739209727.8739173;-38.13080360867914
1739209727.8739238;-45.120503652039325
1739209727.8739302;-45.120503652039325
1739209727.8739364;-38.13080360867914
1739209727.8739429;-45.120503652039325
1739209727.8739493;-45.120503652039325
1739209727.8739557;-45.120503652039325
1739209727.8739622;-35.57807855764607
1739209727.8739686;-45.120503652039325
1739209727.873975;-45.120503652039325
1739209727.8739812;-38.13080360867914
1739209727.8739877;-38.13080360867914
1739209727.873994;-38.13080360867914
1739209727.8740005;-38.13080360867914
1739209727.874007;-45.120503652039325
1739209727.8740134;-45.120503652039325
1739209727.8740196;-45.120503652039325
1739209727.874026;-31.141103565318893
1739209727.8740325;-45.120503652039325
1739209727.874039;-45.120503652039325
1739209727.8740454;-45.120503652039325
1739209727.8740518;-45.120503652039325
1739209727.874058;-45.120503652039325
1739209727.8740644;-45.120503652039325
1739209727.874071;-33.981070128970906
1739209727.8740773;-31.141103565318893
1739209727.8740838;-33.981070128970906
1739209727.8740902;-45.120503652039325
1739209727.8740966;-38.13080360867914
1739209727.8741028;-35.57807855764607
1739209727.8741093;-38.13080360867914
1739209727.8741157;-45.120503652039325
1739209727.8741221;-45.120503652039325
1739209727.8741286;-45.120503652039325
1739209727.874135;-38.13080360867914
1739209727.8741412;-38.13080360867914
1739209727.8741477;-38.13080360867914
1739209727.874154;-33.981070128970906
1739209727.8741605;-38.13080360867914
1739209727.874167;-45.120503652039325
1739209727.8741734;-38.13080360867914
1739209727.8741798;-31.141103565318893
1739209727.874186;-38.13080360867914
1739209727.8741925;-45.120503652039325
1739209727.874199;-45.120503652039325
1739209727.8742054;-45.120503652039325
1739209727.8742118;-38.13080360867914
1739209727.8742182;-45.120503652039325
1739209727.8742244;-38.13080360867914
1739209727.8742309;-38.13080360867914
1739209727.8742373;-38.13080360867914
1739209727.8742437;-45.120503652039325
1739209727.8742502;-38.13080360867914
1739209727.8742566;-38.13080360867914
1739209727.8742628;-45.120503652039325
1739209727.8742692;-38.13080360867914
1739209727.8742757;-45.120503652039325
1739209727.8742821;-45.120503652039325
1739209727.8742886;-38.13080360867914
1739209727.874295;-38.13080360867914
1739209727.8743014;-38.13080360867914
1739209727.8743076;-45.120503652039325
1739209727.874314;-33.981070128970906
1739209727.8743205;-32.816014438256545
1739209727.874327;-33.981070128970906
1739209727.8743334;-38.13080360867914
1739209727.8743398;-35.57807855764607
1739209727.874346;-38.13080360867914
1739209727.8743525;-45.120503652039325
1739209727.874359;-38.13080360867914
1739209727.8743653;-31.141103565318915
1739209727.8743718;-35.57807855764607
1739209727.8743782;-38.13080360867914
1739209727.8743844;-45.120503652039325
1739209727.8743908;-45.120503652039325
1739209727.8743973;-35.57807855764607
1739209727.8744037;-38.13080360867914
1739209727.8744102;-45.120503652039325
1739209727.8744166;-28.58837851428586
1739209727.874423;-38.13080360867914
1739209727.8744292;-45.120503652039325
1739209727.8744357;-45.120503652039325
1739209727.874442;-33.981070128970906
1739209727.8744485;-38.13080360867914
1739209727.874455;-45.120503652039325
1739209727.8744614;-38.13080360867914
1739209727.8744676;-31.141103565318915
1739209727.874474;-38.13080360867914
1739209727.8744805;-38.13080360867914
1739209727.874487;-45.120503652039325
