CAN Message; 0x62:087aec5d23fad430
Timestamp;Amplitude
1739209801.6823509;-38.13080360867914
1739209801.6823606;-45.120503652039325
1739209801.6823704;-45.120503652039325
1739209801.6823802;-33.981070128970906
1739209801.68239;-45.120503652039325
1739209801.6823997;-45.120503652039325
1739209801.6824095;-38.13080360867914
1739209801.6824193;-38.13080360867914
1739209801.682429;-38.13080360867914
1739209801.6824389;-45.120503652039325
1739209801.6824486;-38.13080360867914
1739209801.6824584;-32.816014438256545
1739209801.6824682;-31.141103565318915
1739209801.682478;-45.120503652039325
1739209801.6824877;-38.13080360867914
1739209801.6824975;-38.13080360867914
1739209801.6825073;-33.981070128970906
1739209801.682517;-45.120503652039325
1739209801.6825268;-45.120503652039325
1739209801.6825366;-38.13080360867914
1739209801.6825464;-45.120503652039325
1739209801.6825562;-45.120503652039325
1739209801.682566;-38.13080360867914
1739209801.6825757;-38.13080360867914
1739209801.6825855;-45.120503652039325
1739209801.6825953;-45.120503652039325
1739209801.682605;-38.13080360867914
1739209801.6826148;-33.981070128970906
1739209801.6826246;-33.981070128970906
1739209801.6826344;-45.120503652039325
1739209801.6826441;-45.120503652039325
1739209801.682654;-35.57807855764607
1739209801.6826637;-35.57807855764607
1739209801.6826735;-38.13080360867914
1739209801.6826832;-45.120503652039325
1739209801.682693;-45.120503652039325
1739209801.6827028;-45.120503652039325
1739209801.6827126;-45.120503652039325
1739209801.6827223;-45.120503652039325
1739209801.682732;-35.57807855764607
1739209801.6827419;-38.13080360867914
1739209801.6827517;-45.120503652039325
1739209801.6827614;-45.120503652039325
1739209801.6827712;-38.13080360867914
1739209801.682781;-35.57807855764607
1739209801.6827908;-35.57807855764607
1739209801.6828005;-38.13080360867914
1739209801.6828103;-45.120503652039325
1739209801.68282;-38.13080360867914
1739209801.6828299;-35.57807855764607
1739209801.6828396;-38.13080360867914
1739209801.6828496;-45.120503652039325
1739209801.6828594;-35.57807855764607
1739209801.6828692;-32.816014438256545
1739209801.682879;-38.13080360867914
1739209801.6828887;-45.120503652039325
1739209801.6828985;-38.13080360867914
1739209801.6829083;-45.120503652039325
1739209801.682918;-45.120503652039325
1739209801.6829278;-32.816014438256545
1739209801.6829376;-45.120503652039325
1739209801.6829474;-38.13080360867914
1739209801.6829572;-33.981070128970906
1739209801.682967;-45.120503652039325
1739209801.6829767;-45.120503652039325
1739209801.6829865;-38.13080360867914
1739209801.6829963;-35.57807855764607
1739209801.683006;-45.120503652039325
1739209801.6830158;-35.57807855764607
1739209801.6830256;-32.816014438256545
1739209801.6830354;-45.120503652039325
1739209801.6830451;-45.120503652039325
1739209801.683055;-38.13080360867914
1739209801.6830647;-35.57807855764607
1739209801.6830745;-45.120503652039325
1739209801.6830842;-45.120503652039325
1739209801.683094;-38.13080360867914
1739209801.6831038;-45.120503652039325
1739209801.6831136;-45.120503652039325
1739209801.6831234;-38.13080360867914
1739209801.6831331;-38.13080360867914
1739209801.683143;-45.120503652039325
