CAN Message; 0x150:0500abbdd9c03c1c
Timestamp;Amplitude
1739209906.074926;-38.13080360867914
1739209906.0749378;-45.120503652039325
1739209906.0749497;-45.120503652039325
1739209906.0749617;-33.981070128970906
1739209906.0749736;-31.141103565318893
1739209906.0749855;-45.120503652039325
1739209906.0749977;-33.981070128970906
1739209906.0750096;-38.13080360867914
1739209906.0750215;-38.13080360867914
1739209906.0750334;-45.120503652039325
1739209906.0750453;-35.57807855764607
1739209906.0750573;-38.13080360867914
1739209906.0750692;-45.120503652039325
1739209906.075081;-38.13080360867914
1739209906.075093;-38.13080360867914
1739209906.075105;-33.981070128970906
1739209906.0751169;-38.13080360867914
1739209906.0751288;-38.13080360867914
1739209906.075141;-45.120503652039325
1739209906.0751529;-38.13080360867914
1739209906.0751648;-38.13080360867914
1739209906.0751767;-45.120503652039325
1739209906.0751886;-38.13080360867914
1739209906.0752006;-33.981070128970906
1739209906.0752125;-38.13080360867914
1739209906.0752244;-45.120503652039325
1739209906.0752363;-35.57807855764607
1739209906.0752482;-33.981070128970906
1739209906.0752602;-45.120503652039325
1739209906.075272;-45.120503652039325
1739209906.075284;-45.120503652039325
1739209906.0752962;-38.13080360867914
1739209906.075308;-38.13080360867914
1739209906.07532;-45.120503652039325
1739209906.075332;-45.120503652039325
1739209906.0753438;-38.13080360867914
1739209906.0753558;-35.57807855764607
1739209906.0753677;-35.57807855764607
1739209906.0753796;-38.13080360867914
1739209906.0753915;-45.120503652039325
1739209906.0754035;-45.120503652039325
1739209906.0754154;-45.120503652039325
1739209906.0754273;-45.120503652039325
1739209906.0754392;-38.13080360867914
1739209906.0754514;-45.120503652039325
1739209906.0754633;-45.120503652039325
1739209906.0754752;-45.120503652039325
1739209906.0754871;-45.120503652039325
1739209906.075499;-45.120503652039325
1739209906.075511;-45.120503652039325
1739209906.075523;-45.120503652039325
1739209906.0755348;-38.13080360867914
1739209906.0755467;-38.13080360867914
1739209906.0755587;-35.57807855764607
1739209906.0755706;-38.13080360867914
1739209906.0755825;-45.120503652039325
1739209906.0755947;-35.57807855764607
1739209906.0756066;-38.13080360867914
1739209906.0756185;-38.13080360867914
1739209906.0756304;-38.13080360867914
1739209906.0756423;-33.981070128970906
1739209906.0756543;-45.120503652039325
1739209906.0756662;-45.120503652039325
1739209906.075678;-38.13080360867914
1739209906.07569;-38.13080360867914
1739209906.075702;-45.120503652039325
1739209906.0757139;-45.120503652039325
1739209906.0757258;-45.120503652039325
1739209906.0757377;-45.120503652039325
1739209906.0757499;-38.13080360867914
1739209906.0757618;-38.13080360867914
1739209906.0757737;-32.81601443825658
1739209906.0757856;-38.13080360867914
1739209906.0757976;-35.57807855764607
1739209906.0758095;-35.57807855764607
1739209906.0758214;-33.981070128970906
1739209906.0758333;-45.120503652039325
1739209906.0758452;-35.57807855764607
1739209906.0758572;-35.57807855764607
1739209906.075869;-33.981070128970906
1739209906.075881;-38.13080360867914
1739209906.075893;-38.13080360867914
1739209906.075905;-38.13080360867914
1739209906.075917;-32.816014438256545
1739209906.075929;-45.120503652039325
1739209906.0759408;-45.120503652039325
1739209906.0759528;-38.13080360867914
1739209906.0759647;-31.141103565318943
1739209906.0759766;-45.120503652039325
1739209906.0759885;-38.13080360867914
1739209906.0760005;-38.13080360867914
1739209906.0760124;-45.120503652039325
1739209906.0760243;-33.981070128970906
1739209906.0760362;-35.57807855764607
1739209906.0760484;-38.13080360867914
1739209906.0760603;-27.8777449560314
1739209906.0760722;-38.13080360867914
1739209906.0760841;-45.120503652039325
1739209906.076096;-35.57807855764607
1739209906.076108;-38.13080360867914
1739209906.07612;-45.120503652039325
1739209906.0761318;-45.120503652039325
1739209906.0761437;-45.120503652039325
1739209906.0761557;-33.981070128970956
1739209906.0761676;-45.120503652039325
1739209906.0761795;-45.120503652039325
1739209906.0761914;-45.120503652039325
1739209906.0762036;-45.120503652039325
1739209906.0762155;-45.120503652039325
1739209906.0762274;-45.120503652039325
1739209906.0762393;-45.120503652039325
1739209906.0762513;-29.438486411369333
1739209906.0762632;-32.816014438256545
1739209906.076275;-35.57807855764607
1739209906.076287;-35.57807855764607
1739209906.076299;-35.57807855764607
1739209906.0763109;-35.57807855764607
1739209906.0763228;-45.120503652039325
1739209906.0763347;-38.13080360867914
1739209906.0763466;-38.13080360867914
1739209906.0763588;-45.120503652039325
1739209906.0763707;-32.816014438256545
1739209906.0763826;-33.981070128970906
1739209906.0763946;-45.120503652039325
1739209906.0764065;-45.120503652039325
1739209906.0764184;-35.57807855764607
1739209906.0764303;-45.120503652039325
1739209906.0764422;-31.141103565318893
1739209906.0764542;-31.141103565318893
1739209906.076466;-38.13080360867914
1739209906.076478;-38.13080360867914
1739209906.07649;-38.13080360867914
1739209906.076502;-38.13080360867914
1739209906.076514;-38.13080360867914
1739209906.076526;-38.13080360867914
1739209906.0765378;-45.120503652039325
1739209906.0765498;-38.13080360867914
1739209906.0765617;-33.981070128970906
1739209906.0765736;-38.13080360867914
1739209906.0765855;-45.120503652039325
1739209906.0765975;-45.120503652039325
1739209906.0766094;-38.13080360867914
1739209906.0766213;-31.141103565318915
1739209906.0766332;-45.120503652039325
1739209906.0766451;-38.13080360867914
1739209906.0766573;-35.57807855764607
1739209906.0766692;-32.816014438256545
1739209906.0766811;-45.120503652039325
1739209906.076693;-45.120503652039325
1739209906.076705;-38.13080360867914
1739209906.076717;-45.120503652039325
1739209906.0767288;-31.141103565318893
1739209906.0767407;-31.141103565318893
1739209906.0767527;-35.57807855764607
1739209906.0767646;-35.57807855764607
1739209906.0767765;-45.120503652039325
1739209906.0767884;-38.13080360867914
1739209906.0768003;-38.13080360867914
1739209906.0768125;-38.13080360867914
1739209906.0768244;-45.120503652039325
1739209906.0768363;-45.120503652039325
1739209906.0768483;-32.816014438256545
1739209906.0768602;-31.141103565318915
1739209906.076872;-38.13080360867914
1739209906.076884;-38.13080360867914
1739209906.076896;-29.438486411369333
1739209906.0769079;-35.57807855764607
1739209906.0769198;-45.120503652039325
1739209906.0769317;-35.57807855764607
1739209906.0769436;-38.13080360867914
1739209906.0769558;-45.120503652039325
1739209906.0769677;-45.120503652039325
1739209906.0769796;-45.120503652039325
1739209906.0769916;-38.13080360867914
1739209906.0770035;-33.981070128970906
1739209906.0770154;-38.13080360867914
1739209906.0770273;-38.13080360867914
1739209906.0770392;-38.13080360867914
1739209906.0770512;-38.13080360867914
1739209906.077063;-38.13080360867914
1739209906.077075;-38.13080360867914
1739209906.077087;-38.13080360867914
1739209906.0770988;-45.120503652039325
1739209906.077111;-45.120503652039325
1739209906.077123;-38.13080360867914
1739209906.0771348;-33.981070128970906
1739209906.0771468;-45.120503652039325
1739209906.0771587;-45.120503652039325
1739209906.0771706;-45.120503652039325
1739209906.0771825;-45.120503652039325
1739209906.0771945;-45.120503652039325
1739209906.0772064;-38.13080360867914
1739209906.0772183;-35.57807855764607
1739209906.0772302;-32.816014438256545
1739209906.0772421;-35.57807855764607
1739209906.0772543;-38.13080360867914
1739209906.0772662;-33.981070128970906
1739209906.0772781;-33.981070128970906
1739209906.07729;-38.13080360867914
1739209906.077302;-38.13080360867914
1739209906.077314;-45.120503652039325
1739209906.0773258;-35.57807855764607
1739209906.0773377;-31.141103565318915
1739209906.0773497;-45.120503652039325
1739209906.0773616;-45.120503652039325
1739209906.0773735;-38.13080360867914
1739209906.0773854;-45.120503652039325
1739209906.0773973;-45.120503652039325
1739209906.0774095;-45.120503652039325
1739209906.0774214;-45.120503652039325
1739209906.0774333;-45.120503652039325
1739209906.0774453;-45.120503652039325
1739209906.0774572;-45.120503652039325
1739209906.077469;-45.120503652039325
1739209906.077481;-38.13080360867914
1739209906.077493;-35.57807855764607
1739209906.0775049;-33.981070128970906
1739209906.0775168;-31.141103565318915
1739209906.0775287;-45.120503652039325
1739209906.0775406;-45.120503652039325
1739209906.0775526;-45.120503652039325
1739209906.0775647;-38.13080360867914
1739209906.0775766;-38.13080360867914
1739209906.0775886;-35.57807855764607
1739209906.0776005;-45.120503652039325
1739209906.0776124;-45.120503652039325
1739209906.0776243;-45.120503652039325
1739209906.0776362;-45.120503652039325
1739209906.0776482;-45.120503652039325
1739209906.07766;-45.120503652039325
1739209906.077672;-38.13080360867914
1739209906.077684;-38.13080360867914
1739209906.0776958;-38.13080360867914
1739209906.077708;-31.141103565318915
1739209906.07772;-35.57807855764607
1739209906.0777318;-45.120503652039325
