CAN Message; 0x1a7:00002f5165aca9d1
Timestamp;Amplitude
1739209743.411308;-45.120503652039325
1739209743.4113135;-38.13080360867914
1739209743.4113188;-38.13080360867914
1739209743.411324;-45.120503652039325
1739209743.4113293;-45.120503652039325
1739209743.4113348;-38.13080360867914
1739209743.41134;-45.120503652039325
1739209743.4113452;-45.120503652039325
1739209743.4113505;-45.120503652039325
1739209743.411356;-45.120503652039325
1739209743.4113612;-38.13080360867914
1739209743.4113665;-33.981070128970906
1739209743.411372;-45.120503652039325
1739209743.4113772;-38.13080360867914
1739209743.4113824;-35.57807855764607
1739209743.4113877;-33.981070128970906
1739209743.4113932;-38.13080360867914
1739209743.4113984;-38.13080360867914
1739209743.4114037;-45.120503652039325
1739209743.411409;-45.120503652039325
1739209743.4114144;-38.13080360867914
1739209743.4114196;-45.120503652039325
1739209743.4114249;-45.120503652039325
1739209743.4114301;-38.13080360867914
1739209743.4114356;-38.13080360867914
1739209743.4114408;-45.120503652039325
1739209743.411446;-45.120503652039325
1739209743.4114516;-38.13080360867914
1739209743.4114568;-38.13080360867914
1739209743.411462;-45.120503652039325
1739209743.4114673;-38.13080360867914
1739209743.4114728;-45.120503652039325
1739209743.411478;-38.13080360867914
1739209743.4114833;-45.120503652039325
1739209743.4114885;-38.13080360867914
1739209743.411494;-31.141103565318915
1739209743.4114993;-45.120503652039325
1739209743.4115045;-45.120503652039325
1739209743.41151;-45.120503652039325
1739209743.4115152;-45.120503652039325
1739209743.4115205;-45.120503652039325
1739209743.4115257;-31.141103565318893
1739209743.4115312;-33.981070128970906
1739209743.4115365;-31.141103565318943
1739209743.4115417;-45.120503652039325
1739209743.411547;-45.120503652039325
1739209743.4115524;-45.120503652039325
1739209743.4115577;-45.120503652039325
1739209743.411563;-45.120503652039325
1739209743.4115682;-38.13080360867914
1739209743.4115736;-38.13080360867914
1739209743.411579;-31.141103565318915
1739209743.4115841;-45.120503652039325
1739209743.4115896;-45.120503652039325
1739209743.4115949;-38.13080360867914
1739209743.4116;-38.13080360867914
1739209743.4116054;-45.120503652039325
1739209743.4116108;-45.120503652039325
1739209743.411616;-38.13080360867914
1739209743.4116213;-45.120503652039325
1739209743.4116266;-45.120503652039325
1739209743.411632;-38.13080360867914
1739209743.4116373;-38.13080360867914
1739209743.4116426;-45.120503652039325
1739209743.411648;-45.120503652039325
1739209743.4116533;-45.120503652039325
1739209743.4116585;-45.120503652039325
1739209743.4116638;-38.13080360867914
1739209743.4116693;-45.120503652039325
1739209743.4116745;-45.120503652039325
1739209743.4116797;-45.120503652039325
1739209743.411685;-45.120503652039325
1739209743.4116905;-45.120503652039325
1739209743.4116957;-45.120503652039325
1739209743.411701;-38.13080360867914
1739209743.4117062;-26.487275050834715
1739209743.4117117;-32.816014438256545
1739209743.411717;-45.120503652039325
1739209743.4117222;-45.120503652039325
1739209743.4117277;-38.13080360867914
1739209743.411733;-45.120503652039325
1739209743.4117382;-35.57807855764607
1739209743.4117434;-35.57807855764607
1739209743.411749;-45.120503652039325
1739209743.4117541;-45.120503652039325
1739209743.4117594;-38.13080360867914
1739209743.4117646;-38.13080360867914
1739209743.41177;-35.57807855764607
1739209743.4117754;-38.13080360867914
1739209743.4117806;-45.120503652039325
1739209743.411786;-38.13080360867914
1739209743.4117913;-38.13080360867914
1739209743.4117966;-45.120503652039325
1739209743.4118018;-38.13080360867914
1739209743.4118073;-38.13080360867914
1739209743.4118125;-45.120503652039325
1739209743.4118178;-45.120503652039325
1739209743.411823;-38.13080360867914
1739209743.4118285;-38.13080360867914
1739209743.4118338;-35.57807855764607
1739209743.411839;-38.13080360867914
1739209743.4118443;-38.13080360867914
1739209743.4118497;-45.120503652039325
1739209743.411855;-45.120503652039325
1739209743.4118602;-45.120503652039325
1739209743.4118657;-38.13080360867914
1739209743.411871;-35.57807855764607
1739209743.4118762;-45.120503652039325
1739209743.4118814;-45.120503652039325
1739209743.411887;-38.13080360867914
1739209743.4118922;-38.13080360867914
1739209743.4118974;-45.120503652039325
1739209743.4119027;-33.981070128970906
1739209743.4119081;-32.816014438256545
1739209743.4119134;-32.816014438256545
1739209743.4119186;-35.57807855764607
1739209743.4119241;-38.13080360867914
1739209743.4119294;-45.120503652039325
1739209743.4119346;-38.13080360867914
1739209743.4119399;-38.13080360867914
1739209743.4119453;-38.13080360867914
1739209743.4119506;-35.57807855764607
1739209743.4119558;-35.57807855764607
1739209743.411961;-45.120503652039325
1739209743.4119666;-45.120503652039325
1739209743.4119718;-38.13080360867914
1739209743.411977;-45.120503652039325
1739209743.4119825;-45.120503652039325
1739209743.4119878;-33.981070128970906
1739209743.411993;-45.120503652039325
1739209743.4119983;-38.13080360867914
1739209743.4120038;-45.120503652039325
