CAN Message; 0x39:0ca327b8bae4772a
Timestamp;Amplitude
1739209635.1642816;-45.120503652039325
1739209635.1642942;-45.120503652039325
1739209635.1643066;-38.13080360867914
1739209635.164319;-45.120503652039325
1739209635.1643317;-45.120503652039325
1739209635.164344;-45.120503652039325
1739209635.1643565;-38.13080360867914
1739209635.164369;-45.120503652039325
1739209635.1643815;-45.120503652039325
1739209635.164394;-33.981070128970906
1739209635.1644065;-38.13080360867914
1739209635.164419;-38.13080360867914
1739209635.1644313;-45.120503652039325
1739209635.164444;-45.120503652039325
1739209635.1644564;-35.57807855764607
1739209635.1644688;-38.13080360867914
1739209635.1644814;-45.120503652039325
1739209635.1644938;-38.13080360867914
1739209635.1645062;-38.13080360867914
1739209635.1645188;-38.13080360867914
1739209635.1645312;-30.49652367304973
1739209635.1645436;-35.57807855764607
1739209635.1645563;-35.57807855764607
1739209635.1645687;-45.120503652039325
1739209635.164581;-45.120503652039325
1739209635.1645937;-38.13080360867914
1739209635.164606;-35.57807855764607
1739209635.1646185;-45.120503652039325
1739209635.1646311;-38.13080360867914
1739209635.1646435;-38.13080360867914
1739209635.1646562;-38.13080360867914
1739209635.1646686;-38.13080360867914
1739209635.164681;-45.120503652039325
1739209635.1646936;-45.120503652039325
1739209635.164706;-38.13080360867914
1739209635.1647184;-38.13080360867914
1739209635.164731;-45.120503652039325
1739209635.1647434;-45.120503652039325
1739209635.1647558;-38.13080360867914
1739209635.1647685;-45.120503652039325
1739209635.1647809;-38.13080360867914
1739209635.1647933;-38.13080360867914
1739209635.164806;-45.120503652039325
1739209635.1648183;-38.13080360867914
1739209635.1648307;-45.120503652039325
1739209635.1648433;-38.13080360867914
1739209635.1648557;-35.57807855764607
1739209635.164868;-45.120503652039325
1739209635.1648808;-38.13080360867914
1739209635.1648932;-45.120503652039325
1739209635.1649055;-45.120503652039325
1739209635.1649182;-45.120503652039325
1739209635.1649306;-45.120503652039325
1739209635.164943;-38.13080360867914
1739209635.1649556;-38.13080360867914
1739209635.164968;-38.13080360867914
1739209635.1649804;-35.57807855764607
1739209635.164993;-35.57807855764607
1739209635.1650054;-35.57807855764607
1739209635.1650178;-45.120503652039325
1739209635.1650305;-38.13080360867914
1739209635.1650429;-35.57807855764607
1739209635.1650553;-38.13080360867914
1739209635.165068;-45.120503652039325
1739209635.1650803;-45.120503652039325
1739209635.1650927;-35.57807855764607
1739209635.1651053;-35.57807855764607
1739209635.1651177;-38.13080360867914
1739209635.1651301;-38.13080360867914
1739209635.1651428;-38.13080360867914
1739209635.1651552;-33.981070128970906
1739209635.1651676;-45.120503652039325
1739209635.1651802;-45.120503652039325
1739209635.1651926;-45.120503652039325
1739209635.165205;-45.120503652039325
1739209635.1652176;-45.120503652039325
1739209635.16523;-31.141103565318915
1739209635.1652424;-33.981070128970906
1739209635.165255;-45.120503652039325
1739209635.1652675;-45.120503652039325
1739209635.1652799;-45.120503652039325
1739209635.1652925;-35.57807855764607
1739209635.165305;-35.57807855764607
1739209635.1653173;-38.13080360867914
1739209635.16533;-35.57807855764607
1739209635.1653423;-38.13080360867914
1739209635.1653547;-35.57807855764607
1739209635.1653674;-38.13080360867914
1739209635.1653798;-38.13080360867914
1739209635.1653922;-45.120503652039325
1739209635.1654048;-45.120503652039325
1739209635.1654172;-38.13080360867914
1739209635.1654298;-28.992665084841942
1739209635.1654422;-28.992665084841942
1739209635.1654546;-45.120503652039325
1739209635.1654673;-38.13080360867914
1739209635.1654797;-35.57807855764607
1739209635.165492;-38.13080360867914
1739209635.1655047;-38.13080360867914
