CAN Message; 0x1b8:000043558b5b97ed
Timestamp;Amplitude
1739209918.4517856;-38.13080360867914
1739209918.4517918;-33.981070128970906
1739209918.4517982;-38.13080360867914
1739209918.4518044;-38.13080360867914
1739209918.4518108;-38.13080360867914
1739209918.451817;-33.981070128970906
1739209918.4518235;-33.981070128970906
1739209918.4518297;-38.13080360867914
1739209918.451836;-45.120503652039325
1739209918.4518423;-33.981070128970906
1739209918.4518487;-32.816014438256545
1739209918.451855;-33.981070128970906
1739209918.4518614;-38.13080360867914
1739209918.4518676;-45.120503652039325
1739209918.451874;-38.13080360867914
1739209918.4518802;-45.120503652039325
1739209918.4518867;-33.981070128970906
1739209918.4518929;-32.816014438256545
1739209918.4518993;-35.57807855764607
1739209918.4519055;-45.120503652039325
1739209918.451912;-33.981070128970906
1739209918.4519181;-45.120503652039325
1739209918.4519246;-45.120503652039325
1739209918.4519308;-32.816014438256545
1739209918.4519372;-45.120503652039325
1739209918.4519434;-45.120503652039325
1739209918.4519498;-31.141103565318915
1739209918.451956;-33.981070128970906
1739209918.4519625;-32.816014438256545
1739209918.4519687;-45.120503652039325
1739209918.451975;-25.62660358559016
1739209918.4519813;-31.141103565318915
1739209918.4519877;-33.981070128970906
1739209918.451994;-32.816014438256545
1739209918.4520004;-27.267205301931607
1739209918.4520066;-27.8777449560314
1739209918.452013;-45.120503652039325
1739209918.4520192;-45.120503652039325
1739209918.4520257;-31.141103565318943
1739209918.4520319;-45.120503652039325
1739209918.4520383;-28.992665084841942
1739209918.4520445;-28.58837851428586
1739209918.452051;-35.57807855764607
1739209918.4520571;-45.120503652039325
1739209918.4520636;-38.13080360867914
1739209918.4520698;-45.120503652039325
1739209918.4520762;-45.120503652039325
1739209918.4520824;-38.13080360867914
1739209918.4520888;-45.120503652039325
1739209918.452095;-33.981070128970906
1739209918.4521015;-45.120503652039325
1739209918.4521077;-38.13080360867914
1739209918.452114;-31.141103565318915
1739209918.4521203;-45.120503652039325
1739209918.4521267;-33.981070128970906
1739209918.452133;-38.13080360867914
1739209918.4521394;-45.120503652039325
1739209918.4521456;-38.13080360867914
1739209918.452152;-31.141103565318915
1739209918.4521582;-32.816014438256545
1739209918.4521646;-45.120503652039325
1739209918.4521708;-38.13080360867914
1739209918.4521773;-45.120503652039325
1739209918.4521835;-45.120503652039325
1739209918.45219;-38.13080360867914
1739209918.4521961;-35.57807855764607
1739209918.4522026;-45.120503652039325
1739209918.4522088;-26.487275050834715
1739209918.4522152;-45.120503652039325
1739209918.4522214;-45.120503652039325
1739209918.4522278;-31.141103565318915
1739209918.452234;-45.120503652039325
1739209918.4522405;-45.120503652039325
1739209918.4522467;-45.120503652039325
1739209918.452253;-45.120503652039325
1739209918.4522593;-45.120503652039325
1739209918.4522657;-31.141103565318915
1739209918.452272;-30.49652367304973
1739209918.4522784;-33.981070128970956
1739209918.4522846;-45.120503652039325
1739209918.452291;-38.13080360867914
1739209918.4522972;-45.120503652039325
1739209918.4523036;-32.816014438256545
1739209918.4523098;-35.57807855764607
1739209918.4523163;-45.120503652039325
1739209918.4523225;-45.120503652039325
1739209918.452329;-45.120503652039325
1739209918.4523351;-33.981070128970906
1739209918.4523416;-33.981070128970906
1739209918.4523478;-38.13080360867914
1739209918.4523542;-45.120503652039325
1739209918.4523604;-38.13080360867914
1739209918.4523668;-33.981070128970906
1739209918.452373;-45.120503652039325
1739209918.4523795;-33.981070128970906
1739209918.4523857;-35.57807855764607
1739209918.452392;-31.141103565318915
1739209918.4523983;-38.13080360867914
1739209918.4524047;-30.49652367304973
1739209918.452411;-31.141103565318893
1739209918.4524174;-45.120503652039325
1739209918.4524236;-28.58837851428586
1739209918.45243;-35.57807855764607
1739209918.4524362;-45.120503652039325
1739209918.4524426;-32.816014438256545
1739209918.4524488;-38.13080360867914
1739209918.4524553;-31.141103565318915
1739209918.4524615;-31.141103565318915
1739209918.452468;-38.13080360867914
1739209918.452474;-35.57807855764607
1739209918.4524806;-38.13080360867914
1739209918.4524868;-38.13080360867914
1739209918.4524932;-27.267205301931607
1739209918.4524994;-32.816014438256545
1739209918.4525058;-33.981070128970906
1739209918.452512;-38.13080360867914
1739209918.4525185;-31.141103565318915
1739209918.4525247;-38.13080360867914
1739209918.452531;-38.13080360867914
1739209918.4525373;-35.57807855764607
1739209918.4525437;-45.120503652039325
1739209918.45255;-35.57807855764607
1739209918.4525564;-38.13080360867914
1739209918.4525626;-38.13080360867914
1739209918.452569;-45.120503652039325
1739209918.4525752;-38.13080360867914
1739209918.4525816;-33.981070128970906
1739209918.4525878;-28.992665084841942
1739209918.4525943;-38.13080360867914
1739209918.4526005;-45.120503652039325
1739209918.452607;-45.120503652039325
1739209918.452613;-32.816014438256545
1739209918.4526196;-45.120503652039325
1739209918.4526258;-45.120503652039325
1739209918.4526322;-45.120503652039325
1739209918.4526384;-45.120503652039325
1739209918.4526448;-45.120503652039325
1739209918.452651;-45.120503652039325
1739209918.4526575;-33.981070128970906
1739209918.4526637;-33.981070128970906
1739209918.45267;-38.13080360867914
1739209918.4526763;-38.13080360867914
1739209918.4526827;-35.57807855764607
1739209918.452689;-31.14110356531892
1739209918.4526954;-35.57807855764607
1739209918.4527016;-38.13080360867914
1739209918.452708;-38.13080360867914
1739209918.4527142;-45.120503652039325
1739209918.4527206;-33.981070128970906
1739209918.4527268;-38.13080360867914
1739209918.4527333;-31.141103565318915
1739209918.4527395;-45.120503652039325
1739209918.452746;-33.981070128970906
1739209918.452752;-38.13080360867914
1739209918.4527586;-35.57807855764607
1739209918.4527647;-38.13080360867914
1739209918.4527712;-30.49652367304973
1739209918.4527774;-32.816014438256545
1739209918.4527838;-33.981070128970906
1739209918.45279;-38.13080360867914
1739209918.4527965;-38.13080360867914
1739209918.4528027;-31.141103565318915
1739209918.452809;-30.49652367304973
1739209918.4528153;-45.120503652039325
1739209918.4528217;-35.57807855764607
1739209918.452828;-45.120503652039325
1739209918.4528344;-38.13080360867914
1739209918.4528406;-33.981070128970906
1739209918.452847;-31.141103565318915
1739209918.4528532;-38.13080360867914
1739209918.4528596;-31.141103565318915
