CAN Message; 0x77:9a1019e04b13557c
Timestamp;Amplitude
1739209919.3583233;-33.981070128970906
1739209919.358328;-38.13080360867914
1739209919.358333;-45.120503652039325
1739209919.358338;-38.13080360867914
1739209919.358343;-38.13080360867914
1739209919.358348;-38.13080360867914
1739209919.3583527;-45.120503652039325
1739209919.3583577;-45.120503652039325
1739209919.3583627;-38.13080360867914
1739209919.3583674;-45.120503652039325
1739209919.3583724;-45.120503652039325
1739209919.3583775;-45.120503652039325
1739209919.3583822;-45.120503652039325
1739209919.3583872;-45.120503652039325
1739209919.3583922;-45.120503652039325
1739209919.358397;-38.13080360867914
1739209919.358402;-33.981070128970906
1739209919.3584068;-31.141103565318915
1739209919.3584118;-31.141103565318915
1739209919.3584168;-38.13080360867914
1739209919.3584216;-38.13080360867914
1739209919.3584266;-38.13080360867914
1739209919.3584316;-38.13080360867914
1739209919.3584363;-45.120503652039325
1739209919.3584414;-38.13080360867914
1739209919.3584464;-33.981070128970906
1739209919.3584511;-33.981070128970906
1739209919.3584561;-45.120503652039325
1739209919.358461;-38.13080360867914
1739209919.358466;-45.120503652039325
1739209919.358471;-45.120503652039325
1739209919.3584757;-45.120503652039325
1739209919.3584807;-38.13080360867914
1739209919.3584857;-38.13080360867914
1739209919.3584905;-45.120503652039325
1739209919.3584955;-38.13080360867914
1739209919.3585005;-45.120503652039325
1739209919.3585052;-45.120503652039325
1739209919.3585103;-38.13080360867914
1739209919.3585153;-45.120503652039325
1739209919.35852;-45.120503652039325
1739209919.358525;-33.981070128970906
1739209919.3585298;-35.57807855764607
1739209919.3585348;-38.13080360867914
1739209919.3585398;-45.120503652039325
1739209919.3585446;-38.13080360867914
1739209919.3585496;-30.49652367304973
1739209919.3585546;-38.13080360867914
1739209919.3585594;-38.13080360867914
1739209919.3585644;-35.57807855764607
1739209919.3585694;-45.120503652039325
1739209919.3585742;-33.981070128970906
1739209919.3585792;-35.57807855764607
1739209919.358584;-45.120503652039325
1739209919.358589;-38.13080360867914
1739209919.358594;-38.13080360867914
1739209919.3585987;-38.13080360867914
1739209919.3586037;-45.120503652039325
1739209919.3586087;-45.120503652039325
1739209919.3586135;-38.13080360867914
1739209919.3586185;-38.13080360867914
1739209919.3586235;-45.120503652039325
1739209919.3586283;-45.120503652039325
1739209919.3586333;-38.13080360867914
1739209919.358638;-45.120503652039325
1739209919.358643;-45.120503652039325
1739209919.358648;-33.981070128970906
1739209919.3586528;-45.120503652039325
1739209919.3586578;-45.120503652039325
1739209919.3586628;-38.13080360867914
1739209919.3586676;-35.57807855764607
1739209919.3586726;-38.13080360867914
1739209919.3586776;-35.57807855764607
1739209919.3586824;-35.57807855764607
1739209919.3586874;-45.120503652039325
1739209919.3586922;-38.13080360867914
1739209919.3586972;-32.816014438256545
1739209919.3587022;-38.13080360867914
1739209919.358707;-45.120503652039325
1739209919.358712;-45.120503652039325
1739209919.358717;-45.120503652039325
1739209919.3587217;-38.13080360867914
1739209919.3587267;-38.13080360867914
1739209919.3587317;-45.120503652039325
1739209919.3587365;-33.981070128970906
1739209919.3587415;-38.13080360867914
1739209919.3587463;-33.981070128970906
1739209919.3587513;-45.120503652039325
1739209919.3587563;-45.120503652039325
1739209919.358761;-45.120503652039325
1739209919.358766;-35.57807855764607
1739209919.358771;-32.816014438256545
1739209919.3587759;-38.13080360867914
1739209919.3587809;-35.57807855764607
1739209919.3587859;-33.981070128970906
1739209919.3587906;-45.120503652039325
1739209919.3587956;-45.120503652039325
1739209919.3588004;-35.57807855764607
1739209919.3588054;-45.120503652039325
1739209919.3588104;-38.13080360867914
1739209919.3588152;-38.13080360867914
1739209919.3588202;-38.13080360867914
1739209919.3588252;-35.57807855764607
1739209919.35883;-45.120503652039325
1739209919.358835;-45.120503652039325
1739209919.35884;-45.120503652039325
1739209919.3588448;-31.141103565318893
1739209919.3588498;-30.49652367304973
1739209919.3588548;-45.120503652039325
1739209919.3588595;-45.120503652039325
1739209919.3588645;-35.57807855764607
1739209919.3588693;-38.13080360867914
1739209919.3588743;-45.120503652039325
1739209919.3588793;-45.120503652039325
1739209919.358884;-45.120503652039325
1739209919.358889;-45.120503652039325
1739209919.358894;-38.13080360867914
1739209919.3588989;-45.120503652039325
1739209919.358904;-35.57807855764607
1739209919.358909;-32.816014438256545
1739209919.3589137;-38.13080360867914
1739209919.3589187;-45.120503652039325
1739209919.3589234;-45.120503652039325
1739209919.3589284;-35.57807855764607
1739209919.3589334;-35.57807855764607
1739209919.3589382;-38.13080360867914
1739209919.3589432;-45.120503652039325
1739209919.3589482;-38.13080360867914
1739209919.358953;-35.57807855764607
1739209919.358958;-38.13080360867914
1739209919.358963;-32.816014438256545
1739209919.3589678;-28.21854285175415
1739209919.3589728;-45.120503652039325
1739209919.3589776;-45.120503652039325
1739209919.3589826;-33.981070128970906
1739209919.3589876;-38.13080360867914
1739209919.3589923;-45.120503652039325
1739209919.3589973;-45.120503652039325
1739209919.3590024;-38.13080360867914
1739209919.3590071;-45.120503652039325
1739209919.3590121;-45.120503652039325
1739209919.3590171;-45.120503652039325
1739209919.359022;-38.13080360867914
1739209919.359027;-35.57807855764607
1739209919.3590317;-45.120503652039325
1739209919.3590367;-38.13080360867914
1739209919.3590417;-38.13080360867914
1739209919.3590465;-38.13080360867914
1739209919.3590515;-45.120503652039325
1739209919.3590565;-38.13080360867914
1739209919.3590612;-45.120503652039325
1739209919.3590662;-45.120503652039325
1739209919.3590713;-33.981070128970906
1739209919.359076;-45.120503652039325
1739209919.359081;-38.13080360867914
1739209919.3590858;-32.816014438256545
1739209919.3590908;-38.13080360867914
1739209919.3590958;-38.13080360867914
1739209919.3591006;-35.57807855764607
1739209919.3591056;-38.13080360867914
1739209919.3591106;-45.120503652039325
1739209919.3591154;-38.13080360867914
1739209919.3591204;-45.120503652039325
1739209919.3591254;-45.120503652039325
1739209919.3591301;-38.13080360867914
1739209919.3591352;-45.120503652039325
1739209919.35914;-45.120503652039325
1739209919.359145;-35.57807855764607
1739209919.35915;-38.13080360867914
1739209919.3591547;-35.57807855764607
1739209919.3591597;-45.120503652039325
1739209919.3591647;-33.981070128970906
1739209919.3591695;-35.57807855764607
1739209919.3591745;-35.57807855764607
1739209919.3591795;-45.120503652039325
1739209919.3591843;-45.120503652039325
1739209919.3591893;-38.13080360867914
1739209919.3591943;-45.120503652039325
1739209919.359199;-38.13080360867914
1739209919.359204;-38.13080360867914
1739209919.3592088;-33.981070128970906
1739209919.3592138;-32.816014438256545
1739209919.3592188;-45.120503652039325
1739209919.3592236;-38.13080360867914
1739209919.3592286;-33.981070128970906
1739209919.3592336;-38.13080360867914
1739209919.3592384;-38.13080360867914
1739209919.3592434;-38.13080360867914
1739209919.3592484;-38.13080360867914
1739209919.3592532;-38.13080360867914
1739209919.3592582;-45.120503652039325
1739209919.359263;-38.13080360867914
1739209919.359268;-38.13080360867914
1739209919.359273;-45.120503652039325
1739209919.3592777;-45.120503652039325
1739209919.3592827;-45.120503652039325
1739209919.3592877;-45.120503652039325
1739209919.3592925;-45.120503652039325
1739209919.3592975;-45.120503652039325
1739209919.3593025;-45.120503652039325
1739209919.3593073;-45.120503652039325
1739209919.3593123;-35.57807855764607
1739209919.359317;-38.13080360867914
1739209919.359322;-38.13080360867914
1739209919.359327;-28.58837851428586
1739209919.3593318;-38.13080360867914
1739209919.3593369;-38.13080360867914
1739209919.3593419;-45.120503652039325
1739209919.3593466;-38.13080360867914
1739209919.3593516;-45.120503652039325
1739209919.3593566;-35.57807855764607
1739209919.3593614;-38.13080360867914
1739209919.3593664;-33.981070128970906
1739209919.3593712;-45.120503652039325
1739209919.3593762;-38.13080360867914
1739209919.3593812;-32.816014438256545
1739209919.359386;-38.13080360867914
1739209919.359391;-45.120503652039325
1739209919.359396;-45.120503652039325
1739209919.3594007;-45.120503652039325
1739209919.3594058;-33.981070128970906
1739209919.3594108;-45.120503652039325
1739209919.3594155;-45.120503652039325
1739209919.3594205;-38.13080360867914
1739209919.3594253;-38.13080360867914
1739209919.3594303;-45.120503652039325
1739209919.3594353;-38.13080360867914
1739209919.35944;-45.120503652039325
1739209919.359445;-27.267205301931607
1739209919.35945;-35.57807855764607
1739209919.3594549;-38.13080360867914
1739209919.3594599;-38.13080360867914
1739209919.359465;-38.13080360867914
1739209919.3594697;-38.13080360867914
1739209919.3594747;-45.120503652039325
1739209919.3594794;-45.120503652039325
1739209919.3594844;-33.981070128970906
1739209919.3594894;-38.13080360867914
1739209919.3594942;-45.120503652039325
1739209919.3594992;-38.13080360867914
1739209919.3595042;-35.57807855764607
1739209919.359509;-38.13080360867914
1739209919.359514;-38.13080360867914
1739209919.359519;-45.120503652039325
1739209919.3595238;-33.981070128970906
1739209919.3595288;-35.57807855764607
1739209919.3595338;-38.13080360867914
1739209919.3595386;-45.120503652039325
1739209919.3595436;-45.120503652039325
1739209919.3595483;-45.120503652039325
1739209919.3595533;-45.120503652039325
1739209919.3595583;-45.120503652039325
1739209919.359563;-33.981070128970906
1739209919.359568;-38.13080360867914
1739209919.3595731;-38.13080360867914
1739209919.359578;-38.13080360867914
1739209919.359583;-38.13080360867914
1739209919.359588;-45.120503652039325
1739209919.3595927;-35.57807855764607
1739209919.3595977;-38.13080360867914
1739209919.3596025;-45.120503652039325
1739209919.3596075;-35.57807855764607
1739209919.3596125;-45.120503652039325
1739209919.3596172;-45.120503652039325
1739209919.3596222;-38.13080360867914
1739209919.3596272;-32.816014438256545
1739209919.359632;-45.120503652039325
1739209919.359637;-45.120503652039325
1739209919.359642;-31.141103565318915
1739209919.3596468;-38.13080360867914
1739209919.3596518;-38.13080360867914
1739209919.3596566;-45.120503652039325
1739209919.3596616;-45.120503652039325
1739209919.3596666;-45.120503652039325
1739209919.3596714;-45.120503652039325
1739209919.3596764;-45.120503652039325
1739209919.3596814;-45.120503652039325
1739209919.3596861;-45.120503652039325
1739209919.3596911;-38.13080360867914
1739209919.3596961;-45.120503652039325
1739209919.359701;-33.981070128970906
1739209919.359706;-45.120503652039325
1739209919.3597107;-45.120503652039325
1739209919.3597157;-45.120503652039325
1739209919.3597207;-35.57807855764607
1739209919.3597255;-31.141103565318893
1739209919.3597305;-45.120503652039325
1739209919.3597355;-45.120503652039325
1739209919.3597403;-38.13080360867914
1739209919.3597453;-32.816014438256545
1739209919.3597503;-45.120503652039325
1739209919.359755;-45.120503652039325
1739209919.35976;-38.13080360867914
1739209919.3597648;-38.13080360867914
1739209919.3597698;-38.13080360867914
1739209919.3597748;-45.120503652039325
1739209919.3597796;-45.120503652039325
1739209919.3597846;-45.120503652039325
1739209919.3597896;-45.120503652039325
1739209919.3597944;-45.120503652039325
1739209919.3597994;-45.120503652039325
1739209919.3598044;-45.120503652039325
1739209919.3598092;-38.13080360867914
1739209919.3598142;-45.120503652039325
1739209919.359819;-33.981070128970906
1739209919.359824;-31.141103565318893
1739209919.359829;-38.13080360867914
1739209919.3598337;-45.120503652039325
1739209919.3598387;-32.816014438256545
1739209919.3598437;-25.826314394896354
1739209919.3598485;-38.13080360867914
1739209919.3598535;-45.120503652039325
1739209919.3598585;-45.120503652039325
1739209919.3598633;-45.120503652039325
1739209919.3598683;-45.120503652039325
1739209919.3598733;-38.13080360867914
1739209919.359878;-45.120503652039325
1739209919.359883;-33.981070128970956
1739209919.3598878;-45.120503652039325
1739209919.3598928;-45.120503652039325
1739209919.3598979;-38.13080360867914
