CAN Message; 0x1d3:00008dbd91f933a3
Timestamp;Amplitude
1739209644.1404426;-38.13080360867914
1739209644.140447;-38.13080360867914
1739209644.140451;-38.13080360867914
1739209644.140455;-45.120503652039325
1739209644.140459;-45.120503652039325
1739209644.1404634;-38.13080360867914
1739209644.1404674;-45.120503652039325
1739209644.1404715;-45.120503652039325
1739209644.1404755;-45.120503652039325
1739209644.1404798;-45.120503652039325
1739209644.1404839;-45.120503652039325
1739209644.140488;-45.120503652039325
1739209644.140492;-45.120503652039325
1739209644.1404963;-38.13080360867914
1739209644.1405003;-38.13080360867914
1739209644.1405044;-38.13080360867914
1739209644.1405084;-38.13080360867914
1739209644.1405125;-35.57807855764607
1739209644.1405168;-38.13080360867914
1739209644.1405208;-38.13080360867914
1739209644.1405249;-35.57807855764607
1739209644.140529;-35.57807855764607
1739209644.1405332;-45.120503652039325
1739209644.1405373;-45.120503652039325
1739209644.1405413;-33.981070128970906
1739209644.1405454;-45.120503652039325
1739209644.1405497;-45.120503652039325
1739209644.1405537;-38.13080360867914
1739209644.1405578;-38.13080360867914
1739209644.1405618;-38.13080360867914
1739209644.140566;-45.120503652039325
1739209644.1405702;-45.120503652039325
1739209644.1405742;-38.13080360867914
1739209644.1405783;-45.120503652039325
1739209644.1405826;-38.13080360867914
1739209644.1405866;-38.13080360867914
1739209644.1405907;-45.120503652039325
1739209644.1405947;-45.120503652039325
1739209644.140599;-45.120503652039325
1739209644.140603;-38.13080360867914
1739209644.140607;-45.120503652039325
1739209644.1406112;-35.57807855764607
1739209644.1406155;-38.13080360867914
1739209644.1406195;-45.120503652039325
1739209644.1406236;-38.13080360867914
1739209644.1406276;-35.57807855764607
1739209644.140632;-38.13080360867914
1739209644.140636;-38.13080360867914
1739209644.14064;-35.57807855764607
1739209644.140644;-38.13080360867914
1739209644.1406484;-45.120503652039325
1739209644.1406524;-38.13080360867914
1739209644.1406565;-38.13080360867914
1739209644.1406605;-45.120503652039325
1739209644.1406648;-38.13080360867914
1739209644.1406689;-38.13080360867914
1739209644.140673;-38.13080360867914
1739209644.140677;-38.13080360867914
1739209644.1406813;-45.120503652039325
1739209644.1406853;-38.13080360867914
1739209644.1406894;-45.120503652039325
1739209644.1406934;-38.13080360867914
1739209644.1406975;-45.120503652039325
1739209644.1407018;-45.120503652039325
1739209644.1407058;-45.120503652039325
1739209644.1407099;-31.141103565318915
1739209644.140714;-33.981070128970906
1739209644.1407182;-45.120503652039325
1739209644.1407223;-38.13080360867914
1739209644.1407263;-45.120503652039325
1739209644.1407304;-45.120503652039325
1739209644.1407347;-38.13080360867914
1739209644.1407387;-32.816014438256545
1739209644.1407428;-38.13080360867914
1739209644.1407468;-38.13080360867914
1739209644.1407511;-33.981070128970906
1739209644.1407552;-45.120503652039325
1739209644.1407592;-45.120503652039325
1739209644.1407633;-45.120503652039325
1739209644.1407676;-38.13080360867914
1739209644.1407716;-45.120503652039325
1739209644.1407757;-32.816014438256545
1739209644.1407797;-28.992665084841942
1739209644.140784;-45.120503652039325
1739209644.140788;-33.981070128970906
1739209644.1407921;-38.13080360867914
1739209644.1407962;-32.816014438256545
1739209644.1408005;-45.120503652039325
1739209644.1408045;-35.57807855764607
1739209644.1408086;-38.13080360867914
1739209644.1408126;-45.120503652039325
1739209644.140817;-45.120503652039325
1739209644.140821;-38.13080360867914
1739209644.140825;-45.120503652039325
1739209644.140829;-38.13080360867914
1739209644.1408334;-35.57807855764607
1739209644.1408374;-45.120503652039325
1739209644.1408415;-38.13080360867914
1739209644.1408455;-35.57807855764607
1739209644.1408498;-38.13080360867914
1739209644.140854;-35.57807855764607
1739209644.140858;-38.13080360867914
1739209644.140862;-35.57807855764607
1739209644.140866;-38.13080360867914
1739209644.1408703;-35.57807855764607
1739209644.1408744;-45.120503652039325
1739209644.1408784;-45.120503652039325
1739209644.1408825;-38.13080360867914
1739209644.1408868;-32.816014438256545
1739209644.1408908;-45.120503652039325
1739209644.140895;-45.120503652039325
1739209644.140899;-45.120503652039325
1739209644.1409032;-45.120503652039325
1739209644.1409073;-45.120503652039325
1739209644.1409113;-45.120503652039325
1739209644.1409154;-45.120503652039325
1739209644.1409197;-45.120503652039325
1739209644.1409237;-45.120503652039325
1739209644.1409278;-45.120503652039325
1739209644.1409318;-38.13080360867914
1739209644.1409361;-45.120503652039325
1739209644.1409402;-38.13080360867914
1739209644.1409442;-28.21854285175415
1739209644.1409483;-35.57807855764607
1739209644.1409526;-38.13080360867914
1739209644.1409566;-38.13080360867914
1739209644.1409607;-38.13080360867914
1739209644.1409647;-45.120503652039325
1739209644.140969;-38.13080360867914
1739209644.140973;-45.120503652039325
