CAN Message; 0x1b8:0300ba43d62d9c94
Timestamp;Amplitude
1739209759.2647061;-38.13080360867914
1739209759.2647111;-45.120503652039325
1739209759.264716;-33.981070128970906
1739209759.2647207;-45.120503652039325
1739209759.2647254;-45.120503652039325
1739209759.2647302;-45.120503652039325
1739209759.2647352;-38.13080360867914
1739209759.26474;-38.13080360867914
1739209759.2647448;-45.120503652039325
1739209759.2647495;-45.120503652039325
1739209759.2647545;-45.120503652039325
1739209759.2647593;-45.120503652039325
1739209759.264764;-38.13080360867914
1739209759.2647688;-38.13080360867914
1739209759.2647736;-38.13080360867914
1739209759.2647786;-38.13080360867914
1739209759.2647834;-38.13080360867914
1739209759.2647882;-45.120503652039325
1739209759.264793;-32.816014438256545
1739209759.264798;-35.57807855764607
1739209759.2648027;-45.120503652039325
1739209759.2648075;-45.120503652039325
1739209759.2648122;-31.141103565318893
1739209759.2648172;-33.981070128970906
1739209759.264822;-45.120503652039325
1739209759.2648268;-45.120503652039325
1739209759.2648315;-45.120503652039325
1739209759.2648363;-45.120503652039325
1739209759.2648413;-38.13080360867914
1739209759.264846;-38.13080360867914
1739209759.2648509;-45.120503652039325
1739209759.2648556;-38.13080360867914
1739209759.2648606;-45.120503652039325
1739209759.2648654;-45.120503652039325
1739209759.2648702;-31.141103565318893
1739209759.264875;-31.141103565318893
1739209759.2648797;-45.120503652039325
1739209759.2648847;-45.120503652039325
1739209759.2648895;-35.57807855764607
1739209759.2648942;-35.57807855764607
1739209759.264899;-45.120503652039325
1739209759.264904;-38.13080360867914
1739209759.2649088;-45.120503652039325
1739209759.2649136;-45.120503652039325
1739209759.2649183;-45.120503652039325
1739209759.264923;-45.120503652039325
1739209759.264928;-45.120503652039325
1739209759.2649329;-45.120503652039325
1739209759.2649376;-38.13080360867914
1739209759.2649424;-45.120503652039325
1739209759.2649474;-45.120503652039325
1739209759.2649522;-45.120503652039325
1739209759.264957;-38.13080360867914
1739209759.2649617;-38.13080360867914
1739209759.2649667;-38.13080360867914
1739209759.2649715;-45.120503652039325
1739209759.2649763;-38.13080360867914
1739209759.264981;-38.13080360867914
1739209759.2649858;-33.981070128970906
1739209759.2649908;-32.816014438256545
1739209759.2649956;-45.120503652039325
1739209759.2650003;-45.120503652039325
1739209759.265005;-45.120503652039325
1739209759.26501;-45.120503652039325
1739209759.265015;-45.120503652039325
1739209759.2650197;-38.13080360867914
1739209759.2650244;-38.13080360867914
1739209759.2650292;-38.13080360867914
1739209759.2650342;-38.13080360867914
1739209759.265039;-45.120503652039325
1739209759.2650437;-45.120503652039325
1739209759.2650485;-45.120503652039325
1739209759.2650535;-33.981070128970906
1739209759.2650583;-45.120503652039325
1739209759.265063;-32.816014438256545
1739209759.2650678;-31.141103565318893
1739209759.2650726;-45.120503652039325
1739209759.2650776;-45.120503652039325
1739209759.2650824;-35.57807855764607
1739209759.2650871;-38.13080360867914
1739209759.265092;-45.120503652039325
1739209759.265097;-38.13080360867914
