CAN Message; 0x39:0828d7647f2c31fd
Timestamp;Amplitude
1739209706.6165714;-35.57807855764607
1739209706.6165733;-32.816014438256545
1739209706.6165755;-33.981070128970906
1739209706.6165774;-38.13080360867914
1739209706.6165795;-35.57807855764607
1739209706.6165817;-38.13080360867914
1739209706.6165836;-38.13080360867914
1739209706.6165857;-35.57807855764607
1739209706.6165879;-45.120503652039325
1739209706.6165898;-45.120503652039325
1739209706.616592;-38.13080360867914
1739209706.6165938;-38.13080360867914
1739209706.616596;-45.120503652039325
1739209706.6165981;-38.13080360867914
1739209706.6166;-35.57807855764607
1739209706.6166022;-38.13080360867914
1739209706.6166043;-45.120503652039325
1739209706.6166062;-38.13080360867914
1739209706.6166084;-38.13080360867914
1739209706.6166103;-38.13080360867914
1739209706.6166124;-45.120503652039325
1739209706.6166146;-45.120503652039325
1739209706.6166165;-33.981070128970906
1739209706.6166186;-45.120503652039325
1739209706.6166208;-38.13080360867914
1739209706.6166227;-38.13080360867914
1739209706.6166248;-35.57807855764607
1739209706.6166267;-38.13080360867914
1739209706.616629;-35.57807855764607
1739209706.616631;-38.13080360867914
1739209706.616633;-33.981070128970906
1739209706.616635;-32.816014438256545
1739209706.6166372;-45.120503652039325
1739209706.6166391;-38.13080360867914
1739209706.6166413;-45.120503652039325
1739209706.6166432;-45.120503652039325
1739209706.6166453;-33.981070128970906
1739209706.6166475;-33.981070128970906
1739209706.6166494;-45.120503652039325
1739209706.6166515;-45.120503652039325
1739209706.6166537;-45.120503652039325
1739209706.6166556;-45.120503652039325
1739209706.6166577;-45.120503652039325
1739209706.6166596;-45.120503652039325
1739209706.6166618;-45.120503652039325
1739209706.616664;-38.13080360867914
1739209706.6166658;-38.13080360867914
1739209706.616668;-45.120503652039325
1739209706.61667;-45.120503652039325
1739209706.616672;-45.120503652039325
1739209706.6166742;-35.57807855764607
1739209706.616676;-35.57807855764607
1739209706.6166782;-38.13080360867914
1739209706.6166804;-45.120503652039325
1739209706.6166823;-31.141103565318893
1739209706.6166844;-29.438486411369333
1739209706.6166863;-45.120503652039325
1739209706.6166885;-45.120503652039325
1739209706.6166906;-35.57807855764607
1739209706.6166925;-35.57807855764607
1739209706.6166947;-45.120503652039325
1739209706.6166968;-45.120503652039325
1739209706.6166987;-38.13080360867914
1739209706.616701;-45.120503652039325
1739209706.6167028;-45.120503652039325
1739209706.616705;-45.120503652039325
1739209706.616707;-45.120503652039325
1739209706.616709;-45.120503652039325
1739209706.6167111;-45.120503652039325
1739209706.6167133;-38.13080360867914
1739209706.6167152;-45.120503652039325
1739209706.6167173;-45.120503652039325
1739209706.6167192;-45.120503652039325
1739209706.6167214;-45.120503652039325
1739209706.6167235;-45.120503652039325
1739209706.6167254;-45.120503652039325
1739209706.6167276;-38.13080360867914
1739209706.6167297;-38.13080360867914
1739209706.6167316;-38.13080360867914
1739209706.6167338;-28.58837851428586
1739209706.6167357;-32.816014438256545
1739209706.6167378;-38.13080360867914
1739209706.61674;-38.13080360867914
1739209706.616742;-38.13080360867914
1739209706.616744;-38.13080360867914
1739209706.616746;-38.13080360867914
1739209706.616748;-45.120503652039325
1739209706.6167502;-35.57807855764607
1739209706.6167521;-38.13080360867914
1739209706.6167543;-38.13080360867914
1739209706.6167564;-38.13080360867914
1739209706.6167583;-45.120503652039325
1739209706.6167605;-45.120503652039325
1739209706.6167624;-45.120503652039325
1739209706.6167645;-38.13080360867914
1739209706.6167667;-38.13080360867914
1739209706.6167686;-45.120503652039325
1739209706.6167707;-45.120503652039325
1739209706.616773;-33.981070128970906
1739209706.6167748;-45.120503652039325
1739209706.616777;-38.13080360867914
1739209706.6167789;-45.120503652039325
1739209706.616781;-45.120503652039325
1739209706.6167831;-33.981070128970906
1739209706.616785;-45.120503652039325
1739209706.6167872;-45.120503652039325
1739209706.6167893;-38.13080360867914
1739209706.6167912;-38.13080360867914
1739209706.6167934;-38.13080360867914
1739209706.6167953;-45.120503652039325
1739209706.6167974;-45.120503652039325
1739209706.6167996;-45.120503652039325
1739209706.6168015;-45.120503652039325
1739209706.6168036;-38.13080360867914
1739209706.6168058;-38.13080360867914
1739209706.6168077;-45.120503652039325
1739209706.6168098;-38.13080360867914
1739209706.6168118;-38.13080360867914
1739209706.616814;-45.120503652039325
1739209706.616816;-38.13080360867914
1739209706.616818;-38.13080360867914
1739209706.61682;-38.13080360867914
1739209706.6168222;-38.13080360867914
1739209706.6168242;-38.13080360867914
1739209706.6168263;-45.120503652039325
1739209706.6168282;-45.120503652039325
