CAN Message; 0x1a7:000084a6b91b20c3
Timestamp;Amplitude
1739209872.1984954;-33.981070128970906
1739209872.1985033;-38.13080360867914
1739209872.1985114;-33.981070128970906
1739209872.1985195;-45.120503652039325
1739209872.1985273;-45.120503652039325
1739209872.1985354;-35.57807855764607
1739209872.1985433;-35.57807855764607
1739209872.1985514;-38.13080360867914
1739209872.1985595;-45.120503652039325
1739209872.1985674;-38.13080360867914
1739209872.1985755;-45.120503652039325
1739209872.1985836;-45.120503652039325
1739209872.1985915;-45.120503652039325
1739209872.1985996;-45.120503652039325
1739209872.1986074;-45.120503652039325
1739209872.1986156;-32.816014438256545
1739209872.1986237;-35.57807855764607
1739209872.1986315;-45.120503652039325
1739209872.1986396;-38.13080360867914
1739209872.1986477;-45.120503652039325
1739209872.1986556;-38.13080360867914
1739209872.1986637;-38.13080360867914
1739209872.1986716;-38.13080360867914
1739209872.1986797;-45.120503652039325
1739209872.1986878;-38.13080360867914
1739209872.1986957;-38.13080360867914
1739209872.1987038;-38.13080360867914
1739209872.1987119;-45.120503652039325
1739209872.1987197;-38.13080360867914
1739209872.1987278;-45.120503652039325
1739209872.1987357;-45.120503652039325
1739209872.1987438;-35.57807855764607
1739209872.198752;-38.13080360867914
1739209872.1987598;-45.120503652039325
1739209872.198768;-45.120503652039325
1739209872.198776;-32.816014438256545
1739209872.1987839;-35.57807855764607
1739209872.198792;-38.13080360867914
1739209872.1988;-38.13080360867914
1739209872.198808;-35.57807855764607
1739209872.198816;-33.981070128970906
1739209872.198824;-38.13080360867914
1739209872.198832;-38.13080360867914
1739209872.1988401;-45.120503652039325
1739209872.198848;-45.120503652039325
1739209872.198856;-33.981070128970906
1739209872.1988642;-45.120503652039325
1739209872.198872;-45.120503652039325
1739209872.1988802;-38.13080360867914
1739209872.198888;-38.13080360867914
1739209872.1988962;-38.13080360867914
1739209872.1989043;-45.120503652039325
1739209872.1989121;-33.981070128970906
1739209872.1989202;-38.13080360867914
1739209872.1989284;-38.13080360867914
1739209872.1989362;-35.57807855764607
1739209872.1989443;-38.13080360867914
1739209872.1989522;-38.13080360867914
1739209872.1989603;-45.120503652039325
1739209872.1989684;-28.58837851428586
1739209872.1989763;-30.49652367304973
1739209872.1989844;-45.120503652039325
1739209872.1989925;-38.13080360867914
1739209872.1990004;-45.120503652039325
1739209872.1990085;-38.13080360867914
1739209872.1990166;-38.13080360867914
1739209872.1990244;-33.981070128970906
1739209872.1990325;-38.13080360867914
1739209872.1990404;-35.57807855764607
1739209872.1990485;-35.57807855764607
1739209872.1990566;-45.120503652039325
1739209872.1990645;-45.120503652039325
1739209872.1990726;-45.120503652039325
1739209872.1990807;-38.13080360867914
1739209872.1990886;-38.13080360867914
1739209872.1990967;-30.49652367304973
1739209872.1991045;-28.992665084841942
1739209872.1991127;-45.120503652039325
1739209872.1991208;-38.13080360867914
1739209872.1991286;-32.816014438256545
1739209872.1991367;-33.981070128970906
1739209872.1991448;-45.120503652039325
1739209872.1991527;-38.13080360867914
1739209872.1991608;-35.57807855764607
1739209872.1991687;-38.13080360867914
1739209872.1991768;-38.13080360867914
1739209872.199185;-35.57807855764607
1739209872.1991928;-45.120503652039325
1739209872.1992009;-45.120503652039325
1739209872.199209;-45.120503652039325
1739209872.1992168;-45.120503652039325
1739209872.199225;-45.120503652039325
1739209872.1992328;-35.57807855764607
1739209872.199241;-38.13080360867914
1739209872.199249;-45.120503652039325
1739209872.199257;-45.120503652039325
1739209872.199265;-45.120503652039325
1739209872.199273;-35.57807855764607
1739209872.199281;-38.13080360867914
1739209872.199289;-38.13080360867914
1739209872.1992972;-27.267205301931607
1739209872.199305;-45.120503652039325
1739209872.1993132;-45.120503652039325
1739209872.199321;-38.13080360867914
1739209872.1993291;-33.981070128970906
1739209872.1993372;-45.120503652039325
1739209872.199345;-35.57807855764607
1739209872.1993532;-33.981070128970906
1739209872.1993613;-32.816014438256545
1739209872.1993692;-45.120503652039325
1739209872.1993773;-38.13080360867914
1739209872.1993852;-38.13080360867914
1739209872.1993933;-45.120503652039325
1739209872.1994014;-38.13080360867914
1739209872.1994092;-38.13080360867914
1739209872.1994174;-38.13080360867914
1739209872.1994255;-28.992665084841942
1739209872.1994333;-45.120503652039325
1739209872.1994414;-38.13080360867914
1739209872.1994493;-45.120503652039325
1739209872.1994574;-38.13080360867914
1739209872.1994655;-35.57807855764607
1739209872.1994734;-33.981070128970906
1739209872.1994815;-45.120503652039325
1739209872.1994896;-45.120503652039325
1739209872.1994975;-45.120503652039325
1739209872.1995056;-38.13080360867914
1739209872.1995134;-45.120503652039325
1739209872.1995215;-38.13080360867914
1739209872.1995296;-38.13080360867914
1739209872.1995375;-45.120503652039325
1739209872.1995456;-38.13080360867914
1739209872.1995537;-38.13080360867914
1739209872.1995616;-35.57807855764607
1739209872.1995697;-38.13080360867914
1739209872.1995778;-45.120503652039325
1739209872.1995857;-45.120503652039325
1739209872.1995938;-33.981070128970906
1739209872.1996017;-38.13080360867914
