CAN Message; 0x24:0badc3a092dda735
Timestamp;Amplitude
1739209899.552672;-45.120503652039325
1739209899.5526772;-38.13080360867914
1739209899.5526826;-35.57807855764607
1739209899.552688;-38.13080360867914
1739209899.5526931;-45.120503652039325
1739209899.5526984;-45.120503652039325
1739209899.5527036;-45.120503652039325
1739209899.552709;-38.13080360867914
1739209899.5527143;-35.57807855764607
1739209899.5527196;-45.120503652039325
1739209899.5527248;-45.120503652039325
1739209899.55273;-38.13080360867914
1739209899.5527356;-35.57807855764607
1739209899.5527408;-45.120503652039325
1739209899.552746;-38.13080360867914
1739209899.5527513;-38.13080360867914
1739209899.5527568;-45.120503652039325
1739209899.552762;-45.120503652039325
1739209899.5527673;-35.57807855764607
1739209899.5527725;-38.13080360867914
1739209899.5527778;-45.120503652039325
1739209899.5527833;-45.120503652039325
1739209899.5527885;-38.13080360867914
1739209899.5527937;-38.13080360867914
1739209899.552799;-45.120503652039325
1739209899.5528042;-38.13080360867914
1739209899.5528097;-38.13080360867914
1739209899.552815;-38.13080360867914
1739209899.5528202;-45.120503652039325
1739209899.5528255;-38.13080360867914
1739209899.5528307;-45.120503652039325
1739209899.5528362;-45.120503652039325
1739209899.5528414;-38.13080360867914
1739209899.5528467;-35.57807855764607
1739209899.552852;-38.13080360867914
1739209899.5528572;-45.120503652039325
1739209899.5528626;-45.120503652039325
1739209899.552868;-38.13080360867914
1739209899.5528731;-38.13080360867914
1739209899.5528784;-45.120503652039325
1739209899.5528839;-45.120503652039325
1739209899.552889;-45.120503652039325
1739209899.5528944;-38.13080360867914
1739209899.5528996;-38.13080360867914
1739209899.5529048;-38.13080360867914
1739209899.5529103;-38.13080360867914
1739209899.5529156;-38.13080360867914
1739209899.5529208;-45.120503652039325
1739209899.552926;-45.120503652039325
1739209899.5529313;-38.13080360867914
1739209899.5529368;-45.120503652039325
1739209899.552942;-45.120503652039325
1739209899.5529473;-45.120503652039325
1739209899.5529525;-38.13080360867914
1739209899.5529578;-38.13080360867914
1739209899.5529633;-38.13080360867914
1739209899.5529685;-45.120503652039325
1739209899.5529737;-45.120503652039325
1739209899.552979;-45.120503652039325
1739209899.5529842;-38.13080360867914
1739209899.5529897;-45.120503652039325
1739209899.552995;-45.120503652039325
1739209899.5530002;-32.816014438256545
1739209899.5530055;-45.120503652039325
1739209899.553011;-38.13080360867914
1739209899.5530162;-38.13080360867914
1739209899.5530214;-35.57807855764607
1739209899.5530267;-45.120503652039325
1739209899.553032;-45.120503652039325
1739209899.5530374;-33.981070128970906
1739209899.5530427;-38.13080360867914
1739209899.553048;-33.981070128970906
1739209899.5530531;-38.13080360867914
1739209899.5530584;-45.120503652039325
1739209899.5530639;-45.120503652039325
1739209899.553069;-38.13080360867914
1739209899.5530744;-38.13080360867914
1739209899.5530796;-45.120503652039325
1739209899.5530849;-33.981070128970906
1739209899.5530903;-45.120503652039325
1739209899.5530956;-33.981070128970906
1739209899.5531008;-33.981070128970906
1739209899.553106;-38.13080360867914
1739209899.5531113;-45.120503652039325
1739209899.5531168;-45.120503652039325
1739209899.553122;-38.13080360867914
1739209899.5531273;-38.13080360867914
1739209899.5531325;-45.120503652039325
1739209899.553138;-38.13080360867914
1739209899.5531433;-38.13080360867914
1739209899.5531485;-38.13080360867914
1739209899.5531538;-38.13080360867914
1739209899.553159;-38.13080360867914
1739209899.5531645;-38.13080360867914
1739209899.5531697;-30.49652367304973
1739209899.553175;-45.120503652039325
1739209899.5531802;-38.13080360867914
1739209899.5531855;-35.57807855764607
1739209899.553191;-35.57807855764607
1739209899.5531962;-45.120503652039325
1739209899.5532014;-45.120503652039325
1739209899.5532067;-45.120503652039325
1739209899.553212;-38.13080360867914
1739209899.5532174;-38.13080360867914
1739209899.5532227;-45.120503652039325
1739209899.553228;-38.13080360867914
1739209899.5532331;-35.57807855764607
1739209899.5532384;-38.13080360867914
1739209899.5532439;-45.120503652039325
1739209899.5532491;-38.13080360867914
1739209899.5532544;-32.816014438256545
1739209899.5532596;-45.120503652039325
1739209899.553265;-45.120503652039325
1739209899.5532703;-33.981070128970906
1739209899.5532756;-38.13080360867914
1739209899.5532808;-38.13080360867914
1739209899.553286;-38.13080360867914
1739209899.5532916;-32.816014438256545
1739209899.5532968;-35.57807855764607
1739209899.553302;-38.13080360867914
1739209899.5533073;-38.13080360867914
1739209899.5533125;-38.13080360867914
1739209899.553318;-35.57807855764607
1739209899.5533233;-38.13080360867914
1739209899.5533285;-45.120503652039325
1739209899.5533338;-45.120503652039325
1739209899.553339;-45.120503652039325
1739209899.5533445;-38.13080360867914
1739209899.5533497;-38.13080360867914
