CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6368825;-31.141103565318893
1739209738.6368861;-38.13080360867914
1739209738.6368897;-38.13080360867914
1739209738.6368935;-35.57807855764607
1739209738.636897;-33.981070128970906
1739209738.6369007;-38.13080360867914
1739209738.6369045;-38.13080360867914
1739209738.636908;-32.816014438256545
1739209738.6369116;-45.120503652039325
1739209738.6369152;-38.13080360867914
1739209738.636919;-38.13080360867914
1739209738.6369226;-38.13080360867914
1739209738.6369262;-45.120503652039325
1739209738.63693;-45.120503652039325
1739209738.6369336;-45.120503652039325
1739209738.6369371;-45.120503652039325
1739209738.636941;-33.981070128970906
1739209738.6369445;-38.13080360867914
1739209738.636948;-38.13080360867914
1739209738.6369517;-45.120503652039325
1739209738.6369555;-35.57807855764607
1739209738.636959;-35.57807855764607
1739209738.6369627;-45.120503652039325
1739209738.6369665;-38.13080360867914
1739209738.63697;-45.120503652039325
1739209738.6369736;-45.120503652039325
1739209738.6369772;-38.13080360867914
1739209738.636981;-38.13080360867914
1739209738.6369846;-45.120503652039325
1739209738.6369882;-45.120503652039325
1739209738.636992;-38.13080360867914
1739209738.6369956;-38.13080360867914
1739209738.6369991;-45.120503652039325
1739209738.6370027;-45.120503652039325
1739209738.6370065;-38.13080360867914
1739209738.63701;-35.57807855764607
1739209738.6370137;-33.981070128970906
1739209738.6370175;-45.120503652039325
1739209738.637021;-38.13080360867914
1739209738.6370246;-45.120503652039325
1739209738.6370285;-32.816014438256545
1739209738.637032;-31.141103565318893
1739209738.6370356;-45.120503652039325
1739209738.6370392;-45.120503652039325
1739209738.637043;-45.120503652039325
1739209738.6370466;-45.120503652039325
1739209738.6370502;-45.120503652039325
1739209738.637054;-38.13080360867914
1739209738.6370575;-45.120503652039325
1739209738.637061;-45.120503652039325
1739209738.6370647;-45.120503652039325
1739209738.6370685;-45.120503652039325
1739209738.637072;-31.141103565318915
1739209738.6370757;-38.13080360867914
1739209738.6370795;-38.13080360867914
1739209738.637083;-45.120503652039325
1739209738.6370866;-31.141103565318893
1739209738.6370902;-28.21854285175415
1739209738.637094;-45.120503652039325
1739209738.6370976;-38.13080360867914
1739209738.6371012;-45.120503652039325
1739209738.637105;-45.120503652039325
1739209738.6371086;-38.13080360867914
1739209738.6371121;-38.13080360867914
1739209738.637116;-45.120503652039325
1739209738.6371195;-45.120503652039325
1739209738.637123;-38.13080360867914
1739209738.6371267;-38.13080360867914
1739209738.6371305;-45.120503652039325
1739209738.637134;-45.120503652039325
1739209738.6371377;-38.13080360867914
1739209738.6371415;-45.120503652039325
1739209738.637145;-32.816014438256545
