CAN Message; 0x1d3:0000999ca499c36a
Timestamp;Amplitude
1739209686.0479908;-35.57807855764607
1739209686.047999;-38.13080360867914
1739209686.0480072;-38.13080360867914
1739209686.0480156;-38.13080360867914
1739209686.048024;-38.13080360867914
1739209686.0480323;-38.13080360867914
1739209686.0480406;-45.120503652039325
1739209686.048049;-32.816014438256545
1739209686.048057;-33.981070128970906
1739209686.0480654;-45.120503652039325
1739209686.0480738;-45.120503652039325
1739209686.048082;-45.120503652039325
1739209686.0480905;-45.120503652039325
1739209686.0480988;-45.120503652039325
1739209686.0481071;-45.120503652039325
1739209686.0481155;-45.120503652039325
1739209686.0481236;-45.120503652039325
1739209686.048132;-45.120503652039325
1739209686.0481403;-45.120503652039325
1739209686.0481486;-38.13080360867914
1739209686.048157;-45.120503652039325
1739209686.0481653;-38.13080360867914
1739209686.0481737;-38.13080360867914
1739209686.048182;-30.49652367304973
1739209686.04819;-30.49652367304973
1739209686.0481985;-45.120503652039325
1739209686.0482068;-35.57807855764607
1739209686.0482152;-33.981070128970906
1739209686.0482235;-35.57807855764607
1739209686.0482318;-38.13080360867914
1739209686.0482402;-38.13080360867914
1739209686.0482483;-45.120503652039325
1739209686.0482566;-45.120503652039325
1739209686.048265;-45.120503652039325
1739209686.0482733;-45.120503652039325
1739209686.0482817;-45.120503652039325
1739209686.04829;-38.13080360867914
1739209686.0482984;-38.13080360867914
1739209686.0483067;-45.120503652039325
1739209686.0483148;-31.141103565318915
1739209686.0483232;-32.816014438256545
1739209686.0483315;-38.13080360867914
1739209686.0483398;-45.120503652039325
1739209686.0483482;-38.13080360867914
1739209686.0483565;-38.13080360867914
1739209686.0483649;-38.13080360867914
1739209686.048373;-45.120503652039325
1739209686.0483813;-32.816014438256545
1739209686.0483897;-32.816014438256545
1739209686.048398;-45.120503652039325
1739209686.0484064;-45.120503652039325
1739209686.0484147;-35.57807855764607
1739209686.048423;-35.57807855764607
1739209686.0484314;-45.120503652039325
1739209686.0484395;-45.120503652039325
1739209686.0484478;-45.120503652039325
1739209686.0484562;-45.120503652039325
1739209686.0484645;-38.13080360867914
1739209686.048473;-45.120503652039325
1739209686.0484812;-45.120503652039325
1739209686.0484896;-45.120503652039325
1739209686.0484977;-45.120503652039325
1739209686.048506;-45.120503652039325
1739209686.0485144;-35.57807855764607
1739209686.0485227;-26.991370085610736
1739209686.048531;-45.120503652039325
1739209686.0485394;-45.120503652039325
1739209686.0485477;-33.981070128970906
1739209686.048556;-31.141103565318893
1739209686.0485642;-45.120503652039325
1739209686.0485725;-45.120503652039325
1739209686.048581;-38.13080360867914
1739209686.0485892;-45.120503652039325
1739209686.0485976;-45.120503652039325
1739209686.048606;-45.120503652039325
1739209686.0486143;-45.120503652039325
1739209686.0486224;-38.13080360867914
1739209686.0486307;-35.57807855764607
1739209686.048639;-45.120503652039325
1739209686.0486474;-38.13080360867914
1739209686.0486557;-30.49652367304973
1739209686.048664;-38.13080360867914
1739209686.0486724;-45.120503652039325
1739209686.0486808;-33.981070128970906
1739209686.048689;-38.13080360867914
1739209686.0486972;-38.13080360867914
1739209686.0487056;-38.13080360867914
1739209686.048714;-45.120503652039325
1739209686.0487223;-45.120503652039325
1739209686.0487306;-45.120503652039325
1739209686.048739;-45.120503652039325
1739209686.048747;-45.120503652039325
1739209686.0487554;-32.816014438256545
1739209686.0487638;-45.120503652039325
1739209686.048772;-45.120503652039325
1739209686.0487804;-38.13080360867914
1739209686.0487888;-45.120503652039325
1739209686.0487971;-38.13080360867914
1739209686.0488055;-35.57807855764607
1739209686.0488136;-45.120503652039325
1739209686.048822;-45.120503652039325
1739209686.0488303;-33.981070128970906
1739209686.0488386;-45.120503652039325
1739209686.048847;-45.120503652039325
1739209686.0488553;-32.816014438256545
1739209686.0488636;-38.13080360867914
1739209686.0488718;-38.13080360867914
1739209686.04888;-45.120503652039325
1739209686.0488884;-38.13080360867914
1739209686.0488968;-38.13080360867914
1739209686.0489051;-38.13080360867914
1739209686.0489135;-38.13080360867914
1739209686.0489218;-45.120503652039325
1739209686.0489302;-45.120503652039325
1739209686.0489383;-45.120503652039325
1739209686.0489466;-38.13080360867914
1739209686.048955;-45.120503652039325
1739209686.0489633;-33.981070128970906
1739209686.0489717;-45.120503652039325
1739209686.04898;-45.120503652039325
1739209686.0489883;-38.13080360867914
1739209686.0489964;-38.13080360867914
1739209686.0490048;-35.57807855764607
1739209686.0490131;-38.13080360867914
1739209686.0490215;-45.120503652039325
1739209686.0490298;-38.13080360867914
1739209686.0490382;-35.57807855764607
1739209686.0490465;-45.120503652039325
1739209686.0490549;-38.13080360867914
1739209686.049063;-33.981070128970906
1739209686.0490713;-32.816014438256545
1739209686.0490797;-45.120503652039325
1739209686.049088;-45.120503652039325
1739209686.0490963;-45.120503652039325
1739209686.0491047;-38.13080360867914
1739209686.049113;-33.981070128970906
1739209686.0491211;-45.120503652039325
1739209686.0491295;-38.13080360867914
1739209686.0491378;-38.13080360867914
1739209686.0491462;-38.13080360867914
1739209686.0491545;-45.120503652039325
1739209686.0491629;-45.120503652039325
1739209686.0491712;-45.120503652039325
1739209686.0491796;-45.120503652039325
1739209686.0491877;-35.57807855764607
1739209686.049196;-31.141103565318915
1739209686.0492043;-35.57807855764607
1739209686.0492127;-38.13080360867914
1739209686.049221;-45.120503652039325
1739209686.0492294;-45.120503652039325
1739209686.0492377;-45.120503652039325
1739209686.0492458;-45.120503652039325
1739209686.0492542;-45.120503652039325
1739209686.0492625;-45.120503652039325
1739209686.0492709;-45.120503652039325
1739209686.0492792;-45.120503652039325
1739209686.0492876;-33.981070128970906
1739209686.049296;-38.13080360867914
1739209686.0493042;-45.120503652039325
1739209686.0493124;-45.120503652039325
1739209686.0493207;-45.120503652039325
