CAN Message; 0x150:00007ceb573bc960
Timestamp;Amplitude
1739209897.393474;-45.120503652039325
1739209897.393479;-38.13080360867914
1739209897.393484;-31.141103565318915
1739209897.3934891;-26.487275050834725
1739209897.3934941;-45.120503652039325
1739209897.3934991;-38.13080360867914
1739209897.3935041;-35.57807855764607
1739209897.3935091;-38.13080360867914
1739209897.3935142;-45.120503652039325
1739209897.3935194;-35.57807855764607
1739209897.3935244;-38.13080360867914
1739209897.3935294;-28.992665084841942
1739209897.3935344;-38.13080360867914
1739209897.3935394;-38.13080360867914
1739209897.3935444;-32.816014438256545
1739209897.3935494;-35.57807855764607
1739209897.3935544;-38.13080360867914
1739209897.3935595;-38.13080360867914
1739209897.3935645;-35.57807855764607
1739209897.3935695;-27.877744956031414
1739209897.3935745;-45.120503652039325
1739209897.3935795;-33.981070128970906
1739209897.3935845;-35.57807855764607
1739209897.3935895;-33.981070128970906
1739209897.3935945;-45.120503652039325
1739209897.3935995;-31.141103565318915
1739209897.3936045;-31.141103565318893
1739209897.3936098;-31.141103565318915
1739209897.3936148;-45.120503652039325
1739209897.3936198;-38.13080360867914
1739209897.3936248;-45.120503652039325
1739209897.3936298;-38.13080360867914
1739209897.3936348;-45.120503652039325
1739209897.3936398;-38.13080360867914
1739209897.3936448;-35.57807855764607
1739209897.3936498;-28.218542851754165
1739209897.3936548;-45.120503652039325
1739209897.3936598;-33.981070128970906
1739209897.3936648;-35.57807855764607
1739209897.3936698;-38.13080360867914
1739209897.3936749;-45.120503652039325
1739209897.3936799;-38.13080360867914
1739209897.3936849;-45.120503652039325
1739209897.3936899;-31.141103565318915
1739209897.3936949;-38.13080360867914
1739209897.3937001;-38.13080360867914
1739209897.3937051;-35.57807855764607
1739209897.3937101;-38.13080360867914
1739209897.3937151;-45.120503652039325
1739209897.3937201;-45.120503652039325
1739209897.3937252;-35.57807855764607
1739209897.3937302;-32.81601443825658
1739209897.3937352;-38.13080360867914
1739209897.3937402;-38.13080360867914
1739209897.3937452;-38.13080360867914
1739209897.3937502;-38.13080360867914
1739209897.3937552;-45.120503652039325
1739209897.3937602;-33.981070128970906
1739209897.3937652;-45.120503652039325
1739209897.3937702;-28.992665084841942
1739209897.3937752;-33.981070128970906
1739209897.3937802;-45.120503652039325
1739209897.3937852;-38.13080360867914
1739209897.3937902;-35.57807855764607
1739209897.3937955;-38.13080360867914
1739209897.3938005;-38.13080360867914
1739209897.3938055;-38.13080360867914
1739209897.3938105;-45.120503652039325
1739209897.3938155;-38.13080360867914
1739209897.3938205;-38.13080360867914
1739209897.3938255;-35.57807855764607
1739209897.3938305;-38.13080360867914
1739209897.3938355;-38.13080360867914
1739209897.3938406;-38.13080360867914
1739209897.3938456;-38.13080360867914
1739209897.3938506;-30.49652367304973
1739209897.3938556;-32.816014438256545
1739209897.3938606;-38.13080360867914
1739209897.3938656;-38.13080360867914
1739209897.3938706;-38.13080360867914
1739209897.3938756;-38.13080360867914
1739209897.3938806;-45.120503652039325
1739209897.3938859;-45.120503652039325
1739209897.3938909;-33.981070128970906
1739209897.3938959;-45.120503652039325
1739209897.3939009;-38.13080360867914
1739209897.3939059;-38.13080360867914
1739209897.393911;-45.120503652039325
1739209897.393916;-45.120503652039325
1739209897.393921;-38.13080360867914
1739209897.393926;-35.57807855764607
1739209897.393931;-45.120503652039325
1739209897.393936;-45.120503652039325
1739209897.393941;-38.13080360867914
1739209897.393946;-38.13080360867914
1739209897.393951;-45.120503652039325
1739209897.393956;-45.120503652039325
1739209897.393961;-38.13080360867914
1739209897.393966;-45.120503652039325
1739209897.393971;-35.57807855764607
1739209897.3939762;-31.141103565318893
1739209897.3939812;-45.120503652039325
1739209897.3939862;-45.120503652039325
1739209897.3939912;-38.13080360867914
1739209897.3939962;-35.57807855764607
1739209897.3940012;-45.120503652039325
1739209897.3940063;-45.120503652039325
1739209897.3940113;-45.120503652039325
1739209897.3940163;-35.57807855764607
1739209897.3940213;-45.120503652039325
1739209897.3940263;-45.120503652039325
1739209897.3940313;-45.120503652039325
1739209897.3940363;-45.120503652039325
1739209897.3940413;-38.13080360867914
1739209897.3940463;-45.120503652039325
1739209897.3940513;-35.57807855764607
1739209897.3940563;-26.035653463252796
1739209897.3940613;-38.13080360867914
1739209897.3940666;-45.120503652039325
