CAN Message; 0x39:00a4365b7c0a3a05
Timestamp;Amplitude
1739209628.36457;-45.120503652039325
1739209628.36458;-45.120503652039325
1739209628.3645902;-45.120503652039325
1739209628.3646002;-35.57807855764607
1739209628.3646102;-35.57807855764607
1739209628.3646202;-45.120503652039325
1739209628.3646302;-45.120503652039325
1739209628.3646402;-38.13080360867914
1739209628.3646505;-38.13080360867914
1739209628.3646605;-45.120503652039325
1739209628.3646705;-45.120503652039325
1739209628.3646805;-45.120503652039325
1739209628.3646905;-38.13080360867914
1739209628.3647006;-38.13080360867914
1739209628.3647108;-45.120503652039325
1739209628.3647208;-45.120503652039325
1739209628.3647308;-38.13080360867914
1739209628.3647408;-45.120503652039325
1739209628.3647509;-45.120503652039325
1739209628.3647609;-35.57807855764607
1739209628.3647711;-38.13080360867914
1739209628.3647811;-38.13080360867914
1739209628.3647912;-45.120503652039325
1739209628.3648012;-45.120503652039325
1739209628.3648112;-38.13080360867914
1739209628.3648212;-45.120503652039325
1739209628.3648314;-38.13080360867914
1739209628.3648415;-35.57807855764607
1739209628.3648515;-30.49652367304973
1739209628.3648615;-38.13080360867914
1739209628.3648715;-35.57807855764607
1739209628.3648818;-45.120503652039325
1739209628.3648918;-38.13080360867914
1739209628.3649018;-45.120503652039325
1739209628.3649118;-38.13080360867914
1739209628.3649218;-38.13080360867914
1739209628.3649318;-38.13080360867914
1739209628.364942;-45.120503652039325
1739209628.364952;-45.120503652039325
1739209628.364962;-38.13080360867914
1739209628.364972;-38.13080360867914
1739209628.3649821;-45.120503652039325
1739209628.3649921;-45.120503652039325
1739209628.3650024;-38.13080360867914
1739209628.3650124;-27.267205301931607
1739209628.3650224;-38.13080360867914
1739209628.3650324;-38.13080360867914
1739209628.3650424;-38.13080360867914
1739209628.3650525;-33.981070128970906
1739209628.3650627;-45.120503652039325
1739209628.3650727;-45.120503652039325
1739209628.3650827;-38.13080360867914
1739209628.3650928;-32.81601443825658
1739209628.3651028;-45.120503652039325
1739209628.365113;-45.120503652039325
1739209628.365123;-38.13080360867914
1739209628.365133;-38.13080360867914
1739209628.365143;-45.120503652039325
1739209628.365153;-45.120503652039325
1739209628.365163;-38.13080360867914
1739209628.3651733;-27.267205301931607
1739209628.3651834;-38.13080360867914
1739209628.3651934;-45.120503652039325
1739209628.3652034;-35.57807855764607
1739209628.3652134;-33.981070128970906
1739209628.3652234;-45.120503652039325
1739209628.3652337;-45.120503652039325
1739209628.3652437;-38.13080360867914
1739209628.3652537;-38.13080360867914
1739209628.3652637;-38.13080360867914
1739209628.3652737;-45.120503652039325
1739209628.3652837;-38.13080360867914
1739209628.365294;-45.120503652039325
1739209628.365304;-45.120503652039325
1739209628.365314;-45.120503652039325
1739209628.365324;-45.120503652039325
1739209628.365334;-31.141103565318915
1739209628.365344;-38.13080360867914
1739209628.3653543;-38.13080360867914
1739209628.3653643;-38.13080360867914
1739209628.3653743;-38.13080360867914
1739209628.3653843;-38.13080360867914
1739209628.3653944;-35.57807855764607
1739209628.3654046;-45.120503652039325
1739209628.3654146;-38.13080360867914
1739209628.3654246;-38.13080360867914
1739209628.3654346;-45.120503652039325
1739209628.3654447;-45.120503652039325
1739209628.3654547;-38.13080360867914
1739209628.365465;-38.13080360867914
1739209628.365475;-45.120503652039325
1739209628.365485;-38.13080360867914
