CAN Message; 0x1d3:000097f37f8f083a
Timestamp;Amplitude
1739209756.9577901;-45.120503652039325
1739209756.9577947;-35.57807855764607
1739209756.957799;-35.57807855764607
1739209756.9578032;-45.120503652039325
1739209756.9578075;-33.981070128970906
1739209756.957812;-45.120503652039325
1739209756.9578164;-45.120503652039325
1739209756.9578207;-30.49652367304973
1739209756.957825;-38.13080360867914
1739209756.9578295;-45.120503652039325
1739209756.9578338;-38.13080360867914
1739209756.957838;-38.13080360867914
1739209756.9578424;-45.120503652039325
1739209756.9578469;-45.120503652039325
1739209756.9578512;-38.13080360867914
1739209756.9578555;-45.120503652039325
1739209756.9578598;-35.57807855764607
1739209756.9578643;-45.120503652039325
1739209756.9578686;-45.120503652039325
1739209756.9578729;-35.57807855764607
1739209756.9578774;-38.13080360867914
1739209756.9578817;-45.120503652039325
1739209756.957886;-45.120503652039325
1739209756.9578903;-45.120503652039325
1739209756.9578948;-45.120503652039325
1739209756.957899;-45.120503652039325
1739209756.9579034;-45.120503652039325
1739209756.9579077;-38.13080360867914
1739209756.9579122;-38.13080360867914
1739209756.9579165;-45.120503652039325
1739209756.9579208;-45.120503652039325
1739209756.957925;-24.746238672633048
1739209756.9579296;-32.816014438256545
1739209756.957934;-45.120503652039325
1739209756.9579382;-38.13080360867914
1739209756.9579425;-35.57807855764607
1739209756.957947;-38.13080360867914
1739209756.9579513;-45.120503652039325
1739209756.9579556;-38.13080360867914
1739209756.9579601;-38.13080360867914
1739209756.9579644;-45.120503652039325
1739209756.9579687;-38.13080360867914
1739209756.957973;-45.120503652039325
1739209756.9579775;-45.120503652039325
1739209756.9579818;-45.120503652039325
1739209756.957986;-45.120503652039325
1739209756.9579904;-45.120503652039325
1739209756.957995;-32.816014438256545
1739209756.9579992;-35.57807855764607
1739209756.9580035;-45.120503652039325
1739209756.9580078;-45.120503652039325
1739209756.9580123;-35.57807855764607
1739209756.9580166;-38.13080360867914
1739209756.958021;-38.13080360867914
1739209756.9580252;-38.13080360867914
1739209756.9580297;-45.120503652039325
1739209756.958034;-45.120503652039325
1739209756.9580383;-45.120503652039325
1739209756.9580426;-45.120503652039325
1739209756.9580472;-45.120503652039325
1739209756.9580514;-45.120503652039325
1739209756.9580557;-45.120503652039325
1739209756.9580603;-33.981070128970906
1739209756.9580646;-45.120503652039325
1739209756.9580688;-45.120503652039325
1739209756.9580731;-45.120503652039325
1739209756.9580777;-45.120503652039325
1739209756.958082;-45.120503652039325
1739209756.9580863;-45.120503652039325
1739209756.9580905;-38.13080360867914
1739209756.958095;-45.120503652039325
1739209756.9580994;-26.991370085610736
1739209756.9581037;-31.141103565318893
1739209756.958108;-45.120503652039325
1739209756.9581125;-45.120503652039325
1739209756.9581168;-35.57807855764607
1739209756.958121;-38.13080360867914
1739209756.9581254;-38.13080360867914
1739209756.95813;-38.13080360867914
1739209756.9581342;-45.120503652039325
1739209756.9581385;-38.13080360867914
1739209756.958143;-38.13080360867914
1739209756.9581473;-38.13080360867914
1739209756.9581516;-45.120503652039325
1739209756.9581559;-45.120503652039325
1739209756.9581604;-35.57807855764607
1739209756.9581647;-45.120503652039325
1739209756.958169;-35.57807855764607
1739209756.9581733;-35.57807855764607
1739209756.9581778;-35.57807855764607
1739209756.958182;-35.57807855764607
1739209756.9581864;-45.120503652039325
1739209756.9581907;-38.13080360867914
1739209756.9581952;-38.13080360867914
1739209756.9581995;-45.120503652039325
1739209756.9582038;-45.120503652039325
1739209756.958208;-38.13080360867914
1739209756.9582126;-38.13080360867914
1739209756.958217;-45.120503652039325
1739209756.9582212;-38.13080360867914
1739209756.9582257;-38.13080360867914
1739209756.95823;-45.120503652039325
1739209756.9582343;-38.13080360867914
1739209756.9582386;-45.120503652039325
1739209756.9582431;-45.120503652039325
1739209756.9582474;-38.13080360867914
1739209756.9582517;-38.13080360867914
1739209756.958256;-45.120503652039325
1739209756.9582605;-45.120503652039325
1739209756.9582648;-38.13080360867914
1739209756.9582691;-45.120503652039325
1739209756.9582734;-38.13080360867914
1739209756.958278;-35.57807855764607
1739209756.9582822;-38.13080360867914
1739209756.9582865;-38.13080360867914
1739209756.9582908;-45.120503652039325
1739209756.9582953;-38.13080360867914
1739209756.9582996;-38.13080360867914
1739209756.958304;-45.120503652039325
1739209756.9583085;-45.120503652039325
1739209756.9583127;-38.13080360867914
1739209756.958317;-35.57807855764607
1739209756.9583213;-38.13080360867914
1739209756.9583259;-45.120503652039325
1739209756.9583302;-45.120503652039325
1739209756.9583344;-35.57807855764607
1739209756.9583387;-38.13080360867914
1739209756.9583433;-45.120503652039325
1739209756.9583476;-45.120503652039325
1739209756.9583519;-35.57807855764607
1739209756.9583561;-38.13080360867914
1739209756.9583607;-45.120503652039325
1739209756.958365;-38.13080360867914
1739209756.9583693;-38.13080360867914
1739209756.9583735;-38.13080360867914
1739209756.958378;-45.120503652039325
1739209756.9583824;-35.57807855764607
1739209756.9583867;-38.13080360867914
1739209756.9583912;-45.120503652039325
1739209756.9583955;-45.120503652039325
1739209756.9583998;-38.13080360867914
1739209756.958404;-35.57807855764607
1739209756.9584086;-38.13080360867914
1739209756.958413;-45.120503652039325
1739209756.9584172;-38.13080360867914
1739209756.9584215;-38.13080360867914
1739209756.958426;-33.981070128970906
1739209756.9584303;-45.120503652039325
1739209756.9584346;-45.120503652039325
1739209756.9584389;-38.13080360867914
1739209756.9584434;-38.13080360867914
1739209756.9584477;-38.13080360867914
1739209756.958452;-33.981070128970906
1739209756.9584563;-31.141103565318915
1739209756.9584608;-38.13080360867914
1739209756.958465;-45.120503652039325
1739209756.9584694;-33.981070128970906
1739209756.958474;-38.13080360867914
1739209756.9584782;-38.13080360867914
1739209756.9584825;-38.13080360867914
1739209756.9584868;-45.120503652039325
1739209756.9584913;-38.13080360867914
1739209756.9584956;-38.13080360867914
1739209756.9585;-45.120503652039325
1739209756.9585042;-33.981070128970906
1739209756.9585087;-38.13080360867914
1739209756.958513;-45.120503652039325
1739209756.9585173;-38.13080360867914
1739209756.9585216;-38.13080360867914
1739209756.9585261;-35.57807855764607
1739209756.9585304;-38.13080360867914
1739209756.9585347;-33.981070128970906
1739209756.958539;-45.120503652039325
1739209756.9585435;-45.120503652039325
1739209756.9585478;-38.13080360867914
1739209756.9585521;-38.13080360867914
1739209756.9585564;-38.13080360867914
1739209756.958561;-28.992665084841942
1739209756.9585652;-45.120503652039325
1739209756.9585695;-38.13080360867914
1739209756.958574;-33.981070128970906
1739209756.9585783;-45.120503652039325
1739209756.9585826;-45.120503652039325
1739209756.958587;-45.120503652039325
1739209756.9585915;-38.13080360867914
1739209756.9585958;-31.141103565318943
1739209756.9586;-45.120503652039325
1739209756.9586043;-32.816014438256545
1739209756.9586089;-38.13080360867914
1739209756.9586132;-38.13080360867914
1739209756.9586174;-38.13080360867914
1739209756.9586217;-38.13080360867914
1739209756.9586263;-35.57807855764607
1739209756.9586306;-32.816014438256545
1739209756.9586349;-38.13080360867914
1739209756.9586391;-35.57807855764607
1739209756.9586437;-35.57807855764607
1739209756.958648;-45.120503652039325
1739209756.9586523;-45.120503652039325
1739209756.9586568;-38.13080360867914
1739209756.958661;-32.816014438256545
1739209756.9586654;-38.13080360867914
1739209756.9586697;-38.13080360867914
1739209756.9586742;-35.57807855764607
1739209756.9586785;-35.57807855764607
1739209756.9586828;-33.981070128970906
1739209756.958687;-45.120503652039325
1739209756.9586916;-38.13080360867914
1739209756.958696;-38.13080360867914
1739209756.9587002;-38.13080360867914
1739209756.9587045;-45.120503652039325
1739209756.958709;-35.57807855764607
1739209756.9587133;-38.13080360867914
1739209756.9587176;-45.120503652039325
1739209756.9587219;-38.13080360867914
1739209756.9587264;-35.57807855764607
1739209756.9587307;-38.13080360867914
1739209756.958735;-27.8777449560314
1739209756.9587395;-35.57807855764607
1739209756.9587438;-45.120503652039325
1739209756.958748;-45.120503652039325
1739209756.9587524;-33.981070128970906
1739209756.958757;-45.120503652039325
1739209756.9587612;-45.120503652039325
1739209756.9587655;-38.13080360867914
1739209756.9587698;-45.120503652039325
1739209756.9587743;-45.120503652039325
1739209756.9587786;-45.120503652039325
1739209756.958783;-45.120503652039325
1739209756.9587872;-38.13080360867914
1739209756.9587917;-35.57807855764607
1739209756.958796;-38.13080360867914
1739209756.9588003;-45.120503652039325
1739209756.9588046;-32.816014438256545
1739209756.9588091;-38.13080360867914
1739209756.9588134;-45.120503652039325
1739209756.9588177;-45.120503652039325
1739209756.9588223;-38.13080360867914
1739209756.9588265;-45.120503652039325
1739209756.9588308;-45.120503652039325
1739209756.9588351;-45.120503652039325
1739209756.9588397;-45.120503652039325
1739209756.958844;-38.13080360867914
1739209756.9588482;-45.120503652039325
1739209756.9588525;-45.120503652039325
1739209756.958857;-32.816014438256545
1739209756.9588614;-38.13080360867914
1739209756.9588656;-45.120503652039325
1739209756.95887;-38.13080360867914
1739209756.9588745;-38.13080360867914
1739209756.9588788;-38.13080360867914
1739209756.958883;-38.13080360867914
1739209756.9588873;-38.13080360867914
1739209756.9588919;-45.120503652039325
1739209756.9588962;-38.13080360867914
1739209756.9589005;-45.120503652039325
1739209756.958905;-45.120503652039325
1739209756.9589093;-32.816014438256545
1739209756.9589136;-35.57807855764607
1739209756.9589179;-38.13080360867914
1739209756.9589224;-38.13080360867914
1739209756.9589267;-32.816014438256545
1739209756.958931;-38.13080360867914
1739209756.9589353;-45.120503652039325
1739209756.9589398;-38.13080360867914
1739209756.958944;-45.120503652039325
1739209756.9589484;-45.120503652039325
1739209756.9589527;-38.13080360867914
