CAN Message; 0x1bb:0000488c9101d56b
Timestamp;Amplitude
1739209812.2529707;-35.57807855764607
1739209812.2529726;-38.13080360867914
1739209812.2529745;-45.120503652039325
1739209812.2529764;-38.13080360867914
1739209812.2529783;-38.13080360867914
1739209812.2529802;-38.13080360867914
1739209812.2529821;-45.120503652039325
1739209812.252984;-38.13080360867914
1739209812.252986;-35.57807855764607
1739209812.2529879;-38.13080360867914
1739209812.2529898;-45.120503652039325
1739209812.2529917;-31.14110356531892
1739209812.2529936;-33.981070128970906
1739209812.2529955;-38.13080360867914
1739209812.2529974;-45.120503652039325
1739209812.2529993;-45.120503652039325
1739209812.2530012;-35.57807855764607
1739209812.2530031;-35.57807855764607
1739209812.253005;-45.120503652039325
1739209812.253007;-28.58837851428586
1739209812.2530088;-33.981070128970906
1739209812.2530107;-38.13080360867914
1739209812.2530127;-45.120503652039325
1739209812.2530146;-33.981070128970906
1739209812.2530165;-45.120503652039325
1739209812.2530184;-38.13080360867914
1739209812.2530203;-38.13080360867914
1739209812.2530222;-38.13080360867914
1739209812.253024;-45.120503652039325
1739209812.253026;-45.120503652039325
1739209812.253028;-45.120503652039325
1739209812.2530298;-38.13080360867914
1739209812.2530317;-35.57807855764607
1739209812.2530336;-38.13080360867914
1739209812.2530355;-45.120503652039325
1739209812.2530375;-38.13080360867914
1739209812.2530394;-38.13080360867914
1739209812.2530413;-45.120503652039325
1739209812.2530432;-45.120503652039325
1739209812.253045;-38.13080360867914
1739209812.253047;-38.13080360867914
1739209812.253049;-38.13080360867914
1739209812.2530508;-45.120503652039325
1739209812.2530527;-28.992665084841942
1739209812.2530546;-33.981070128970906
1739209812.2530565;-45.120503652039325
1739209812.2530584;-38.13080360867914
1739209812.2530603;-38.13080360867914
1739209812.2530622;-45.120503652039325
1739209812.2530642;-45.120503652039325
1739209812.253066;-45.120503652039325
1739209812.253068;-35.57807855764607
1739209812.2530699;-45.120503652039325
1739209812.2530718;-38.13080360867914
1739209812.2530737;-45.120503652039325
1739209812.2530756;-38.13080360867914
1739209812.2530775;-38.13080360867914
1739209812.2530794;-45.120503652039325
1739209812.2530813;-45.120503652039325
1739209812.2530832;-38.13080360867914
1739209812.2530851;-35.57807855764607
1739209812.253087;-38.13080360867914
1739209812.253089;-45.120503652039325
1739209812.2530909;-45.120503652039325
1739209812.2530928;-38.13080360867914
1739209812.2530947;-45.120503652039325
1739209812.2530966;-45.120503652039325
1739209812.2530985;-38.13080360867914
1739209812.2531004;-38.13080360867914
1739209812.2531023;-45.120503652039325
1739209812.2531042;-45.120503652039325
1739209812.253106;-33.981070128970906
1739209812.253108;-38.13080360867914
1739209812.25311;-45.120503652039325
1739209812.2531118;-45.120503652039325
1739209812.2531137;-45.120503652039325
1739209812.2531157;-33.981070128970906
1739209812.2531176;-38.13080360867914
1739209812.2531195;-38.13080360867914
1739209812.2531214;-45.120503652039325
1739209812.2531233;-32.816014438256545
1739209812.2531252;-38.13080360867914
1739209812.253127;-38.13080360867914
1739209812.253129;-38.13080360867914
1739209812.253131;-45.120503652039325
1739209812.2531328;-38.13080360867914
1739209812.2531347;-45.120503652039325
1739209812.2531366;-45.120503652039325
1739209812.2531385;-45.120503652039325
1739209812.2531404;-45.120503652039325
1739209812.2531424;-45.120503652039325
1739209812.2531443;-38.13080360867914
1739209812.2531462;-45.120503652039325
1739209812.253148;-45.120503652039325
1739209812.25315;-45.120503652039325
1739209812.253152;-38.13080360867914
1739209812.2531538;-38.13080360867914
1739209812.2531557;-38.13080360867914
1739209812.2531576;-32.816014438256545
1739209812.2531595;-38.13080360867914
1739209812.2531614;-35.57807855764607
1739209812.2531633;-35.57807855764607
