CAN Message; 0x77:0df4f7f1c5f9c9b1
Timestamp;Amplitude
1739209667.7083662;-38.13080360867914
1739209667.708374;-45.120503652039325
1739209667.7083821;-45.120503652039325
1739209667.7083902;-38.13080360867914
1739209667.708398;-35.57807855764607
1739209667.7084062;-45.120503652039325
1739209667.7084143;-33.981070128970906
1739209667.7084222;-28.992665084841942
1739209667.7084303;-35.57807855764607
1739209667.7084384;-45.120503652039325
1739209667.7084463;-38.13080360867914
1739209667.7084544;-32.816014438256545
1739209667.7084625;-33.981070128970906
1739209667.7084703;-38.13080360867914
1739209667.7084785;-45.120503652039325
1739209667.7084866;-38.13080360867914
1739209667.7084944;-45.120503652039325
1739209667.7085025;-38.13080360867914
1739209667.7085106;-45.120503652039325
1739209667.7085185;-45.120503652039325
1739209667.7085266;-45.120503652039325
1739209667.7085347;-38.13080360867914
1739209667.7085426;-38.13080360867914
1739209667.7085507;-33.981070128970906
1739209667.7085588;-45.120503652039325
1739209667.7085667;-38.13080360867914
1739209667.7085748;-45.120503652039325
1739209667.7085829;-38.13080360867914
1739209667.7085907;-45.120503652039325
1739209667.7085989;-45.120503652039325
1739209667.708607;-38.13080360867914
1739209667.7086148;-33.981070128970906
1739209667.708623;-38.13080360867914
1739209667.708631;-38.13080360867914
1739209667.708639;-38.13080360867914
1739209667.708647;-35.57807855764607
1739209667.708655;-33.981070128970906
1739209667.708663;-38.13080360867914
1739209667.708671;-38.13080360867914
1739209667.7086792;-28.58837851428586
1739209667.708687;-38.13080360867914
1739209667.7086952;-45.120503652039325
1739209667.7087033;-45.120503652039325
1739209667.7087111;-33.981070128970906
1739209667.7087193;-38.13080360867914
1739209667.7087274;-38.13080360867914
1739209667.7087352;-38.13080360867914
1739209667.7087433;-31.141103565318915
1739209667.7087514;-38.13080360867914
1739209667.7087593;-45.120503652039325
1739209667.7087674;-45.120503652039325
1739209667.7087755;-38.13080360867914
1739209667.7087834;-33.981070128970906
1739209667.7087915;-38.13080360867914
1739209667.7087996;-45.120503652039325
