CAN Message; 0x1d3:00009f496fcb94ee
Timestamp;Amplitude
1739209648.9090173;-45.120503652039325
1739209648.9090323;-35.57807855764607
1739209648.9090476;-35.57807855764607
1739209648.9090629;-45.120503652039325
1739209648.9090781;-38.13080360867914
1739209648.9090931;-45.120503652039325
1739209648.9091084;-45.120503652039325
1739209648.9091237;-35.57807855764607
1739209648.909139;-45.120503652039325
1739209648.909154;-45.120503652039325
1739209648.9091692;-38.13080360867914
1739209648.9091845;-38.13080360867914
1739209648.9091997;-38.13080360867914
1739209648.9092147;-35.57807855764607
1739209648.90923;-30.49652367304973
1739209648.9092453;-45.120503652039325
1739209648.9092605;-45.120503652039325
1739209648.9092755;-45.120503652039325
1739209648.9092908;-38.13080360867914
1739209648.909306;-38.13080360867914
1739209648.909321;-45.120503652039325
1739209648.9093363;-38.13080360867914
1739209648.9093516;-35.57807855764607
1739209648.9093668;-45.120503652039325
1739209648.9093819;-38.13080360867914
1739209648.9093971;-38.13080360867914
1739209648.9094124;-35.57807855764607
1739209648.9094276;-45.120503652039325
1739209648.9094427;-33.981070128970906
1739209648.909458;-45.120503652039325
1739209648.9094732;-33.981070128970956
1739209648.9094884;-45.120503652039325
1739209648.9095035;-45.120503652039325
1739209648.9095187;-45.120503652039325
1739209648.909534;-45.120503652039325
1739209648.9095492;-35.57807855764607
1739209648.9095643;-45.120503652039325
1739209648.9095795;-35.57807855764607
1739209648.9095948;-27.8777449560314
1739209648.9096098;-38.13080360867914
1739209648.909625;-35.57807855764607
1739209648.9096403;-38.13080360867914
1739209648.9096556;-38.13080360867914
1739209648.9096706;-45.120503652039325
1739209648.9096859;-33.981070128970906
1739209648.909701;-45.120503652039325
1739209648.9097164;-33.981070128970956
1739209648.9097314;-45.120503652039325
1739209648.9097466;-45.120503652039325
1739209648.909762;-45.120503652039325
1739209648.9097772;-45.120503652039325
1739209648.9097922;-38.13080360867914
1739209648.9098074;-45.120503652039325
1739209648.9098227;-38.13080360867914
1739209648.909838;-30.49652367304973
1739209648.909853;-38.13080360867914
1739209648.9098682;-45.120503652039325
1739209648.9098835;-45.120503652039325
1739209648.9098988;-45.120503652039325
1739209648.9099138;-33.981070128970906
1739209648.909929;-38.13080360867914
1739209648.9099443;-45.120503652039325
1739209648.9099593;-45.120503652039325
1739209648.9099746;-45.120503652039325
1739209648.9099898;-38.13080360867914
1739209648.910005;-38.13080360867914
1739209648.91002;-45.120503652039325
1739209648.9100354;-45.120503652039325
1739209648.9100506;-38.13080360867914
1739209648.910066;-38.13080360867914
1739209648.910081;-38.13080360867914
1739209648.9100962;-45.120503652039325
1739209648.9101114;-45.120503652039325
1739209648.9101267;-38.13080360867914
1739209648.9101417;-38.13080360867914
1739209648.910157;-38.13080360867914
1739209648.9101722;-45.120503652039325
1739209648.9101875;-38.13080360867914
1739209648.9102025;-45.120503652039325
1739209648.9102178;-38.13080360867914
1739209648.910233;-38.13080360867914
1739209648.910248;-35.57807855764607
1739209648.9102633;-32.816014438256545
1739209648.9102786;-45.120503652039325
1739209648.9102938;-45.120503652039325
1739209648.9103088;-38.13080360867914
1739209648.910324;-38.13080360867914
1739209648.9103394;-45.120503652039325
1739209648.9103546;-45.120503652039325
1739209648.9103696;-38.13080360867914
1739209648.910385;-45.120503652039325
1739209648.9104002;-45.120503652039325
1739209648.9104154;-38.13080360867914
1739209648.9104304;-35.57807855764607
1739209648.9104457;-33.981070128970906
1739209648.910461;-33.981070128970906
1739209648.9104762;-45.120503652039325
1739209648.9104912;-38.13080360867914
1739209648.9105065;-33.981070128970906
1739209648.9105217;-45.120503652039325
1739209648.9105368;-45.120503652039325
1739209648.910552;-38.13080360867914
1739209648.9105673;-38.13080360867914
1739209648.9105825;-45.120503652039325
1739209648.9105976;-45.120503652039325
1739209648.9106128;-38.13080360867914
1739209648.910628;-38.13080360867914
1739209648.9106433;-45.120503652039325
1739209648.9106584;-45.120503652039325
1739209648.9106736;-38.13080360867914
1739209648.9106889;-38.13080360867914
1739209648.9107041;-45.120503652039325
1739209648.9107192;-45.120503652039325
1739209648.9107344;-45.120503652039325
1739209648.9107497;-45.120503652039325
1739209648.910765;-33.981070128970906
1739209648.91078;-45.120503652039325
1739209648.9107952;-45.120503652039325
1739209648.9108105;-38.13080360867914
1739209648.9108255;-38.13080360867914
1739209648.9108407;-33.981070128970906
1739209648.910856;-38.13080360867914
1739209648.9108713;-38.13080360867914
1739209648.9108863;-38.13080360867914
1739209648.9109015;-38.13080360867914
1739209648.9109168;-35.57807855764607
1739209648.910932;-45.120503652039325
1739209648.910947;-38.13080360867914
1739209648.9109623;-35.57807855764607
1739209648.9109776;-38.13080360867914
1739209648.9109929;-38.13080360867914
1739209648.911008;-38.13080360867914
1739209648.9110231;-38.13080360867914
1739209648.9110384;-45.120503652039325
1739209648.9110537;-45.120503652039325
1739209648.9110687;-33.981070128970906
1739209648.911084;-45.120503652039325
1739209648.9110992;-45.120503652039325
1739209648.9111142;-45.120503652039325
1739209648.9111295;-33.981070128970906
1739209648.9111447;-38.13080360867914
1739209648.91116;-45.120503652039325
1739209648.911175;-38.13080360867914
1739209648.9111903;-45.120503652039325
1739209648.9112055;-38.13080360867914
1739209648.9112208;-45.120503652039325
1739209648.9112358;-38.13080360867914
1739209648.911251;-38.13080360867914
1739209648.9112663;-45.120503652039325
1739209648.9112816;-45.120503652039325
1739209648.9112966;-45.120503652039325
1739209648.9113119;-32.816014438256545
1739209648.9113271;-32.816014438256545
1739209648.9113424;-45.120503652039325
1739209648.9113574;-45.120503652039325
1739209648.9113727;-35.57807855764607
1739209648.911388;-35.57807855764607
1739209648.911403;-45.120503652039325
1739209648.9114182;-45.120503652039325
1739209648.9114335;-45.120503652039325
1739209648.9114487;-38.13080360867914
1739209648.9114637;-38.13080360867914
1739209648.911479;-45.120503652039325
1739209648.9114943;-45.120503652039325
1739209648.9115095;-38.13080360867914
1739209648.9115245;-45.120503652039325
1739209648.9115398;-45.120503652039325
1739209648.911555;-30.49652367304973
1739209648.9115703;-32.816014438256545
1739209648.9115853;-45.120503652039325
1739209648.9116006;-45.120503652039325
1739209648.9116158;-35.57807855764607
1739209648.911631;-38.13080360867914
1739209648.9116461;-45.120503652039325
1739209648.9116614;-45.120503652039325
1739209648.9116766;-38.13080360867914
1739209648.911692;-33.981070128970906
1739209648.911707;-45.120503652039325
1739209648.9117222;-45.120503652039325
1739209648.9117374;-45.120503652039325
1739209648.9117525;-38.13080360867914
1739209648.9117677;-45.120503652039325
1739209648.911783;-45.120503652039325
1739209648.9117982;-45.120503652039325
1739209648.9118133;-45.120503652039325
1739209648.9118285;-35.57807855764607
1739209648.9118438;-38.13080360867914
1739209648.911859;-38.13080360867914
1739209648.911874;-45.120503652039325
1739209648.9118893;-38.13080360867914
1739209648.9119046;-45.120503652039325
1739209648.9119198;-31.141103565318893
1739209648.9119349;-29.438486411369333
1739209648.91195;-45.120503652039325
1739209648.9119654;-45.120503652039325
1739209648.9119806;-45.120503652039325
1739209648.9119956;-45.120503652039325
1739209648.912011;-45.120503652039325
1739209648.9120262;-45.120503652039325
1739209648.9120412;-45.120503652039325
1739209648.9120564;-45.120503652039325
1739209648.9120717;-45.120503652039325
1739209648.912087;-45.120503652039325
1739209648.912102;-38.13080360867914
1739209648.9121172;-38.13080360867914
1739209648.9121325;-38.13080360867914
1739209648.9121478;-45.120503652039325
1739209648.9121628;-35.57807855764607
1739209648.912178;-26.487275050834715
1739209648.9121933;-45.120503652039325
1739209648.9122086;-45.120503652039325
1739209648.9122236;-38.13080360867914
1739209648.9122388;-33.981070128970906
1739209648.912254;-45.120503652039325
1739209648.9122694;-45.120503652039325
1739209648.9122844;-45.120503652039325
1739209648.9122996;-38.13080360867914
1739209648.912315;-45.120503652039325
1739209648.91233;-45.120503652039325
1739209648.9123452;-38.13080360867914
1739209648.9123604;-38.13080360867914
1739209648.9123757;-45.120503652039325
1739209648.9123907;-45.120503652039325
1739209648.912406;-32.816014438256545
1739209648.9124212;-26.487275050834715
1739209648.9124365;-38.13080360867914
1739209648.9124515;-45.120503652039325
1739209648.9124668;-38.13080360867914
1739209648.912482;-32.816014438256545
1739209648.9124973;-45.120503652039325
1739209648.9125123;-45.120503652039325
1739209648.9125276;-45.120503652039325
1739209648.9125428;-33.981070128970956
1739209648.912558;-45.120503652039325
1739209648.912573;-45.120503652039325
1739209648.9125884;-45.120503652039325
1739209648.9126036;-45.120503652039325
1739209648.9126186;-45.120503652039325
1739209648.912634;-38.13080360867914
1739209648.9126492;-38.13080360867914
1739209648.9126644;-28.58837851428586
1739209648.9126794;-35.57807855764607
1739209648.9126947;-38.13080360867914
1739209648.91271;-38.13080360867914
1739209648.9127252;-35.57807855764607
1739209648.9127402;-38.13080360867914
1739209648.9127555;-45.120503652039325
1739209648.9127707;-45.120503652039325
1739209648.912786;-38.13080360867914
1739209648.912801;-38.13080360867914
1739209648.9128163;-32.816014438256545
1739209648.9128315;-38.13080360867914
1739209648.9128468;-45.120503652039325
1739209648.9128618;-38.13080360867914
1739209648.912877;-38.13080360867914
1739209648.9128923;-45.120503652039325
1739209648.9129074;-38.13080360867914
1739209648.9129226;-38.13080360867914
1739209648.9129379;-45.120503652039325
1739209648.9129531;-45.120503652039325
1739209648.9129682;-45.120503652039325
1739209648.9129834;-33.981070128970906
1739209648.9129987;-33.981070128970906
1739209648.913014;-38.13080360867914
1739209648.913029;-38.13080360867914
1739209648.9130442;-45.120503652039325
1739209648.9130595;-38.13080360867914
1739209648.9130747;-45.120503652039325
1739209648.9130898;-45.120503652039325
1739209648.913105;-38.13080360867914
1739209648.9131203;-38.13080360867914
1739209648.9131355;-38.13080360867914
1739209648.9131505;-38.13080360867914
1739209648.9131658;-45.120503652039325
1739209648.913181;-38.13080360867914
1739209648.913196;-45.120503652039325
1739209648.9132113;-38.13080360867914
1739209648.9132266;-38.13080360867914
1739209648.9132419;-38.13080360867914
1739209648.913257;-45.120503652039325
1739209648.9132721;-33.981070128970906
1739209648.9132874;-31.141103565318915
1739209648.9133027;-32.816014438256545
1739209648.9133177;-45.120503652039325
1739209648.913333;-45.120503652039325
1739209648.9133482;-35.57807855764607
1739209648.9133635;-35.57807855764607
1739209648.9133785;-38.13080360867914
1739209648.9133937;-33.981070128970906
1739209648.913409;-31.141103565318915
1739209648.9134243;-33.981070128970906
1739209648.9134393;-38.13080360867914
1739209648.9134545;-38.13080360867914
1739209648.9134698;-33.981070128970906
1739209648.913485;-33.981070128970906
1739209648.9135;-45.120503652039325
1739209648.9135153;-31.141103565318915
1739209648.9135306;-31.141103565318915
1739209648.9135456;-38.13080360867914
1739209648.9135609;-38.13080360867914
1739209648.9135761;-45.120503652039325
1739209648.9135914;-35.57807855764607
1739209648.9136064;-35.57807855764607
1739209648.9136217;-38.13080360867914
1739209648.913637;-33.981070128970906
1739209648.9136522;-31.141103565318915
1739209648.9136672;-45.120503652039325
1739209648.9136825;-45.120503652039325
