CAN Message; 0x150:0400b4186ef86b3b
Timestamp;Amplitude
1739209830.369861;-33.981070128970906
1739209830.3698683;-33.981070128970906
1739209830.369876;-38.13080360867914
1739209830.3698835;-38.13080360867914
1739209830.3698912;-38.13080360867914
1739209830.3698986;-38.13080360867914
1739209830.3699062;-38.13080360867914
1739209830.3699138;-35.57807855764607
1739209830.3699212;-38.13080360867914
1739209830.3699288;-38.13080360867914
1739209830.3699365;-45.120503652039325
1739209830.3699439;-38.13080360867914
1739209830.3699515;-45.120503652039325
1739209830.369959;-38.13080360867914
1739209830.3699667;-38.13080360867914
1739209830.3699741;-45.120503652039325
1739209830.3699818;-38.13080360867914
1739209830.3699894;-35.57807855764607
1739209830.3699968;-38.13080360867914
1739209830.3700044;-45.120503652039325
1739209830.370012;-45.120503652039325
1739209830.3700194;-45.120503652039325
1739209830.370027;-38.13080360867914
1739209830.3700347;-38.13080360867914
1739209830.3700423;-33.981070128970906
1739209830.3700497;-31.141103565318915
1739209830.3700573;-33.981070128970906
1739209830.370065;-38.13080360867914
1739209830.3700724;-38.13080360867914
1739209830.37008;-32.816014438256545
1739209830.3700876;-38.13080360867914
1739209830.370095;-38.13080360867914
1739209830.3701026;-45.120503652039325
1739209830.3701103;-32.816014438256545
1739209830.370118;-45.120503652039325
1739209830.3701253;-45.120503652039325
1739209830.370133;-45.120503652039325
1739209830.3701406;-45.120503652039325
1739209830.370148;-45.120503652039325
1739209830.3701556;-45.120503652039325
1739209830.3701632;-38.13080360867914
1739209830.3701706;-38.13080360867914
1739209830.3701782;-45.120503652039325
1739209830.3701859;-38.13080360867914
1739209830.3701935;-38.13080360867914
1739209830.3702009;-45.120503652039325
1739209830.3702085;-45.120503652039325
1739209830.3702161;-38.13080360867914
1739209830.3702235;-32.816014438256545
1739209830.3702312;-33.981070128970906
1739209830.3702388;-38.13080360867914
1739209830.3702462;-38.13080360867914
1739209830.3702538;-35.57807855764607
1739209830.3702614;-32.816014438256545
1739209830.370269;-38.13080360867914
1739209830.3702765;-45.120503652039325
1739209830.370284;-38.13080360867914
1739209830.3702917;-38.13080360867914
1739209830.370299;-45.120503652039325
1739209830.3703067;-35.57807855764607
1739209830.3703144;-38.13080360867914
1739209830.3703218;-45.120503652039325
1739209830.3703294;-45.120503652039325
1739209830.370337;-38.13080360867914
1739209830.3703446;-38.13080360867914
1739209830.370352;-38.13080360867914
1739209830.3703597;-45.120503652039325
1739209830.3703673;-38.13080360867914
1739209830.3703747;-38.13080360867914
1739209830.3703823;-38.13080360867914
1739209830.37039;-38.13080360867914
1739209830.3703973;-38.13080360867914
1739209830.370405;-45.120503652039325
1739209830.3704126;-38.13080360867914
1739209830.3704202;-33.981070128970906
1739209830.3704276;-45.120503652039325
1739209830.3704352;-45.120503652039325
1739209830.3704429;-38.13080360867914
1739209830.3704503;-38.13080360867914
1739209830.370458;-45.120503652039325
1739209830.3704655;-45.120503652039325
1739209830.370473;-45.120503652039325
1739209830.3704805;-45.120503652039325
