CAN Message; 0x39:00527955d9012d8f
Timestamp;Amplitude
1739209836.7811127;-29.438486411369333
1739209836.7811184;-32.816014438256545
1739209836.7811244;-45.120503652039325
1739209836.78113;-38.13080360867914
1739209836.7811358;-35.57807855764607
1739209836.7811415;-35.57807855764607
1739209836.7811475;-45.120503652039325
1739209836.7811532;-45.120503652039325
1739209836.781159;-38.13080360867914
1739209836.7811646;-35.57807855764607
1739209836.7811706;-38.13080360867914
1739209836.7811763;-35.57807855764607
1739209836.781182;-45.120503652039325
1739209836.7811878;-45.120503652039325
1739209836.7811935;-45.120503652039325
1739209836.7811995;-38.13080360867914
1739209836.7812052;-45.120503652039325
1739209836.781211;-45.120503652039325
1739209836.7812166;-45.120503652039325
1739209836.7812226;-45.120503652039325
1739209836.7812283;-38.13080360867914
1739209836.781234;-45.120503652039325
1739209836.7812397;-35.57807855764607
1739209836.7812457;-45.120503652039325
1739209836.7812514;-32.816014438256545
1739209836.7812572;-29.438486411369333
1739209836.7812629;-45.120503652039325
1739209836.7812686;-38.13080360867914
1739209836.7812746;-38.13080360867914
1739209836.7812803;-38.13080360867914
1739209836.781286;-38.13080360867914
1739209836.7812917;-38.13080360867914
1739209836.7812977;-45.120503652039325
1739209836.7813034;-33.981070128970956
1739209836.7813091;-35.57807855764607
1739209836.7813148;-45.120503652039325
1739209836.7813208;-38.13080360867914
1739209836.7813265;-45.120503652039325
1739209836.7813323;-45.120503652039325
1739209836.781338;-45.120503652039325
1739209836.7813437;-35.57807855764607
1739209836.7813497;-30.49652367304973
1739209836.7813554;-45.120503652039325
1739209836.781361;-45.120503652039325
1739209836.7813668;-38.13080360867914
1739209836.7813728;-38.13080360867914
1739209836.7813785;-45.120503652039325
1739209836.7813842;-45.120503652039325
1739209836.78139;-45.120503652039325
1739209836.781396;-45.120503652039325
1739209836.7814016;-45.120503652039325
1739209836.7814074;-45.120503652039325
1739209836.781413;-45.120503652039325
1739209836.7814188;-33.981070128970906
1739209836.7814248;-45.120503652039325
1739209836.7814305;-45.120503652039325
1739209836.7814362;-45.120503652039325
1739209836.781442;-45.120503652039325
1739209836.781448;-45.120503652039325
1739209836.7814536;-45.120503652039325
1739209836.7814593;-33.981070128970906
1739209836.781465;-38.13080360867914
1739209836.781471;-38.13080360867914
1739209836.7814767;-45.120503652039325
1739209836.7814825;-32.816014438256545
1739209836.7814882;-25.62660358559016
1739209836.7814941;-45.120503652039325
1739209836.7814999;-45.120503652039325
1739209836.7815056;-38.13080360867914
1739209836.7815113;-38.13080360867914
1739209836.781517;-38.13080360867914
1739209836.781523;-38.13080360867914
1739209836.7815287;-45.120503652039325
1739209836.7815344;-38.13080360867914
1739209836.7815402;-38.13080360867914
1739209836.781546;-38.13080360867914
1739209836.7815518;-45.120503652039325
1739209836.7815576;-45.120503652039325
1739209836.7815633;-35.57807855764607
1739209836.7815692;-38.13080360867914
1739209836.781575;-45.120503652039325
1739209836.7815807;-33.981070128970906
1739209836.7815864;-38.13080360867914
1739209836.7815921;-45.120503652039325
1739209836.781598;-45.120503652039325
1739209836.7816038;-45.120503652039325
1739209836.7816095;-45.120503652039325
1739209836.7816153;-45.120503652039325
1739209836.7816212;-38.13080360867914
1739209836.781627;-33.981070128970906
1739209836.7816327;-38.13080360867914
1739209836.7816384;-45.120503652039325
1739209836.7816443;-38.13080360867914
1739209836.78165;-32.816014438256545
1739209836.7816558;-45.120503652039325
1739209836.7816615;-45.120503652039325
1739209836.7816672;-33.981070128970906
1739209836.7816732;-38.13080360867914
1739209836.781679;-45.120503652039325
1739209836.7816846;-45.120503652039325
1739209836.7816904;-45.120503652039325
1739209836.7816963;-45.120503652039325
1739209836.781702;-35.57807855764607
1739209836.7817078;-35.57807855764607
1739209836.7817135;-38.13080360867914
1739209836.7817194;-35.57807855764607
1739209836.7817252;-33.981070128970906
1739209836.781731;-45.120503652039325
1739209836.7817366;-45.120503652039325
1739209836.7817423;-35.57807855764607
1739209836.7817483;-38.13080360867914
1739209836.781754;-38.13080360867914
1739209836.7817597;-38.13080360867914
1739209836.7817655;-38.13080360867914
1739209836.7817714;-45.120503652039325
1739209836.7817771;-38.13080360867914
1739209836.7817829;-45.120503652039325
1739209836.7817886;-45.120503652039325
1739209836.7817945;-45.120503652039325
1739209836.7818003;-38.13080360867914
1739209836.781806;-38.13080360867914
1739209836.7818117;-38.13080360867914
1739209836.7818174;-38.13080360867914
1739209836.7818234;-38.13080360867914
1739209836.781829;-45.120503652039325
1739209836.7818348;-45.120503652039325
1739209836.7818406;-45.120503652039325
1739209836.7818465;-45.120503652039325
1739209836.7818522;-45.120503652039325
1739209836.781858;-38.13080360867914
1739209836.7818637;-38.13080360867914
1739209836.7818696;-38.13080360867914
1739209836.7818754;-38.13080360867914
1739209836.781881;-38.13080360867914
1739209836.7818868;-38.13080360867914
1739209836.7818925;-38.13080360867914
1739209836.7818985;-38.13080360867914
1739209836.7819042;-38.13080360867914
1739209836.78191;-45.120503652039325
1739209836.7819157;-38.13080360867914
1739209836.7819216;-35.57807855764607
