CAN Message; 0x1a7:0000feba8da87303
Timestamp;Amplitude
1739209695.3216546;-45.120503652039325
1739209695.3216603;-38.13080360867914
1739209695.3216662;-38.13080360867914
1739209695.3216722;-45.120503652039325
1739209695.321678;-38.13080360867914
1739209695.321684;-32.816014438256545
1739209695.3216898;-38.13080360867914
1739209695.3216956;-45.120503652039325
1739209695.3217015;-38.13080360867914
1739209695.3217075;-45.120503652039325
1739209695.3217132;-38.13080360867914
1739209695.3217192;-45.120503652039325
1739209695.3217251;-45.120503652039325
1739209695.3217309;-45.120503652039325
1739209695.3217368;-38.13080360867914
1739209695.3217428;-35.57807855764607
1739209695.3217485;-38.13080360867914
1739209695.3217545;-45.120503652039325
1739209695.3217602;-45.120503652039325
1739209695.3217661;-45.120503652039325
1739209695.321772;-45.120503652039325
1739209695.3217778;-38.13080360867914
1739209695.3217838;-33.981070128970906
1739209695.3217897;-45.120503652039325
1739209695.3217955;-45.120503652039325
1739209695.3218014;-45.120503652039325
1739209695.3218074;-38.13080360867914
1739209695.321813;-38.13080360867914
1739209695.321819;-38.13080360867914
1739209695.321825;-38.13080360867914
1739209695.3218307;-30.49652367304973
1739209695.3218367;-45.120503652039325
1739209695.3218427;-45.120503652039325
1739209695.3218484;-45.120503652039325
1739209695.3218544;-38.13080360867914
1739209695.3218603;-32.816014438256545
1739209695.321866;-45.120503652039325
1739209695.321872;-45.120503652039325
1739209695.321878;-33.981070128970906
1739209695.3218837;-35.57807855764607
1739209695.3218896;-45.120503652039325
1739209695.3218956;-45.120503652039325
1739209695.3219013;-38.13080360867914
1739209695.3219073;-35.57807855764607
1739209695.3219132;-38.13080360867914
1739209695.321919;-45.120503652039325
1739209695.321925;-38.13080360867914
1739209695.321931;-45.120503652039325
1739209695.3219366;-38.13080360867914
1739209695.3219426;-38.13080360867914
1739209695.3219485;-45.120503652039325
1739209695.3219543;-45.120503652039325
1739209695.3219602;-45.120503652039325
1739209695.321966;-38.13080360867914
1739209695.321972;-33.981070128970906
1739209695.3219779;-45.120503652039325
1739209695.3219836;-38.13080360867914
1739209695.3219895;-35.57807855764607
1739209695.3219955;-32.816014438256545
1739209695.3220012;-35.57807855764607
1739209695.3220072;-45.120503652039325
1739209695.3220131;-45.120503652039325
1739209695.3220189;-38.13080360867914
1739209695.3220248;-45.120503652039325
1739209695.3220308;-38.13080360867914
1739209695.3220365;-45.120503652039325
1739209695.3220425;-45.120503652039325
1739209695.3220484;-45.120503652039325
1739209695.3220541;-45.120503652039325
1739209695.32206;-45.120503652039325
1739209695.322066;-45.120503652039325
1739209695.3220718;-45.120503652039325
1739209695.3220778;-45.120503652039325
1739209695.3220837;-45.120503652039325
1739209695.3220894;-45.120503652039325
1739209695.3220954;-45.120503652039325
1739209695.3221014;-35.57807855764607
1739209695.322107;-45.120503652039325
1739209695.322113;-35.57807855764607
1739209695.322119;-28.21854285175415
1739209695.3221247;-38.13080360867914
1739209695.3221307;-45.120503652039325
1739209695.3221366;-38.13080360867914
1739209695.3221424;-29.438486411369333
1739209695.3221483;-45.120503652039325
1739209695.3221543;-45.120503652039325
1739209695.32216;-38.13080360867914
1739209695.322166;-45.120503652039325
1739209695.3221717;-38.13080360867914
1739209695.3221776;-45.120503652039325
1739209695.3221836;-38.13080360867914
1739209695.3221893;-35.57807855764607
1739209695.3221953;-38.13080360867914
1739209695.3222013;-45.120503652039325
1739209695.322207;-35.57807855764607
1739209695.322213;-32.816014438256545
1739209695.322219;-38.13080360867914
1739209695.3222246;-45.120503652039325
1739209695.3222306;-33.981070128970906
1739209695.3222365;-38.13080360867914
1739209695.3222423;-38.13080360867914
1739209695.3222482;-38.13080360867914
1739209695.3222542;-35.57807855764607
1739209695.32226;-35.57807855764607
1739209695.3222659;-45.120503652039325
1739209695.3222718;-35.57807855764607
1739209695.3222775;-45.120503652039325
1739209695.3222835;-45.120503652039325
1739209695.3222895;-38.13080360867914
1739209695.3222952;-32.816014438256545
1739209695.3223011;-45.120503652039325
1739209695.322307;-35.57807855764607
1739209695.3223128;-45.120503652039325
1739209695.3223188;-35.57807855764607
1739209695.3223248;-45.120503652039325
1739209695.3223305;-45.120503652039325
1739209695.3223364;-38.13080360867914
1739209695.3223424;-45.120503652039325
1739209695.322348;-35.57807855764607
1739209695.322354;-32.816014438256545
1739209695.32236;-45.120503652039325
1739209695.3223658;-45.120503652039325
1739209695.3223717;-38.13080360867914
1739209695.3223774;-35.57807855764607
1739209695.3223834;-38.13080360867914
1739209695.3223894;-45.120503652039325
1739209695.322395;-38.13080360867914
1739209695.322401;-32.816014438256545
1739209695.322407;-45.120503652039325
1739209695.3224127;-35.57807855764607
1739209695.3224187;-38.13080360867914
1739209695.3224247;-32.816014438256545
1739209695.3224304;-38.13080360867914
1739209695.3224363;-45.120503652039325
1739209695.3224423;-38.13080360867914
1739209695.322448;-45.120503652039325
1739209695.322454;-45.120503652039325
1739209695.32246;-45.120503652039325
1739209695.3224657;-45.120503652039325
1739209695.3224716;-38.13080360867914
1739209695.3224776;-33.981070128970906
1739209695.3224833;-45.120503652039325
1739209695.3224893;-38.13080360867914
1739209695.3224952;-26.991370085610736
1739209695.322501;-38.13080360867914
1739209695.322507;-45.120503652039325
1739209695.3225129;-38.13080360867914
1739209695.3225186;-38.13080360867914
1739209695.3225245;-45.120503652039325
1739209695.3225305;-38.13080360867914
1739209695.3225362;-45.120503652039325
1739209695.3225422;-45.120503652039325
1739209695.3225482;-38.13080360867914
1739209695.3225539;-45.120503652039325
1739209695.3225598;-38.13080360867914
1739209695.3225658;-45.120503652039325
1739209695.3225715;-38.13080360867914
1739209695.3225775;-38.13080360867914
1739209695.3225832;-38.13080360867914
1739209695.3225892;-38.13080360867914
1739209695.3225951;-35.57807855764607
1739209695.3226008;-45.120503652039325
1739209695.3226068;-38.13080360867914
1739209695.3226128;-38.13080360867914
1739209695.3226185;-38.13080360867914
1739209695.3226244;-32.816014438256545
1739209695.3226304;-45.120503652039325
1739209695.3226361;-32.816014438256545
1739209695.322642;-38.13080360867914
1739209695.322648;-38.13080360867914
1739209695.3226538;-38.13080360867914
1739209695.3226597;-35.57807855764607
1739209695.3226657;-33.981070128970906
1739209695.3226714;-45.120503652039325
1739209695.3226774;-38.13080360867914
1739209695.3226833;-38.13080360867914
1739209695.322689;-45.120503652039325
1739209695.322695;-45.120503652039325
1739209695.322701;-38.13080360867914
1739209695.3227067;-35.57807855764607
1739209695.3227127;-38.13080360867914
1739209695.3227186;-45.120503652039325
1739209695.3227243;-38.13080360867914
1739209695.3227303;-32.816014438256545
1739209695.3227363;-33.981070128970906
1739209695.322742;-45.120503652039325
1739209695.322748;-38.13080360867914
