CAN Message; 0x77:6e278647a096470a
Timestamp;Amplitude
1739209600.4231513;-38.13080360867914
1739209600.4231553;-45.120503652039325
1739209600.4231591;-38.13080360867914
1739209600.4231632;-38.13080360867914
1739209600.423167;-35.57807855764607
1739209600.423171;-38.13080360867914
1739209600.4231749;-33.981070128970906
1739209600.4231787;-38.13080360867914
1739209600.4231827;-45.120503652039325
1739209600.4231865;-45.120503652039325
1739209600.4231906;-33.981070128970906
1739209600.4231944;-45.120503652039325
1739209600.4231985;-45.120503652039325
1739209600.4232023;-38.13080360867914
1739209600.423206;-38.13080360867914
1739209600.4232101;-45.120503652039325
1739209600.423214;-45.120503652039325
1739209600.423218;-45.120503652039325
1739209600.4232218;-45.120503652039325
1739209600.4232259;-45.120503652039325
1739209600.4232297;-38.13080360867914
1739209600.4232335;-38.13080360867914
1739209600.4232376;-38.13080360867914
1739209600.4232414;-38.13080360867914
1739209600.4232454;-45.120503652039325
1739209600.4232492;-45.120503652039325
1739209600.4232533;-38.13080360867914
1739209600.423257;-35.57807855764607
1739209600.423261;-38.13080360867914
1739209600.423265;-45.120503652039325
1739209600.4232688;-28.992665084841942
1739209600.4232728;-31.141103565318915
1739209600.4232767;-38.13080360867914
1739209600.4232807;-38.13080360867914
1739209600.4232845;-33.981070128970906
1739209600.4232886;-45.120503652039325
1739209600.4232924;-45.120503652039325
1739209600.4232962;-38.13080360867914
1739209600.4233003;-38.13080360867914
1739209600.423304;-38.13080360867914
1739209600.4233081;-38.13080360867914
1739209600.423312;-38.13080360867914
1739209600.423316;-38.13080360867914
1739209600.4233198;-45.120503652039325
1739209600.4233236;-45.120503652039325
1739209600.4233277;-45.120503652039325
1739209600.4233315;-38.13080360867914
1739209600.4233356;-33.981070128970906
1739209600.4233394;-38.13080360867914
1739209600.4233434;-45.120503652039325
1739209600.4233472;-45.120503652039325
1739209600.423351;-45.120503652039325
1739209600.423355;-38.13080360867914
1739209600.423359;-45.120503652039325
1739209600.423363;-38.13080360867914
1739209600.4233668;-33.981070128970906
1739209600.4233708;-38.13080360867914
1739209600.4233747;-38.13080360867914
1739209600.4233785;-38.13080360867914
1739209600.4233825;-38.13080360867914
1739209600.4233863;-38.13080360867914
1739209600.4233904;-38.13080360867914
1739209600.4233942;-33.981070128970906
1739209600.4233983;-31.141103565318915
1739209600.423402;-45.120503652039325
1739209600.423406;-45.120503652039325
1739209600.42341;-38.13080360867914
1739209600.4234138;-45.120503652039325
1739209600.4234178;-45.120503652039325
1739209600.4234216;-45.120503652039325
1739209600.4234257;-33.981070128970906
1739209600.4234295;-31.141103565318915
1739209600.4234333;-33.981070128970906
1739209600.4234374;-45.120503652039325
1739209600.4234412;-38.13080360867914
1739209600.4234452;-38.13080360867914
1739209600.423449;-38.13080360867914
1739209600.423453;-45.120503652039325
1739209600.423457;-38.13080360867914
1739209600.4234607;-27.267205301931607
1739209600.4234648;-35.57807855764607
1739209600.4234686;-45.120503652039325
1739209600.4234726;-45.120503652039325
1739209600.4234765;-45.120503652039325
1739209600.4234805;-45.120503652039325
1739209600.4234843;-45.120503652039325
1739209600.4234881;-38.13080360867914
1739209600.4234922;-35.57807855764607
1739209600.423496;-45.120503652039325
1739209600.4235;-35.57807855764607
1739209600.4235039;-38.13080360867914
1739209600.423508;-38.13080360867914
1739209600.4235117;-38.13080360867914
1739209600.4235156;-38.13080360867914
1739209600.4235196;-38.13080360867914
1739209600.4235234;-45.120503652039325
1739209600.4235275;-38.13080360867914
1739209600.4235313;-45.120503652039325
1739209600.4235353;-45.120503652039325
1739209600.4235392;-45.120503652039325
1739209600.423543;-33.981070128970906
1739209600.423547;-45.120503652039325
1739209600.4235508;-45.120503652039325
1739209600.423555;-32.816014438256545
1739209600.4235587;-38.13080360867914
1739209600.4235628;-45.120503652039325
1739209600.4235666;-45.120503652039325
1739209600.4235706;-33.981070128970906
1739209600.4235744;-45.120503652039325
1739209600.4235783;-38.13080360867914
1739209600.4235823;-45.120503652039325
1739209600.4235861;-45.120503652039325
1739209600.4235902;-38.13080360867914
1739209600.423594;-38.13080360867914
1739209600.423598;-45.120503652039325
1739209600.4236019;-45.120503652039325
1739209600.4236057;-45.120503652039325
1739209600.4236097;-45.120503652039325
1739209600.4236135;-45.120503652039325
1739209600.4236176;-33.981070128970906
1739209600.4236214;-38.13080360867914
1739209600.4236255;-45.120503652039325
1739209600.4236293;-45.120503652039325
1739209600.423633;-38.13080360867914
1739209600.4236372;-45.120503652039325
1739209600.423641;-35.57807855764607
1739209600.423645;-45.120503652039325
1739209600.4236488;-45.120503652039325
1739209600.423653;-38.13080360867914
1739209600.4236567;-45.120503652039325
1739209600.4236605;-45.120503652039325
1739209600.4236646;-33.981070128970906
1739209600.4236684;-29.438486411369333
1739209600.4236724;-45.120503652039325
1739209600.4236763;-45.120503652039325
1739209600.4236803;-30.49652367304973
1739209600.4236841;-38.13080360867914
1739209600.423688;-45.120503652039325
1739209600.423692;-38.13080360867914
