CAN Message; 0x24:028f7ace11bff7c7
Timestamp;Amplitude
1739209789.6015418;-38.13080360867914
1739209789.601555;-38.13080360867914
1739209789.6015687;-38.13080360867914
1739209789.601582;-35.57807855764607
1739209789.6015956;-38.13080360867914
1739209789.601609;-45.120503652039325
1739209789.6016226;-33.981070128970906
1739209789.601636;-45.120503652039325
1739209789.6016495;-45.120503652039325
1739209789.6016629;-45.120503652039325
1739209789.6016765;-45.120503652039325
1739209789.6016898;-45.120503652039325
1739209789.6017034;-27.8777449560314
1739209789.6017168;-32.816014438256545
1739209789.6017303;-45.120503652039325
1739209789.6017437;-45.120503652039325
1739209789.6017573;-38.13080360867914
1739209789.6017706;-38.13080360867914
1739209789.6017842;-38.13080360867914
1739209789.6017976;-38.13080360867914
1739209789.6018112;-45.120503652039325
1739209789.6018245;-45.120503652039325
1739209789.601838;-45.120503652039325
1739209789.6018515;-45.120503652039325
1739209789.601865;-35.57807855764607
1739209789.6018784;-32.816014438256545
1739209789.601892;-45.120503652039325
1739209789.6019053;-38.13080360867914
1739209789.601919;-38.13080360867914
1739209789.6019323;-38.13080360867914
1739209789.6019459;-38.13080360867914
1739209789.6019592;-45.120503652039325
1739209789.6019728;-45.120503652039325
1739209789.6019862;-45.120503652039325
1739209789.6019998;-45.120503652039325
1739209789.6020133;-45.120503652039325
1739209789.6020267;-32.816014438256545
1739209789.6020403;-33.981070128970906
1739209789.6020536;-38.13080360867914
1739209789.6020672;-45.120503652039325
1739209789.6020806;-45.120503652039325
1739209789.6020942;-38.13080360867914
1739209789.6021075;-45.120503652039325
1739209789.602121;-33.981070128970906
1739209789.6021345;-45.120503652039325
1739209789.602148;-45.120503652039325
1739209789.6021614;-35.57807855764607
1739209789.602175;-35.57807855764607
1739209789.6021883;-45.120503652039325
1739209789.602202;-38.13080360867914
1739209789.6022153;-32.816014438256545
1739209789.6022289;-45.120503652039325
1739209789.6022422;-35.57807855764607
1739209789.6022558;-38.13080360867914
1739209789.6022692;-38.13080360867914
1739209789.6022828;-38.13080360867914
1739209789.602296;-45.120503652039325
1739209789.6023097;-32.81601443825658
1739209789.602323;-33.981070128970906
1739209789.6023366;-33.981070128970906
1739209789.60235;-45.120503652039325
1739209789.6023636;-45.120503652039325
1739209789.602377;-38.13080360867914
1739209789.6023905;-45.120503652039325
1739209789.6024039;-45.120503652039325
1739209789.6024175;-38.13080360867914
1739209789.6024308;-38.13080360867914
1739209789.6024444;-38.13080360867914
1739209789.602458;-45.120503652039325
1739209789.6024714;-45.120503652039325
1739209789.602485;-38.13080360867914
1739209789.6024983;-38.13080360867914
1739209789.602512;-45.120503652039325
1739209789.6025252;-45.120503652039325
1739209789.6025388;-38.13080360867914
1739209789.6025522;-32.816014438256545
1739209789.6025658;-45.120503652039325
1739209789.602579;-38.13080360867914
1739209789.6025927;-38.13080360867914
1739209789.602606;-38.13080360867914
1739209789.6026196;-38.13080360867914
1739209789.602633;-38.13080360867914
1739209789.6026466;-38.13080360867914
1739209789.60266;-38.13080360867914
1739209789.6026735;-33.981070128970906
1739209789.602687;-38.13080360867914
