CAN Message; 0x150:0000f363f056c7d2
Timestamp;Amplitude
1739209652.5909915;-45.120503652039325
1739209652.5909948;-45.120503652039325
1739209652.5909984;-38.13080360867914
1739209652.591002;-45.120503652039325
1739209652.5910056;-33.981070128970906
1739209652.591009;-38.13080360867914
1739209652.5910125;-45.120503652039325
1739209652.591016;-38.13080360867914
1739209652.5910194;-38.13080360867914
1739209652.591023;-38.13080360867914
1739209652.5910265;-38.13080360867914
1739209652.5910301;-38.13080360867914
1739209652.5910335;-30.49652367304973
1739209652.591037;-33.981070128970906
1739209652.5910406;-45.120503652039325
1739209652.5910442;-38.13080360867914
1739209652.5910475;-45.120503652039325
1739209652.591051;-38.13080360867914
1739209652.5910547;-45.120503652039325
1739209652.591058;-38.13080360867914
1739209652.5910616;-31.141103565318915
1739209652.5910652;-32.816014438256545
1739209652.5910687;-38.13080360867914
1739209652.591072;-45.120503652039325
1739209652.5910757;-38.13080360867914
1739209652.5910792;-35.57807855764607
1739209652.5910826;-45.120503652039325
1739209652.5910861;-45.120503652039325
1739209652.5910897;-33.981070128970906
1739209652.5910933;-33.981070128970906
1739209652.5910966;-45.120503652039325
1739209652.5911002;-45.120503652039325
1739209652.5911038;-45.120503652039325
1739209652.5911071;-45.120503652039325
1739209652.5911107;-45.120503652039325
1739209652.5911143;-33.981070128970906
1739209652.5911179;-38.13080360867914
1739209652.5911212;-38.13080360867914
1739209652.5911248;-38.13080360867914
1739209652.5911283;-35.57807855764607
1739209652.591132;-38.13080360867914
1739209652.5911353;-45.120503652039325
1739209652.5911388;-45.120503652039325
1739209652.5911424;-38.13080360867914
1739209652.5911458;-38.13080360867914
1739209652.5911493;-38.13080360867914
1739209652.591153;-38.13080360867914
1739209652.5911565;-38.13080360867914
1739209652.5911598;-38.13080360867914
1739209652.5911634;-35.57807855764607
1739209652.591167;-38.13080360867914
1739209652.5911703;-35.57807855764607
1739209652.591174;-35.57807855764607
1739209652.5911775;-38.13080360867914
1739209652.591181;-45.120503652039325
1739209652.5911844;-45.120503652039325
1739209652.591188;-45.120503652039325
1739209652.5911915;-45.120503652039325
1739209652.5911949;-45.120503652039325
1739209652.5911984;-38.13080360867914
1739209652.591202;-38.13080360867914
1739209652.5912056;-38.13080360867914
1739209652.591209;-45.120503652039325
1739209652.5912125;-38.13080360867914
1739209652.591216;-38.13080360867914
1739209652.5912197;-38.13080360867914
1739209652.591223;-38.13080360867914
1739209652.5912266;-45.120503652039325
1739209652.5912302;-45.120503652039325
1739209652.5912335;-45.120503652039325
1739209652.591237;-45.120503652039325
1739209652.5912406;-45.120503652039325
1739209652.5912442;-33.981070128970906
1739209652.5912476;-45.120503652039325
1739209652.5912511;-45.120503652039325
1739209652.5912547;-45.120503652039325
1739209652.591258;-38.13080360867914
1739209652.5912616;-38.13080360867914
1739209652.5912652;-38.13080360867914
1739209652.5912688;-35.57807855764607
1739209652.591272;-32.816014438256545
1739209652.5912757;-38.13080360867914
1739209652.5912793;-38.13080360867914
1739209652.5912826;-35.57807855764607
1739209652.5912862;-38.13080360867914
1739209652.5912898;-35.57807855764607
1739209652.5912933;-35.57807855764607
1739209652.5912967;-45.120503652039325
1739209652.5913002;-38.13080360867914
1739209652.5913038;-38.13080360867914
1739209652.5913072;-38.13080360867914
1739209652.5913107;-45.120503652039325
1739209652.5913143;-45.120503652039325
1739209652.591318;-45.120503652039325
1739209652.5913212;-45.120503652039325
1739209652.5913248;-45.120503652039325
1739209652.5913284;-38.13080360867914
1739209652.591332;-31.141103565318915
1739209652.5913353;-38.13080360867914
1739209652.5913389;-38.13080360867914
1739209652.5913424;-45.120503652039325
1739209652.5913458;-38.13080360867914
1739209652.5913494;-32.816014438256545
1739209652.591353;-45.120503652039325
1739209652.5913565;-45.120503652039325
1739209652.5913599;-45.120503652039325
1739209652.5913634;-33.981070128970906
1739209652.591367;-45.120503652039325
