CAN Message; 0x1bb:0000d4f3935f333f
Timestamp;Amplitude
1739209857.6474063;-45.120503652039325
1739209857.6474218;-38.13080360867914
1739209857.647437;-35.57807855764607
1739209857.6474524;-35.57807855764607
1739209857.6474679;-38.13080360867914
1739209857.647483;-38.13080360867914
1739209857.6474986;-38.13080360867914
1739209857.6475139;-33.981070128970906
1739209857.6475291;-38.13080360867914
1739209857.6475446;-45.120503652039325
1739209857.64756;-38.13080360867914
1739209857.6475751;-38.13080360867914
1739209857.6475906;-35.57807855764607
1739209857.647606;-38.13080360867914
1739209857.6476212;-45.120503652039325
1739209857.6476367;-38.13080360867914
1739209857.647652;-45.120503652039325
1739209857.6476672;-45.120503652039325
1739209857.6476827;-38.13080360867914
1739209857.647698;-38.13080360867914
1739209857.6477134;-45.120503652039325
1739209857.6477287;-38.13080360867914
1739209857.647744;-45.120503652039325
1739209857.6477594;-45.120503652039325
1739209857.6477747;-45.120503652039325
1739209857.64779;-33.981070128970906
1739209857.6478055;-38.13080360867914
1739209857.6478207;-32.816014438256545
1739209857.647836;-30.49652367304973
1739209857.6478515;-45.120503652039325
1739209857.6478667;-38.13080360867914
1739209857.6478822;-35.57807855764607
1739209857.6478975;-38.13080360867914
1739209857.6479127;-38.13080360867914
1739209857.6479282;-32.816014438256545
1739209857.6479435;-45.120503652039325
1739209857.6479588;-33.981070128970906
1739209857.6479743;-33.981070128970906
1739209857.6479895;-45.120503652039325
1739209857.6480048;-38.13080360867914
1739209857.6480203;-38.13080360867914
1739209857.6480355;-38.13080360867914
1739209857.6480508;-35.57807855764607
1739209857.6480663;-45.120503652039325
1739209857.6480815;-45.120503652039325
1739209857.648097;-38.13080360867914
1739209857.6481123;-45.120503652039325
1739209857.6481276;-38.13080360867914
1739209857.648143;-45.120503652039325
1739209857.6481583;-33.981070128970906
1739209857.6481736;-45.120503652039325
1739209857.648189;-30.49652367304973
1739209857.6482043;-27.8777449560314
1739209857.6482196;-45.120503652039325
1739209857.648235;-45.120503652039325
1739209857.6482503;-35.57807855764607
1739209857.6482658;-33.981070128970906
1739209857.648281;-45.120503652039325
1739209857.6482964;-45.120503652039325
1739209857.6483119;-45.120503652039325
1739209857.648327;-38.13080360867914
1739209857.6483424;-38.13080360867914
1739209857.6483579;-35.57807855764607
1739209857.6483731;-45.120503652039325
1739209857.6483884;-45.120503652039325
1739209857.648404;-45.120503652039325
1739209857.6484191;-38.13080360867914
1739209857.6484346;-32.816014438256545
1739209857.64845;-31.141103565318893
1739209857.6484652;-38.13080360867914
1739209857.6484807;-45.120503652039325
1739209857.648496;-45.120503652039325
1739209857.6485112;-45.120503652039325
1739209857.6485267;-38.13080360867914
1739209857.648542;-38.13080360867914
1739209857.6485572;-32.816014438256545
1739209857.6485727;-32.816014438256545
1739209857.648588;-45.120503652039325
1739209857.6486032;-38.13080360867914
1739209857.6486187;-35.57807855764607
1739209857.648634;-38.13080360867914
1739209857.6486495;-45.120503652039325
1739209857.6486647;-38.13080360867914
1739209857.64868;-38.13080360867914
1739209857.6486955;-45.120503652039325
1739209857.6487107;-45.120503652039325
1739209857.648726;-45.120503652039325
1739209857.6487415;-38.13080360867914
1739209857.6487567;-45.120503652039325
1739209857.648772;-38.13080360867914
1739209857.6487875;-45.120503652039325
1739209857.6488028;-35.57807855764607
1739209857.6488183;-38.13080360867914
1739209857.6488335;-35.57807855764607
1739209857.6488488;-38.13080360867914
1739209857.6488643;-45.120503652039325
1739209857.6488795;-45.120503652039325
1739209857.6488948;-45.120503652039325
1739209857.6489103;-38.13080360867914
1739209857.6489255;-38.13080360867914
1739209857.6489408;-45.120503652039325
1739209857.6489563;-38.13080360867914
1739209857.6489716;-38.13080360867914
1739209857.6489868;-45.120503652039325
1739209857.6490023;-35.57807855764607
1739209857.6490176;-38.13080360867914
1739209857.649033;-38.13080360867914
1739209857.6490483;-38.13080360867914
1739209857.6490636;-38.13080360867914
1739209857.649079;-33.981070128970906
1739209857.6490943;-35.57807855764607
1739209857.6491096;-38.13080360867914
1739209857.649125;-45.120503652039325
1739209857.6491404;-33.981070128970906
1739209857.6491556;-45.120503652039325
1739209857.649171;-45.120503652039325
1739209857.6491864;-45.120503652039325
1739209857.6492019;-45.120503652039325
1739209857.6492171;-45.120503652039325
1739209857.6492324;-45.120503652039325
1739209857.649248;-38.13080360867914
1739209857.6492631;-38.13080360867914
1739209857.6492784;-33.981070128970906
1739209857.649294;-35.57807855764607
1739209857.6493092;-38.13080360867914
1739209857.6493244;-38.13080360867914
1739209857.64934;-35.57807855764607
1739209857.6493552;-45.120503652039325
1739209857.6493704;-38.13080360867914
1739209857.649386;-35.57807855764607
1739209857.6494012;-45.120503652039325
1739209857.6494167;-38.13080360867914
1739209857.649432;-45.120503652039325
1739209857.6494472;-38.13080360867914
1739209857.6494627;-45.120503652039325
1739209857.649478;-45.120503652039325
1739209857.6494932;-45.120503652039325
1739209857.6495087;-38.13080360867914
1739209857.649524;-38.13080360867914
1739209857.6495392;-33.981070128970906
1739209857.6495547;-38.13080360867914
1739209857.64957;-33.981070128970906
1739209857.6495855;-33.981070128970906
1739209857.6496007;-38.13080360867914
1739209857.649616;-45.120503652039325
1739209857.6496315;-38.13080360867914
1739209857.6496468;-35.57807855764607
1739209857.649662;-45.120503652039325
1739209857.6496775;-38.13080360867914
1739209857.6496928;-28.992665084841942
1739209857.649708;-38.13080360867914
1739209857.6497235;-38.13080360867914
1739209857.6497388;-45.120503652039325
1739209857.649754;-38.13080360867914
1739209857.6497695;-35.57807855764607
1739209857.6497848;-35.57807855764607
1739209857.6498003;-38.13080360867914
1739209857.6498156;-31.141103565318915
1739209857.6498308;-45.120503652039325
1739209857.6498463;-38.13080360867914
1739209857.6498616;-35.57807855764607
1739209857.6498768;-45.120503652039325
1739209857.6498923;-45.120503652039325
1739209857.6499076;-33.981070128970906
1739209857.6499228;-38.13080360867914
1739209857.6499383;-31.141103565318915
1739209857.6499536;-38.13080360867914
1739209857.649969;-33.981070128970906
1739209857.6499844;-38.13080360867914
1739209857.6499996;-33.981070128970906
1739209857.650015;-33.981070128970906
1739209857.6500304;-45.120503652039325
1739209857.6500456;-45.120503652039325
1739209857.6500611;-32.816014438256545
1739209857.6500764;-38.13080360867914
1739209857.6500916;-35.57807855764607
1739209857.6501071;-38.13080360867914
1739209857.6501224;-38.13080360867914
1739209857.650138;-38.13080360867914
1739209857.6501532;-33.981070128970906
1739209857.6501684;-38.13080360867914
1739209857.650184;-38.13080360867914
1739209857.6501992;-45.120503652039325
1739209857.6502144;-45.120503652039325
1739209857.65023;-38.13080360867914
1739209857.6502452;-38.13080360867914
1739209857.6502604;-45.120503652039325
1739209857.650276;-45.120503652039325
1739209857.6502912;-45.120503652039325
1739209857.6503065;-38.13080360867914
1739209857.650322;-35.57807855764607
1739209857.6503372;-38.13080360867914
1739209857.6503527;-45.120503652039325
1739209857.650368;-33.981070128970906
1739209857.6503832;-38.13080360867914
1739209857.6503987;-38.13080360867914
1739209857.650414;-45.120503652039325
1739209857.6504292;-38.13080360867914
1739209857.6504447;-35.57807855764607
1739209857.65046;-38.13080360867914
1739209857.6504753;-45.120503652039325
1739209857.6504908;-38.13080360867914
1739209857.650506;-45.120503652039325
1739209857.6505215;-38.13080360867914
1739209857.6505368;-38.13080360867914
1739209857.650552;-45.120503652039325
1739209857.6505675;-45.120503652039325
1739209857.6505828;-38.13080360867914
1739209857.650598;-38.13080360867914
1739209857.6506135;-38.13080360867914
1739209857.6506288;-45.120503652039325
1739209857.650644;-38.13080360867914
1739209857.6506596;-45.120503652039325
1739209857.6506748;-45.120503652039325
1739209857.65069;-45.120503652039325
1739209857.6507056;-45.120503652039325
1739209857.6507208;-45.120503652039325
1739209857.6507363;-31.141103565318915
1739209857.6507516;-32.816014438256545
1739209857.6507668;-38.13080360867914
1739209857.6507823;-45.120503652039325
1739209857.6507976;-38.13080360867914
1739209857.6508129;-32.816014438256545
