CAN Message; 0x62:0171a6e99abe6ab1
Timestamp;Amplitude
1739209882.8882563;-38.13080360867914
1739209882.8882635;-38.13080360867914
1739209882.8882704;-38.13080360867914
1739209882.8882775;-32.816014438256545
1739209882.8882844;-35.57807855764607
1739209882.8882916;-35.57807855764607
1739209882.8882985;-38.13080360867914
1739209882.8883057;-45.120503652039325
1739209882.8883126;-33.981070128970906
1739209882.8883197;-45.120503652039325
1739209882.8883266;-35.57807855764607
1739209882.8883336;-33.981070128970906
1739209882.8883407;-45.120503652039325
1739209882.8883476;-33.981070128970906
1739209882.8883548;-33.981070128970906
1739209882.8883617;-38.13080360867914
1739209882.8883688;-45.120503652039325
1739209882.8883758;-45.120503652039325
1739209882.888383;-45.120503652039325
1739209882.8883898;-45.120503652039325
1739209882.888397;-33.981070128970906
1739209882.888404;-45.120503652039325
1739209882.888411;-45.120503652039325
1739209882.888418;-38.13080360867914
1739209882.8884249;-38.13080360867914
1739209882.888432;-45.120503652039325
1739209882.888439;-45.120503652039325
1739209882.888446;-45.120503652039325
1739209882.888453;-38.13080360867914
1739209882.8884602;-38.13080360867914
1739209882.888467;-45.120503652039325
1739209882.8884742;-45.120503652039325
1739209882.8884811;-45.120503652039325
1739209882.8884883;-38.13080360867914
1739209882.8884952;-38.13080360867914
1739209882.8885021;-45.120503652039325
1739209882.8885093;-33.981070128970906
1739209882.8885162;-31.141103565318915
1739209882.8885233;-45.120503652039325
1739209882.8885303;-45.120503652039325
1739209882.8885374;-38.13080360867914
1739209882.8885443;-35.57807855764607
1739209882.8885515;-38.13080360867914
1739209882.8885584;-45.120503652039325
1739209882.8885655;-38.13080360867914
1739209882.8885725;-35.57807855764607
1739209882.8885794;-38.13080360867914
1739209882.8885865;-45.120503652039325
1739209882.8885934;-45.120503652039325
1739209882.8886006;-45.120503652039325
1739209882.8886075;-45.120503652039325
1739209882.8886147;-38.13080360867914
1739209882.8886216;-45.120503652039325
1739209882.8886287;-38.13080360867914
1739209882.8886356;-38.13080360867914
1739209882.8886428;-45.120503652039325
1739209882.8886497;-38.13080360867914
1739209882.8886569;-35.57807855764607
1739209882.8886638;-35.57807855764607
1739209882.8886707;-45.120503652039325
1739209882.8886778;-28.992665084841942
1739209882.8886847;-28.992665084841942
1739209882.888692;-45.120503652039325
1739209882.8886988;-38.13080360867914
1739209882.888706;-38.13080360867914
1739209882.888713;-35.57807855764607
1739209882.88872;-38.13080360867914
1739209882.888727;-45.120503652039325
1739209882.888734;-45.120503652039325
1739209882.888741;-38.13080360867914
1739209882.888748;-38.13080360867914
1739209882.888755;-38.13080360867914
1739209882.888762;-38.13080360867914
1739209882.8887691;-45.120503652039325
1739209882.888776;-38.13080360867914
1739209882.8887832;-45.120503652039325
1739209882.8887901;-38.13080360867914
1739209882.8887973;-35.57807855764607
1739209882.8888042;-38.13080360867914
1739209882.8888113;-45.120503652039325
1739209882.8888183;-38.13080360867914
1739209882.8888252;-38.13080360867914
1739209882.8888323;-45.120503652039325
1739209882.8888392;-45.120503652039325
1739209882.8888464;-38.13080360867914
1739209882.8888533;-30.49652367304973
1739209882.8888605;-38.13080360867914
1739209882.8888674;-45.120503652039325
1739209882.8888745;-35.57807855764607
1739209882.8888814;-32.816014438256545
1739209882.8888886;-45.120503652039325
1739209882.8888955;-45.120503652039325
1739209882.8889027;-45.120503652039325
1739209882.8889096;-38.13080360867914
1739209882.8889165;-38.13080360867914
1739209882.8889236;-45.120503652039325
1739209882.8889306;-45.120503652039325
1739209882.8889377;-33.981070128970906
1739209882.8889446;-35.57807855764607
1739209882.8889518;-45.120503652039325
1739209882.8889587;-33.981070128970906
1739209882.8889658;-25.826314394896354
1739209882.8889728;-38.13080360867914
1739209882.88898;-45.120503652039325
1739209882.8889868;-33.981070128970906
1739209882.8889937;-30.49652367304973
1739209882.889001;-45.120503652039325
1739209882.8890078;-45.120503652039325
1739209882.889015;-38.13080360867914
1739209882.8890219;-45.120503652039325
1739209882.889029;-45.120503652039325
1739209882.889036;-45.120503652039325
1739209882.889043;-33.981070128970906
1739209882.88905;-38.13080360867914
1739209882.8890572;-38.13080360867914
1739209882.889064;-38.13080360867914
1739209882.889071;-45.120503652039325
1739209882.8890781;-45.120503652039325
1739209882.889085;-38.13080360867914
1739209882.8890922;-45.120503652039325
1739209882.8890991;-38.13080360867914
1739209882.8891063;-38.13080360867914
1739209882.8891132;-33.981070128970906
1739209882.8891203;-45.120503652039325
1739209882.8891273;-38.13080360867914
1739209882.8891344;-35.57807855764607
1739209882.8891413;-38.13080360867914
1739209882.8891482;-45.120503652039325
1739209882.8891554;-38.13080360867914
1739209882.8891623;-33.981070128970906
1739209882.8891695;-45.120503652039325
1739209882.8891764;-45.120503652039325
1739209882.8891835;-33.981070128970906
