CAN Message; 0x1bb:0000c2ba5ac4565d
Timestamp;Amplitude
1739209856.5539758;-38.13080360867914
1739209856.5539784;-38.13080360867914
1739209856.5539813;-38.13080360867914
1739209856.553984;-38.13080360867914
1739209856.5539865;-35.57807855764607
1739209856.5539892;-38.13080360867914
1739209856.5539918;-33.981070128970956
1739209856.5539944;-45.120503652039325
1739209856.5539973;-45.120503652039325
1739209856.554;-45.120503652039325
1739209856.5540025;-45.120503652039325
1739209856.5540051;-38.13080360867914
1739209856.5540078;-45.120503652039325
1739209856.5540104;-38.13080360867914
1739209856.5540133;-27.8777449560314
1739209856.5540159;-38.13080360867914
1739209856.5540185;-45.120503652039325
1739209856.5540211;-35.57807855764607
1739209856.5540237;-31.141103565318893
1739209856.5540266;-45.120503652039325
1739209856.5540292;-45.120503652039325
1739209856.5540318;-45.120503652039325
1739209856.5540345;-35.57807855764607
1739209856.554037;-38.13080360867914
1739209856.5540397;-45.120503652039325
1739209856.5540426;-38.13080360867914
1739209856.5540452;-38.13080360867914
1739209856.5540478;-38.13080360867914
1739209856.5540504;-45.120503652039325
1739209856.554053;-38.13080360867914
1739209856.554056;-33.981070128970956
1739209856.5540586;-38.13080360867914
1739209856.5540612;-35.57807855764607
1739209856.5540638;-45.120503652039325
1739209856.5540664;-45.120503652039325
1739209856.554069;-38.13080360867914
1739209856.554072;-38.13080360867914
1739209856.5540745;-45.120503652039325
1739209856.5540771;-26.991370085610722
1739209856.5540798;-33.981070128970906
1739209856.5540824;-45.120503652039325
1739209856.554085;-38.13080360867914
1739209856.5540879;-35.57807855764607
1739209856.5540905;-45.120503652039325
1739209856.5540931;-45.120503652039325
1739209856.5540957;-45.120503652039325
1739209856.5540984;-45.120503652039325
1739209856.5541012;-45.120503652039325
1739209856.5541039;-45.120503652039325
1739209856.5541065;-45.120503652039325
1739209856.554109;-35.57807855764607
1739209856.5541117;-45.120503652039325
1739209856.5541143;-45.120503652039325
1739209856.5541172;-45.120503652039325
1739209856.5541198;-45.120503652039325
1739209856.5541224;-38.13080360867914
1739209856.554125;-35.57807855764607
1739209856.5541277;-45.120503652039325
1739209856.5541303;-45.120503652039325
1739209856.5541332;-38.13080360867914
1739209856.5541358;-35.57807855764607
1739209856.5541384;-45.120503652039325
1739209856.554141;-35.57807855764607
1739209856.5541437;-38.13080360867914
1739209856.5541465;-45.120503652039325
1739209856.5541492;-45.120503652039325
1739209856.5541518;-38.13080360867914
1739209856.5541544;-38.13080360867914
1739209856.554157;-45.120503652039325
1739209856.5541596;-38.13080360867914
1739209856.5541625;-35.57807855764607
1739209856.5541651;-45.120503652039325
1739209856.5541677;-45.120503652039325
1739209856.5541704;-45.120503652039325
1739209856.554173;-38.13080360867914
1739209856.5541759;-35.57807855764607
1739209856.5541785;-38.13080360867914
1739209856.554181;-38.13080360867914
1739209856.5541837;-45.120503652039325
1739209856.5541863;-38.13080360867914
1739209856.554189;-45.120503652039325
1739209856.5541918;-45.120503652039325
1739209856.5541945;-45.120503652039325
1739209856.554197;-45.120503652039325
1739209856.5541997;-45.120503652039325
1739209856.5542023;-38.13080360867914
1739209856.554205;-35.57807855764607
1739209856.5542078;-38.13080360867914
1739209856.5542104;-45.120503652039325
1739209856.554213;-45.120503652039325
1739209856.5542157;-38.13080360867914
1739209856.5542183;-38.13080360867914
1739209856.5542212;-45.120503652039325
1739209856.5542238;-45.120503652039325
1739209856.5542264;-45.120503652039325
1739209856.554229;-38.13080360867914
1739209856.5542316;-45.120503652039325
1739209856.5542343;-38.13080360867914
1739209856.5542371;-38.13080360867914
1739209856.5542397;-38.13080360867914
1739209856.5542424;-45.120503652039325
1739209856.554245;-38.13080360867914
1739209856.5542476;-38.13080360867914
1739209856.5542502;-31.14110356531892
1739209856.554253;-45.120503652039325
1739209856.5542557;-45.120503652039325
1739209856.5542583;-45.120503652039325
1739209856.554261;-45.120503652039325
1739209856.5542636;-45.120503652039325
1739209856.5542665;-45.120503652039325
1739209856.554269;-38.13080360867914
1739209856.5542717;-31.141103565318915
1739209856.5542743;-35.57807855764607
1739209856.554277;-45.120503652039325
1739209856.5542796;-38.13080360867914
1739209856.5542824;-38.13080360867914
1739209856.554285;-45.120503652039325
1739209856.5542877;-38.13080360867914
1739209856.5542903;-35.57807855764607
1739209856.554293;-35.57807855764607
1739209856.5542958;-45.120503652039325
1739209856.5542984;-45.120503652039325
1739209856.554301;-45.120503652039325
1739209856.5543036;-45.120503652039325
1739209856.5543063;-45.120503652039325
1739209856.554309;-45.120503652039325
1739209856.5543118;-45.120503652039325
1739209856.5543144;-35.57807855764607
1739209856.554317;-38.13080360867914
1739209856.5543196;-38.13080360867914
1739209856.5543222;-45.120503652039325
