CAN Message; 0x98:000037e184a81b13
Timestamp;Amplitude
1739209826.979589;-45.120503652039325
1739209826.9795985;-45.120503652039325
1739209826.979608;-38.13080360867914
1739209826.9796176;-38.13080360867914
1739209826.9796274;-45.120503652039325
1739209826.979637;-45.120503652039325
1739209826.9796464;-38.13080360867914
1739209826.979656;-38.13080360867914
1739209826.9796655;-45.120503652039325
1739209826.979675;-26.487275050834715
1739209826.9796846;-35.57807855764607
1739209826.9796941;-38.13080360867914
1739209826.979704;-33.981070128970906
1739209826.9797134;-38.13080360867914
1739209826.979723;-38.13080360867914
1739209826.9797325;-45.120503652039325
1739209826.979742;-45.120503652039325
1739209826.9797516;-45.120503652039325
1739209826.9797611;-45.120503652039325
1739209826.9797707;-45.120503652039325
1739209826.9797804;-38.13080360867914
1739209826.97979;-45.120503652039325
1739209826.9797995;-33.981070128970906
1739209826.979809;-45.120503652039325
1739209826.9798186;-45.120503652039325
1739209826.9798281;-28.58837851428586
1739209826.9798377;-33.981070128970906
1739209826.9798472;-45.120503652039325
1739209826.979857;-38.13080360867914
1739209826.9798665;-35.57807855764607
1739209826.979876;-38.13080360867914
1739209826.9798856;-45.120503652039325
1739209826.979895;-38.13080360867914
1739209826.9799047;-45.120503652039325
1739209826.9799142;-45.120503652039325
1739209826.9799237;-45.120503652039325
1739209826.9799335;-38.13080360867914
1739209826.979943;-38.13080360867914
1739209826.9799526;-38.13080360867914
1739209826.979962;-45.120503652039325
1739209826.9799716;-45.120503652039325
1739209826.9799812;-45.120503652039325
1739209826.9799907;-45.120503652039325
1739209826.9800003;-38.13080360867914
1739209826.98001;-38.13080360867914
1739209826.9800196;-45.120503652039325
1739209826.980029;-38.13080360867914
1739209826.9800386;-35.57807855764607
1739209826.9800482;-38.13080360867914
1739209826.9800577;-38.13080360867914
1739209826.9800673;-38.13080360867914
1739209826.9800768;-38.13080360867914
1739209826.9800866;-38.13080360867914
1739209826.980096;-38.13080360867914
1739209826.9801056;-32.816014438256545
1739209826.9801152;-45.120503652039325
1739209826.9801247;-38.13080360867914
1739209826.9801342;-45.120503652039325
1739209826.9801438;-38.13080360867914
1739209826.9801533;-38.13080360867914
1739209826.980163;-38.13080360867914
1739209826.9801726;-45.120503652039325
1739209826.9801822;-38.13080360867914
1739209826.9801917;-38.13080360867914
1739209826.9802012;-38.13080360867914
1739209826.9802108;-38.13080360867914
1739209826.9802203;-38.13080360867914
1739209826.9802299;-35.57807855764607
1739209826.9802394;-45.120503652039325
1739209826.9802492;-45.120503652039325
1739209826.9802587;-45.120503652039325
1739209826.9802682;-35.57807855764607
1739209826.9802778;-45.120503652039325
1739209826.9802873;-38.13080360867914
1739209826.9802969;-38.13080360867914
1739209826.9803064;-35.57807855764607
1739209826.980316;-38.13080360867914
1739209826.9803257;-38.13080360867914
1739209826.9803352;-38.13080360867914
1739209826.9803448;-45.120503652039325
1739209826.9803543;-45.120503652039325
1739209826.9803638;-35.57807855764607
1739209826.9803734;-38.13080360867914
1739209826.980383;-45.120503652039325
1739209826.9803925;-38.13080360867914
1739209826.9804022;-38.13080360867914
1739209826.9804118;-45.120503652039325
1739209826.9804213;-45.120503652039325
1739209826.9804308;-38.13080360867914
1739209826.9804404;-38.13080360867914
1739209826.98045;-45.120503652039325
1739209826.9804595;-45.120503652039325
1739209826.980469;-38.13080360867914
1739209826.9804788;-32.816014438256545
1739209826.9804883;-38.13080360867914
1739209826.9804978;-45.120503652039325
1739209826.9805074;-38.13080360867914
1739209826.980517;-32.816014438256545
1739209826.9805264;-35.57807855764607
1739209826.980536;-38.13080360867914
1739209826.9805455;-38.13080360867914
