CAN Message; 0x77:943d74866b7d1121
Timestamp;Amplitude
1739209867.0966089;-38.13080360867914
1739209867.0966105;-45.120503652039325
1739209867.096612;-45.120503652039325
1739209867.0966136;-45.120503652039325
1739209867.096615;-45.120503652039325
1739209867.0966167;-38.13080360867914
1739209867.0966182;-45.120503652039325
1739209867.0966198;-38.13080360867914
1739209867.0966213;-45.120503652039325
1739209867.096623;-38.13080360867914
1739209867.0966244;-45.120503652039325
1739209867.096626;-35.57807855764607
1739209867.0966275;-35.57807855764607
1739209867.0966291;-38.13080360867914
1739209867.0966306;-45.120503652039325
1739209867.096632;-38.13080360867914
1739209867.0966337;-38.13080360867914
1739209867.096635;-38.13080360867914
1739209867.0966368;-45.120503652039325
1739209867.0966382;-45.120503652039325
1739209867.0966399;-38.13080360867914
1739209867.0966413;-38.13080360867914
1739209867.096643;-45.120503652039325
1739209867.0966444;-38.13080360867914
1739209867.096646;-38.13080360867914
1739209867.0966475;-45.120503652039325
1739209867.0966492;-38.13080360867914
1739209867.0966506;-38.13080360867914
1739209867.0966523;-45.120503652039325
1739209867.0966537;-45.120503652039325
1739209867.0966551;-45.120503652039325
1739209867.0966568;-33.981070128970906
1739209867.0966582;-38.13080360867914
1739209867.09666;-38.13080360867914
1739209867.0966613;-38.13080360867914
1739209867.096663;-38.13080360867914
1739209867.0966644;-29.438486411369333
1739209867.096666;-38.13080360867914
1739209867.0966675;-45.120503652039325
1739209867.0966692;-38.13080360867914
1739209867.0966706;-38.13080360867914
1739209867.0966723;-38.13080360867914
1739209867.0966737;-45.120503652039325
1739209867.0966754;-38.13080360867914
1739209867.0966768;-45.120503652039325
1739209867.0966783;-45.120503652039325
1739209867.09668;-45.120503652039325
1739209867.0966814;-45.120503652039325
1739209867.096683;-38.13080360867914
1739209867.0966845;-35.57807855764607
1739209867.0966861;-38.13080360867914
1739209867.0966876;-45.120503652039325
1739209867.0966892;-45.120503652039325
1739209867.0966907;-45.120503652039325
1739209867.0966923;-45.120503652039325
1739209867.0966938;-45.120503652039325
1739209867.0966954;-31.141103565318893
1739209867.0966969;-33.981070128970906
1739209867.0966985;-45.120503652039325
1739209867.0967;-45.120503652039325
1739209867.0967014;-35.57807855764607
1739209867.096703;-32.816014438256545
1739209867.0967045;-45.120503652039325
1739209867.0967062;-45.120503652039325
1739209867.0967076;-45.120503652039325
1739209867.0967093;-38.13080360867914
1739209867.0967107;-45.120503652039325
1739209867.0967124;-38.13080360867914
1739209867.0967138;-45.120503652039325
1739209867.0967155;-45.120503652039325
1739209867.096717;-38.13080360867914
1739209867.0967185;-38.13080360867914
1739209867.09672;-38.13080360867914
1739209867.0967216;-45.120503652039325
1739209867.096723;-45.120503652039325
1739209867.0967245;-45.120503652039325
1739209867.0967262;-29.438486411369333
1739209867.0967276;-32.816014438256545
1739209867.0967293;-45.120503652039325
1739209867.0967307;-45.120503652039325
1739209867.0967324;-45.120503652039325
1739209867.0967338;-33.981070128970906
1739209867.0967355;-45.120503652039325
1739209867.096737;-38.13080360867914
1739209867.0967386;-45.120503652039325
