CAN Message; 0x1b8:0100dc1d80013f48
Timestamp;Amplitude
1739209801.985873;-35.57807855764607
1739209801.9858818;-33.981070128970906
1739209801.9858906;-38.13080360867914
1739209801.9858997;-38.13080360867914
1739209801.9859085;-38.13080360867914
1739209801.9859173;-38.13080360867914
1739209801.9859262;-45.120503652039325
1739209801.985935;-38.13080360867914
1739209801.9859438;-38.13080360867914
1739209801.9859529;-32.816014438256545
1739209801.9859617;-45.120503652039325
1739209801.9859705;-38.13080360867914
1739209801.9859793;-38.13080360867914
1739209801.9859881;-38.13080360867914
1739209801.985997;-45.120503652039325
1739209801.9860058;-45.120503652039325
1739209801.9860148;-38.13080360867914
1739209801.9860237;-31.141103565318915
1739209801.9860325;-38.13080360867914
1739209801.9860413;-33.981070128970906
1739209801.9860501;-45.120503652039325
1739209801.986059;-33.981070128970906
1739209801.9860678;-35.57807855764607
1739209801.9860768;-38.13080360867914
1739209801.9860857;-45.120503652039325
1739209801.9860945;-35.57807855764607
1739209801.9861033;-33.981070128970906
1739209801.986112;-45.120503652039325
1739209801.986121;-45.120503652039325
1739209801.98613;-38.13080360867914
1739209801.9861388;-38.13080360867914
1739209801.9861476;-45.120503652039325
1739209801.9861565;-45.120503652039325
1739209801.9861653;-38.13080360867914
1739209801.986174;-38.13080360867914
1739209801.986183;-33.981070128970906
1739209801.986192;-45.120503652039325
1739209801.9862008;-33.981070128970906
1739209801.9862096;-29.438486411369333
1739209801.9862185;-33.981070128970906
1739209801.9862273;-45.120503652039325
1739209801.986236;-33.981070128970906
1739209801.986245;-35.57807855764607
1739209801.986254;-38.13080360867914
1739209801.9862628;-45.120503652039325
1739209801.9862716;-45.120503652039325
1739209801.9862804;-38.13080360867914
1739209801.9862893;-32.816014438256545
1739209801.986298;-38.13080360867914
1739209801.9863071;-38.13080360867914
1739209801.986316;-38.13080360867914
1739209801.9863248;-38.13080360867914
1739209801.9863336;-38.13080360867914
1739209801.9863424;-38.13080360867914
1739209801.9863513;-45.120503652039325
1739209801.98636;-45.120503652039325
1739209801.9863691;-45.120503652039325
1739209801.986378;-45.120503652039325
1739209801.9863868;-45.120503652039325
1739209801.9863956;-38.13080360867914
1739209801.9864044;-32.816014438256545
1739209801.9864132;-38.13080360867914
1739209801.986422;-38.13080360867914
1739209801.9864311;-38.13080360867914
1739209801.98644;-45.120503652039325
1739209801.9864488;-45.120503652039325
1739209801.9864576;-45.120503652039325
1739209801.9864664;-38.13080360867914
1739209801.9864752;-45.120503652039325
1739209801.9864843;-45.120503652039325
1739209801.986493;-45.120503652039325
1739209801.986502;-38.13080360867914
1739209801.9865108;-45.120503652039325
1739209801.9865196;-38.13080360867914
1739209801.9865284;-45.120503652039325
1739209801.9865372;-38.13080360867914
1739209801.9865463;-45.120503652039325
1739209801.986555;-33.981070128970906
1739209801.986564;-33.981070128970906
1739209801.9865727;-45.120503652039325
1739209801.9865816;-38.13080360867914
1739209801.9865904;-35.57807855764607
1739209801.9865992;-32.816014438256545
1739209801.9866083;-33.981070128970906
1739209801.986617;-38.13080360867914
1739209801.986626;-38.13080360867914
1739209801.9866347;-32.816014438256545
1739209801.9866436;-45.120503652039325
1739209801.9866524;-45.120503652039325
1739209801.9866614;-38.13080360867914
1739209801.9866703;-32.816014438256545
1739209801.986679;-38.13080360867914
1739209801.986688;-45.120503652039325
1739209801.9866967;-45.120503652039325
1739209801.9867055;-45.120503652039325
1739209801.9867144;-38.13080360867914
1739209801.9867234;-45.120503652039325
1739209801.9867322;-33.981070128970906
1739209801.986741;-38.13080360867914
1739209801.98675;-45.120503652039325
1739209801.9867587;-45.120503652039325
1739209801.9867675;-38.13080360867914
1739209801.9867764;-38.13080360867914
1739209801.9867854;-45.120503652039325
1739209801.9867942;-38.13080360867914
1739209801.986803;-38.13080360867914
1739209801.9868119;-28.58837851428586
1739209801.9868207;-33.981070128970906
1739209801.9868295;-45.120503652039325
1739209801.9868386;-38.13080360867914
1739209801.9868474;-32.816014438256545
1739209801.9868562;-31.141103565318915
1739209801.986865;-45.120503652039325
1739209801.9868739;-38.13080360867914
1739209801.9868827;-38.13080360867914
1739209801.9868915;-38.13080360867914
1739209801.9869006;-45.120503652039325
1739209801.9869094;-45.120503652039325
1739209801.9869182;-35.57807855764607
1739209801.986927;-45.120503652039325
1739209801.9869359;-45.120503652039325
1739209801.9869447;-35.57807855764607
1739209801.9869535;-35.57807855764607
1739209801.9869626;-45.120503652039325
1739209801.9869714;-35.57807855764607
1739209801.9869802;-45.120503652039325
1739209801.986989;-45.120503652039325
1739209801.9869978;-38.13080360867914
1739209801.9870067;-35.57807855764607
1739209801.9870157;-45.120503652039325
1739209801.9870245;-33.981070128970906
1739209801.9870334;-28.992665084841942
1739209801.9870422;-45.120503652039325
1739209801.987051;-38.13080360867914
1739209801.9870598;-38.13080360867914
1739209801.9870687;-45.120503652039325
1739209801.9870777;-45.120503652039325
1739209801.9870865;-38.13080360867914
1739209801.9870954;-45.120503652039325
1739209801.9871042;-45.120503652039325
1739209801.987113;-45.120503652039325
1739209801.9871218;-45.120503652039325
1739209801.9871309;-38.13080360867914
1739209801.9871397;-38.13080360867914
1739209801.9871485;-38.13080360867914
1739209801.9871573;-45.120503652039325
1739209801.9871662;-45.120503652039325
1739209801.987175;-38.13080360867914
1739209801.9871838;-38.13080360867914
1739209801.9871929;-45.120503652039325
1739209801.9872017;-45.120503652039325
1739209801.9872105;-45.120503652039325
1739209801.9872193;-38.13080360867914
1739209801.9872282;-45.120503652039325
1739209801.987237;-38.13080360867914
1739209801.9872458;-32.816014438256545
1739209801.9872549;-38.13080360867914
1739209801.9872637;-33.981070128970906
1739209801.9872725;-32.816014438256545
1739209801.9872813;-35.57807855764607
1739209801.9872901;-45.120503652039325
1739209801.987299;-38.13080360867914
1739209801.987308;-38.13080360867914
1739209801.9873168;-45.120503652039325
1739209801.9873257;-45.120503652039325
1739209801.9873345;-33.981070128970906
1739209801.9873433;-45.120503652039325
1739209801.9873521;-35.57807855764607
1739209801.987361;-38.13080360867914
1739209801.98737;-38.13080360867914
1739209801.9873788;-32.816014438256545
1739209801.9873877;-35.57807855764607
1739209801.9873965;-38.13080360867914
1739209801.9874053;-45.120503652039325
1739209801.9874141;-38.13080360867914
1739209801.987423;-38.13080360867914
1739209801.987432;-45.120503652039325
1739209801.9874408;-38.13080360867914
1739209801.9874496;-45.120503652039325
1739209801.9874585;-31.141103565318915
1739209801.9874673;-38.13080360867914
1739209801.987476;-45.120503652039325
1739209801.9874852;-29.438486411369333
1739209801.987494;-33.981070128970906
1739209801.9875028;-45.120503652039325
1739209801.9875116;-45.120503652039325
1739209801.9875205;-31.141103565318893
1739209801.9875293;-38.13080360867914
1739209801.987538;-45.120503652039325
1739209801.9875472;-33.981070128970906
1739209801.987556;-38.13080360867914
1739209801.9875648;-33.981070128970906
