CAN Message; 0x1a7:0000f642872e25e8
Timestamp;Amplitude
1739209767.6646304;-30.49652367304973
1739209767.6646345;-32.816014438256545
1739209767.6646385;-33.981070128970906
1739209767.6646428;-45.120503652039325
1739209767.6646469;-38.13080360867914
1739209767.664651;-29.438486411369333
1739209767.664655;-38.13080360867914
1739209767.664659;-28.992665084841967
1739209767.664663;-33.981070128970906
1739209767.6646674;-31.141103565318915
1739209767.6646714;-27.8777449560314
1739209767.6646755;-33.981070128970956
1739209767.6646795;-32.816014438256545
1739209767.6646836;-38.13080360867914
1739209767.6646876;-31.141103565318915
1739209767.664692;-35.57807855764607
1739209767.664696;-31.14110356531892
1739209767.6647;-30.49652367304973
1739209767.664704;-38.13080360867914
1739209767.6647081;-27.267205301931607
1739209767.6647122;-29.438486411369347
1739209767.6647165;-28.588378514285886
1739209767.6647205;-30.49652367304973
1739209767.6647246;-30.49652367304973
1739209767.6647286;-38.13080360867914
1739209767.6647327;-45.120503652039325
1739209767.6647367;-38.13080360867914
1739209767.664741;-26.487275050834715
1739209767.664745;-38.13080360867914
1739209767.6647491;-27.267205301931607
1739209767.6647532;-45.120503652039325
1739209767.6647573;-31.141103565318943
1739209767.6647613;-33.981070128970956
1739209767.6647656;-32.816014438256545
1739209767.6647696;-33.981070128970956
1739209767.6647737;-26.991370085610754
1739209767.6647778;-28.58837851428586
1739209767.6647818;-26.991370085610736
1739209767.6647859;-31.141103565318915
1739209767.66479;-26.487275050834715
1739209767.6647942;-27.267205301931607
1739209767.6647983;-33.981070128970956
1739209767.6648023;-26.991370085610722
1739209767.6648064;-32.81601443825658
1739209767.6648104;-31.141103565318943
1739209767.6648145;-35.57807855764607
1739209767.6648188;-45.120503652039325
1739209767.6648228;-45.120503652039325
1739209767.6648269;-38.13080360867914
1739209767.664831;-27.877744956031414
1739209767.664835;-26.487275050834715
1739209767.664839;-25.62660358559016
1739209767.6648433;-45.120503652039325
1739209767.6648474;-30.49652367304973
1739209767.6648514;-29.438486411369347
1739209767.6648555;-31.141103565318943
1739209767.6648595;-26.487275050834715
1739209767.6648636;-33.981070128970906
1739209767.6648679;-35.57807855764607
1739209767.664872;-27.8777449560314
1739209767.664876;-31.141103565318915
1739209767.66488;-32.81601443825658
1739209767.664884;-28.58837851428586
1739209767.6648881;-31.141103565318943
1739209767.6648924;-35.57807855764607
1739209767.6648965;-29.438486411369333
1739209767.6649005;-31.141103565318915
1739209767.6649046;-38.13080360867914
1739209767.6649086;-38.13080360867914
1739209767.6649127;-38.13080360867914
1739209767.664917;-38.13080360867914
1739209767.664921;-45.120503652039325
1739209767.664925;-31.14110356531892
1739209767.6649292;-27.267205301931607
1739209767.6649332;-45.120503652039325
1739209767.6649373;-30.49652367304973
1739209767.6649413;-28.992665084841942
1739209767.6649456;-33.981070128970956
1739209767.6649497;-28.21854285175415
1739209767.6649537;-38.13080360867914
1739209767.6649578;-28.992665084841942
1739209767.6649618;-45.120503652039325
1739209767.6649659;-38.13080360867914
1739209767.6649702;-38.13080360867914
1739209767.6649742;-33.981070128970906
1739209767.6649783;-45.120503652039325
1739209767.6649823;-25.826314394896357
1739209767.6649864;-26.991370085610722
1739209767.6649904;-38.13080360867914
1739209767.6649947;-38.13080360867914
1739209767.6649988;-28.58837851428586
1739209767.6650028;-45.120503652039325
1739209767.6650069;-45.120503652039325
1739209767.665011;-38.13080360867914
1739209767.665015;-33.981070128970906
1739209767.6650193;-33.981070128970906
1739209767.6650233;-33.981070128970906
1739209767.6650274;-28.58837851428586
1739209767.6650314;-27.267205301931607
1739209767.6650355;-33.981070128970906
1739209767.6650395;-45.120503652039325
1739209767.6650438;-31.141103565318893
1739209767.665048;-38.13080360867914
1739209767.665052;-38.13080360867914
1739209767.665056;-25.25278630937684
1739209767.66506;-26.991370085610754
1739209767.665064;-35.57807855764607
1739209767.6650684;-35.57807855764607
1739209767.6650724;-31.141103565318915
1739209767.6650765;-28.992665084841967
1739209767.6650805;-25.826314394896354
1739209767.6650846;-25.826314394896357
1739209767.6650887;-25.826314394896364
1739209767.6650927;-31.141103565318915
1739209767.665097;-45.120503652039325
1739209767.665101;-38.13080360867914
1739209767.665105;-31.141103565318915
1739209767.6651092;-33.981070128970956
1739209767.6651132;-28.58837851428586
1739209767.6651173;-38.13080360867914
1739209767.6651216;-25.826314394896357
1739209767.6651256;-45.120503652039325
1739209767.6651297;-38.13080360867914
1739209767.6651337;-31.141103565318915
1739209767.6651378;-26.991370085610722
1739209767.6651418;-38.13080360867914
1739209767.665146;-28.58837851428586
1739209767.6651502;-35.57807855764607
1739209767.6651542;-38.13080360867914
1739209767.6651583;-45.120503652039325
1739209767.6651623;-38.13080360867914
1739209767.6651664;-33.981070128970906
1739209767.6651707;-29.438486411369375
1739209767.6651747;-25.826314394896357
1739209767.6651788;-31.141103565318915
1739209767.6651828;-38.13080360867914
1739209767.665187;-31.141103565318915
1739209767.665191;-38.13080360867914
1739209767.6651952;-25.826314394896357
1739209767.6651993;-26.035653463252796
1739209767.6652033;-28.992665084841942
1739209767.6652074;-35.57807855764607
1739209767.6652114;-25.252786309376837
1739209767.6652155;-31.141103565318943
1739209767.6652198;-27.267205301931607
1739209767.6652238;-38.13080360867914
1739209767.665228;-33.981070128970906
1739209767.665232;-30.49652367304973
1739209767.665236;-30.49652367304973
1739209767.66524;-38.13080360867914
1739209767.665244;-33.981070128970906
1739209767.6652484;-33.981070128970906
1739209767.6652524;-38.13080360867914
1739209767.6652565;-31.141103565318915
1739209767.6652606;-38.13080360867914
1739209767.6652646;-30.49652367304973
1739209767.6652687;-45.120503652039325
1739209767.665273;-38.13080360867914
1739209767.665277;-32.816014438256545
1739209767.665281;-35.57807855764607
1739209767.665285;-25.826314394896357
1739209767.6652892;-21.300333226290604
1739209767.6652932;-22.84163660590256
1739209767.6652975;-28.588378514285886
1739209767.6653016;-27.267205301931607
1739209767.6653056;-25.826314394896357
1739209767.6653097;-45.120503652039325
1739209767.6653137;-30.49652367304973
1739209767.6653178;-28.21854285175415
1739209767.665322;-45.120503652039325
1739209767.665326;-45.120503652039325
1739209767.6653302;-28.58837851428586
1739209767.6653342;-45.120503652039325
1739209767.6653383;-29.438486411369347
1739209767.6653423;-28.21854285175415
1739209767.6653466;-33.981070128970906
1739209767.6653507;-27.267205301931607
1739209767.6653547;-31.141103565318915
1739209767.6653588;-38.13080360867914
1739209767.6653628;-45.120503652039325
1739209767.665367;-45.120503652039325
1739209767.6653712;-35.57807855764607
1739209767.6653752;-33.981070128970906
1739209767.6653793;-45.120503652039325
1739209767.6653833;-31.141103565318915
1739209767.6653874;-32.816014438256545
1739209767.6653914;-35.57807855764607
1739209767.6653955;-38.13080360867914
1739209767.6653998;-45.120503652039325
1739209767.6654038;-32.816014438256545
1739209767.665408;-38.13080360867914
1739209767.665412;-38.13080360867914
1739209767.665416;-32.816014438256545
1739209767.66542;-45.120503652039325
1739209767.6654243;-38.13080360867914
1739209767.6654284;-38.13080360867914
1739209767.6654325;-45.120503652039325
1739209767.6654365;-45.120503652039325
1739209767.6654406;-38.13080360867914
1739209767.6654446;-38.13080360867914
1739209767.665449;-35.57807855764607
1739209767.665453;-45.120503652039325
1739209767.665457;-38.13080360867914
1739209767.665461;-35.57807855764607
1739209767.665465;-45.120503652039325
1739209767.6654692;-33.981070128970906
1739209767.6654735;-45.120503652039325
1739209767.6654775;-45.120503652039325
1739209767.6654816;-45.120503652039325
1739209767.6654856;-32.816014438256545
1739209767.6654897;-32.816014438256545
1739209767.6654937;-35.57807855764607
1739209767.665498;-35.57807855764607
1739209767.665502;-45.120503652039325
1739209767.6655061;-38.13080360867914
1739209767.6655102;-45.120503652039325
1739209767.6655142;-38.13080360867914
1739209767.6655183;-45.120503652039325
1739209767.6655226;-45.120503652039325
1739209767.6655266;-45.120503652039325
1739209767.6655307;-38.13080360867914
1739209767.6655347;-33.981070128970906
1739209767.6655388;-45.120503652039325
1739209767.6655428;-45.120503652039325
1739209767.665547;-45.120503652039325
1739209767.6655512;-35.57807855764607
1739209767.6655552;-35.57807855764607
1739209767.6655593;-45.120503652039325
1739209767.6655633;-38.13080360867914
1739209767.6655674;-38.13080360867914
1739209767.6655715;-38.13080360867914
1739209767.6655757;-45.120503652039325
1739209767.6655798;-35.57807855764607
1739209767.6655838;-45.120503652039325
1739209767.665588;-38.13080360867914
1739209767.665592;-38.13080360867914
1739209767.665596;-45.120503652039325
1739209767.6656003;-45.120503652039325
1739209767.6656044;-45.120503652039325
1739209767.6656084;-38.13080360867914
1739209767.6656125;-38.13080360867914
1739209767.6656165;-35.57807855764607
1739209767.6656206;-32.816014438256545
1739209767.6656249;-45.120503652039325
1739209767.665629;-38.13080360867914
1739209767.665633;-35.57807855764607
1739209767.665637;-32.816014438256545
1739209767.665641;-45.120503652039325
1739209767.6656451;-38.13080360867914
1739209767.6656494;-35.57807855764607
1739209767.6656535;-31.141103565318915
1739209767.6656575;-45.120503652039325
1739209767.6656616;-38.13080360867914
1739209767.6656656;-45.120503652039325
1739209767.6656697;-45.120503652039325
1739209767.6656737;-45.120503652039325
1739209767.665678;-45.120503652039325
1739209767.665682;-45.120503652039325
1739209767.6656861;-45.120503652039325
1739209767.6656902;-38.13080360867914
1739209767.6656942;-45.120503652039325
1739209767.6656983;-32.816014438256545
1739209767.6657026;-35.57807855764607
1739209767.6657066;-45.120503652039325
1739209767.6657107;-38.13080360867914
1739209767.6657147;-38.13080360867914
1739209767.6657188;-26.991370085610722
1739209767.6657228;-38.13080360867914
1739209767.6657271;-45.120503652039325
1739209767.6657312;-38.13080360867914
1739209767.6657352;-33.981070128970906
1739209767.6657393;-38.13080360867914
1739209767.6657434;-35.57807855764607
1739209767.6657474;-45.120503652039325
1739209767.6657517;-38.13080360867914
1739209767.6657557;-45.120503652039325
1739209767.6657598;-45.120503652039325
1739209767.6657639;-45.120503652039325
1739209767.665768;-45.120503652039325
1739209767.665772;-38.13080360867914
1739209767.6657763;-45.120503652039325
1739209767.6657803;-38.13080360867914
1739209767.6657844;-45.120503652039325
1739209767.6657884;-45.120503652039325
1739209767.6657925;-38.13080360867914
1739209767.6657965;-45.120503652039325
1739209767.6658008;-45.120503652039325
1739209767.6658049;-38.13080360867914
1739209767.665809;-33.981070128970906
1739209767.665813;-38.13080360867914
1739209767.665817;-31.141103565318915
1739209767.665821;-35.57807855764607
1739209767.6658251;-35.57807855764607
1739209767.6658294;-45.120503652039325
1739209767.6658335;-33.981070128970906
1739209767.6658375;-38.13080360867914
1739209767.6658416;-38.13080360867914
1739209767.6658456;-38.13080360867914
1739209767.6658497;-32.81601443825658
1739209767.665854;-38.13080360867914
1739209767.665858;-33.981070128970906
1739209767.665862;-38.13080360867914
1739209767.6658661;-45.120503652039325
1739209767.6658702;-45.120503652039325
1739209767.6658742;-38.13080360867914
1739209767.6658785;-45.120503652039325
1739209767.6658826;-33.981070128970906
1739209767.6658866;-38.13080360867914
1739209767.6658907;-45.120503652039325
1739209767.6658947;-45.120503652039325
1739209767.6658988;-38.13080360867914
1739209767.665903;-38.13080360867914
1739209767.6659071;-45.120503652039325
1739209767.6659112;-38.13080360867914
1739209767.6659153;-38.13080360867914
1739209767.6659193;-45.120503652039325
1739209767.6659234;-38.13080360867914
1739209767.6659276;-38.13080360867914
1739209767.6659317;-33.981070128970906
1739209767.6659358;-35.57807855764607
1739209767.6659398;-45.120503652039325
1739209767.6659439;-38.13080360867914
1739209767.665948;-38.13080360867914
1739209767.6659522;-45.120503652039325
1739209767.6659563;-45.120503652039325
1739209767.6659603;-38.13080360867914
1739209767.6659644;-45.120503652039325
1739209767.6659684;-45.120503652039325
1739209767.6659725;-45.120503652039325
1739209767.6659765;-38.13080360867914
1739209767.6659808;-33.981070128970906
1739209767.6659849;-31.141103565318915
1739209767.665989;-38.13080360867914
1739209767.665993;-35.57807855764607
1739209767.665997;-32.816014438256545
1739209767.666001;-38.13080360867914
1739209767.6660054;-45.120503652039325
1739209767.6660094;-45.120503652039325
1739209767.6660135;-45.120503652039325
1739209767.6660175;-38.13080360867914
1739209767.6660216;-38.13080360867914
1739209767.6660256;-38.13080360867914
1739209767.66603;-45.120503652039325
1739209767.666034;-45.120503652039325
1739209767.666038;-45.120503652039325
1739209767.666042;-38.13080360867914
1739209767.6660461;-38.13080360867914
1739209767.6660502;-45.120503652039325
1739209767.6660545;-45.120503652039325
1739209767.6660585;-38.13080360867914
1739209767.6660626;-38.13080360867914
1739209767.6660666;-45.120503652039325
1739209767.6660707;-38.13080360867914
1739209767.6660748;-38.13080360867914
1739209767.666079;-45.120503652039325
1739209767.666083;-45.120503652039325
1739209767.6660872;-45.120503652039325
1739209767.6660912;-45.120503652039325
1739209767.6660953;-38.13080360867914
1739209767.6660993;-38.13080360867914
1739209767.6661036;-45.120503652039325
1739209767.6661077;-35.57807855764607
1739209767.6661117;-35.57807855764607
1739209767.6661158;-45.120503652039325
1739209767.6661198;-45.120503652039325
1739209767.6661239;-45.120503652039325
1739209767.666128;-45.120503652039325
1739209767.6661322;-38.13080360867914
1739209767.6661363;-38.13080360867914
1739209767.6661403;-45.120503652039325
1739209767.6661444;-38.13080360867914
1739209767.6661484;-32.816014438256545
1739209767.6661525;-38.13080360867914
1739209767.6661568;-45.120503652039325
1739209767.6661608;-35.57807855764607
1739209767.6661649;-45.120503652039325
1739209767.666169;-38.13080360867914
1739209767.666173;-38.13080360867914
1739209767.666177;-45.120503652039325
1739209767.6661813;-38.13080360867914
1739209767.6661854;-38.13080360867914
1739209767.6661894;-38.13080360867914
