CAN Message; 0x150:020084ba8c37c70d
Timestamp;Amplitude
1739209667.0972524;-45.120503652039325
1739209667.0972552;-45.120503652039325
1739209667.0972583;-45.120503652039325
1739209667.0972612;-45.120503652039325
1739209667.097264;-33.981070128970906
1739209667.097267;-27.877744956031414
1739209667.0972698;-33.981070128970906
1739209667.0972729;-45.120503652039325
1739209667.0972757;-45.120503652039325
1739209667.0972786;-33.981070128970906
1739209667.0972815;-35.57807855764607
1739209667.0972846;-45.120503652039325
1739209667.0972874;-38.13080360867914
1739209667.0972903;-33.981070128970906
1739209667.0972931;-38.13080360867914
1739209667.097296;-45.120503652039325
1739209667.097299;-45.120503652039325
1739209667.097302;-45.120503652039325
1739209667.0973048;-45.120503652039325
1739209667.0973077;-38.13080360867914
1739209667.0973105;-33.981070128970906
1739209667.0973136;-33.981070128970906
1739209667.0973165;-35.57807855764607
1739209667.0973194;-38.13080360867914
1739209667.0973222;-35.57807855764607
1739209667.097325;-38.13080360867914
1739209667.0973282;-45.120503652039325
1739209667.097331;-38.13080360867914
1739209667.097334;-45.120503652039325
1739209667.0973368;-33.981070128970906
1739209667.0973396;-38.13080360867914
1739209667.0973427;-45.120503652039325
1739209667.0973456;-35.57807855764607
1739209667.0973485;-38.13080360867914
1739209667.0973513;-45.120503652039325
1739209667.0973544;-45.120503652039325
1739209667.0973573;-45.120503652039325
1739209667.0973601;-38.13080360867914
1739209667.097363;-45.120503652039325
1739209667.0973659;-38.13080360867914
1739209667.097369;-38.13080360867914
1739209667.0973718;-38.13080360867914
1739209667.0973747;-45.120503652039325
1739209667.0973775;-38.13080360867914
1739209667.0973804;-38.13080360867914
1739209667.0973835;-38.13080360867914
1739209667.0973864;-45.120503652039325
1739209667.0973892;-38.13080360867914
1739209667.097392;-38.13080360867914
1739209667.097395;-38.13080360867914
1739209667.097398;-45.120503652039325
1739209667.097401;-38.13080360867914
1739209667.0974038;-38.13080360867914
1739209667.0974066;-45.120503652039325
1739209667.0974095;-38.13080360867914
1739209667.0974126;-45.120503652039325
1739209667.0974154;-45.120503652039325
1739209667.0974183;-33.981070128970906
1739209667.0974212;-45.120503652039325
1739209667.0974243;-45.120503652039325
1739209667.0974271;-35.57807855764607
1739209667.09743;-45.120503652039325
1739209667.0974329;-45.120503652039325
1739209667.0974357;-38.13080360867914
1739209667.0974388;-38.13080360867914
1739209667.0974417;-45.120503652039325
1739209667.0974445;-38.13080360867914
1739209667.0974474;-35.57807855764607
1739209667.0974503;-38.13080360867914
1739209667.0974534;-38.13080360867914
1739209667.0974562;-38.13080360867914
1739209667.097459;-38.13080360867914
1739209667.097462;-35.57807855764607
1739209667.0974648;-32.816014438256545
1739209667.097468;-45.120503652039325
1739209667.0974708;-45.120503652039325
1739209667.0974736;-38.13080360867914
1739209667.0974765;-38.13080360867914
1739209667.0974796;-45.120503652039325
1739209667.0974824;-45.120503652039325
1739209667.0974853;-35.57807855764607
1739209667.0974882;-38.13080360867914
1739209667.097491;-45.120503652039325
1739209667.0974941;-38.13080360867914
1739209667.097497;-38.13080360867914
1739209667.0974998;-38.13080360867914
1739209667.0975027;-35.57807855764607
1739209667.0975056;-38.13080360867914
1739209667.0975087;-38.13080360867914
1739209667.0975115;-38.13080360867914
1739209667.0975144;-38.13080360867914
1739209667.0975173;-45.120503652039325
1739209667.09752;-38.13080360867914
1739209667.0975232;-45.120503652039325
1739209667.097526;-45.120503652039325
1739209667.097529;-45.120503652039325
1739209667.0975318;-45.120503652039325
1739209667.0975347;-45.120503652039325
1739209667.0975378;-45.120503652039325
1739209667.0975406;-33.981070128970906
1739209667.0975435;-38.13080360867914
1739209667.0975463;-33.981070128970906
1739209667.0975494;-30.49652367304973
1739209667.0975523;-38.13080360867914
1739209667.0975552;-45.120503652039325
1739209667.097558;-38.13080360867914
1739209667.097561;-35.57807855764607
1739209667.097564;-38.13080360867914
1739209667.0975668;-38.13080360867914
1739209667.0975697;-35.57807855764607
1739209667.0975726;-45.120503652039325
1739209667.0975754;-38.13080360867914
1739209667.0975785;-38.13080360867914
1739209667.0975814;-38.13080360867914
1739209667.0975842;-45.120503652039325
1739209667.097587;-33.981070128970906
1739209667.09759;-45.120503652039325
1739209667.097593;-45.120503652039325
1739209667.097596;-35.57807855764607
1739209667.0975988;-38.13080360867914
1739209667.0976017;-45.120503652039325
1739209667.0976045;-45.120503652039325
1739209667.0976076;-35.57807855764607
1739209667.0976105;-38.13080360867914
1739209667.0976133;-45.120503652039325
1739209667.0976162;-38.13080360867914
1739209667.0976193;-45.120503652039325
1739209667.0976222;-38.13080360867914
1739209667.097625;-45.120503652039325
1739209667.0976279;-38.13080360867914
1739209667.0976307;-45.120503652039325
1739209667.0976338;-38.13080360867914
1739209667.0976367;-38.13080360867914
1739209667.0976396;-38.13080360867914
1739209667.0976424;-32.816014438256545
1739209667.0976453;-38.13080360867914
1739209667.0976484;-45.120503652039325
1739209667.0976512;-45.120503652039325
1739209667.097654;-38.13080360867914
1739209667.097657;-33.981070128970906
1739209667.0976598;-45.120503652039325
1739209667.097663;-45.120503652039325
1739209667.0976658;-38.13080360867914
1739209667.0976686;-45.120503652039325
1739209667.0976715;-45.120503652039325
1739209667.0976746;-38.13080360867914
1739209667.0976775;-38.13080360867914
1739209667.0976803;-38.13080360867914
1739209667.0976832;-38.13080360867914
1739209667.097686;-38.13080360867914
1739209667.0976892;-38.13080360867914
1739209667.097692;-38.13080360867914
1739209667.0976949;-38.13080360867914
1739209667.0976977;-45.120503652039325
1739209667.0977006;-45.120503652039325
1739209667.0977037;-35.57807855764607
1739209667.0977066;-38.13080360867914
1739209667.0977094;-45.120503652039325
1739209667.0977123;-45.120503652039325
1739209667.0977151;-45.120503652039325
1739209667.0977182;-35.57807855764607
1739209667.097721;-38.13080360867914
1739209667.097724;-45.120503652039325
1739209667.0977268;-45.120503652039325
1739209667.0977297;-38.13080360867914
1739209667.0977328;-45.120503652039325
1739209667.0977356;-33.981070128970906
1739209667.0977385;-31.141103565318915
1739209667.0977414;-45.120503652039325
1739209667.0977445;-45.120503652039325
1739209667.0977473;-33.981070128970906
1739209667.0977502;-38.13080360867914
1739209667.097753;-38.13080360867914
1739209667.097756;-45.120503652039325
1739209667.097759;-45.120503652039325
1739209667.0977619;-45.120503652039325
1739209667.0977647;-45.120503652039325
1739209667.0977676;-45.120503652039325
1739209667.0977705;-45.120503652039325
1739209667.0977736;-45.120503652039325
1739209667.0977764;-38.13080360867914
1739209667.0977793;-45.120503652039325
1739209667.0977821;-45.120503652039325
1739209667.097785;-38.13080360867914
1739209667.097788;-38.13080360867914
1739209667.097791;-45.120503652039325
1739209667.0977938;-45.120503652039325
1739209667.0977967;-35.57807855764607
1739209667.0977995;-38.13080360867914
1739209667.0978026;-45.120503652039325
1739209667.0978055;-45.120503652039325
1739209667.0978084;-38.13080360867914
