CAN Message; 0x39:0599189cc860072c
Timestamp;Amplitude
1739209837.481904;-45.120503652039325
1739209837.4819136;-32.816014438256545
1739209837.4819229;-38.13080360867914
1739209837.4819322;-45.120503652039325
1739209837.4819415;-38.13080360867914
1739209837.481951;-45.120503652039325
1739209837.4819603;-45.120503652039325
1739209837.4819696;-45.120503652039325
1739209837.481979;-45.120503652039325
1739209837.4819884;-45.120503652039325
1739209837.4819977;-45.120503652039325
1739209837.482007;-38.13080360867914
1739209837.4820163;-45.120503652039325
1739209837.4820259;-32.816014438256545
1739209837.4820352;-33.981070128970906
1739209837.4820445;-45.120503652039325
1739209837.4820538;-45.120503652039325
1739209837.4820633;-35.57807855764607
1739209837.4820726;-38.13080360867914
1739209837.482082;-45.120503652039325
1739209837.4820912;-45.120503652039325
1739209837.4821007;-38.13080360867914
1739209837.48211;-35.57807855764607
1739209837.4821193;-45.120503652039325
1739209837.4821286;-45.120503652039325
1739209837.4821382;-38.13080360867914
1739209837.4821475;-33.981070128970906
1739209837.4821568;-45.120503652039325
1739209837.4821663;-38.13080360867914
1739209837.4821756;-38.13080360867914
1739209837.482185;-45.120503652039325
1739209837.4821942;-45.120503652039325
1739209837.4822037;-45.120503652039325
1739209837.482213;-45.120503652039325
1739209837.4822223;-38.13080360867914
1739209837.4822316;-38.13080360867914
1739209837.4822412;-45.120503652039325
1739209837.4822505;-33.981070128970906
1739209837.4822598;-33.981070128970906
1739209837.482269;-38.13080360867914
1739209837.4822786;-38.13080360867914
1739209837.482288;-45.120503652039325
1739209837.4822972;-38.13080360867914
1739209837.4823065;-31.141103565318893
1739209837.482316;-38.13080360867914
1739209837.4823253;-45.120503652039325
1739209837.4823346;-33.981070128970906
1739209837.482344;-30.49652367304973
1739209837.4823534;-38.13080360867914
1739209837.4823627;-38.13080360867914
1739209837.482372;-33.981070128970906
1739209837.4823813;-45.120503652039325
1739209837.4823909;-38.13080360867914
1739209837.4824002;-45.120503652039325
1739209837.4824095;-45.120503652039325
1739209837.4824188;-38.13080360867914
1739209837.4824283;-38.13080360867914
1739209837.4824376;-38.13080360867914
1739209837.482447;-35.57807855764607
1739209837.4824564;-38.13080360867914
1739209837.4824657;-38.13080360867914
1739209837.482475;-38.13080360867914
1739209837.4824843;-38.13080360867914
1739209837.4824939;-45.120503652039325
1739209837.4825032;-38.13080360867914
1739209837.4825125;-38.13080360867914
1739209837.4825218;-38.13080360867914
1739209837.4825313;-45.120503652039325
1739209837.4825406;-45.120503652039325
1739209837.48255;-45.120503652039325
1739209837.4825592;-45.120503652039325
1739209837.4825687;-45.120503652039325
1739209837.482578;-45.120503652039325
1739209837.4825873;-38.13080360867914
1739209837.4825966;-38.13080360867914
1739209837.4826062;-35.57807855764607
1739209837.4826155;-38.13080360867914
1739209837.4826248;-38.13080360867914
1739209837.482634;-33.981070128970906
1739209837.4826436;-45.120503652039325
1739209837.482653;-38.13080360867914
1739209837.4826622;-38.13080360867914
1739209837.4826715;-45.120503652039325
1739209837.482681;-45.120503652039325
1739209837.4826903;-38.13080360867914
1739209837.4826996;-45.120503652039325
1739209837.4827092;-38.13080360867914
1739209837.4827185;-38.13080360867914
1739209837.4827278;-45.120503652039325
1739209837.482737;-38.13080360867914
1739209837.4827466;-33.981070128970906
1739209837.482756;-38.13080360867914
1739209837.4827652;-33.981070128970906
1739209837.4827745;-38.13080360867914
1739209837.482784;-38.13080360867914
1739209837.4827933;-38.13080360867914
1739209837.4828026;-45.120503652039325
1739209837.482812;-45.120503652039325
1739209837.4828215;-45.120503652039325
1739209837.4828308;-45.120503652039325
1739209837.48284;-38.13080360867914
1739209837.4828494;-45.120503652039325
1739209837.482859;-45.120503652039325
1739209837.4828682;-35.57807855764607
1739209837.4828775;-38.13080360867914
1739209837.4828868;-45.120503652039325
1739209837.4828963;-33.981070128970906
1739209837.4829056;-38.13080360867914
1739209837.482915;-38.13080360867914
1739209837.4829242;-45.120503652039325
1739209837.4829338;-31.141103565318915
1739209837.482943;-32.816014438256545
1739209837.4829524;-38.13080360867914
1739209837.482962;-45.120503652039325
1739209837.4829712;-38.13080360867914
1739209837.4829805;-38.13080360867914
1739209837.4829898;-38.13080360867914
1739209837.4829993;-45.120503652039325
1739209837.4830086;-35.57807855764607
1739209837.483018;-38.13080360867914
1739209837.4830272;-38.13080360867914
1739209837.4830368;-45.120503652039325
1739209837.483046;-38.13080360867914
1739209837.4830554;-45.120503652039325
1739209837.4830647;-45.120503652039325
1739209837.4830742;-45.120503652039325
