CAN Message; 0x1bb:0000310e4d510c40
Timestamp;Amplitude
1739209598.3293812;-31.141103565318943
1739209598.3293831;-45.120503652039325
1739209598.329385;-45.120503652039325
1739209598.329387;-45.120503652039325
1739209598.3293889;-38.13080360867914
1739209598.3293908;-38.13080360867914
1739209598.3293927;-38.13080360867914
1739209598.3293946;-38.13080360867914
1739209598.3293965;-29.438486411369333
1739209598.3293984;-38.13080360867914
1739209598.3294003;-45.120503652039325
1739209598.3294022;-45.120503652039325
1739209598.329404;-33.981070128970906
1739209598.329406;-45.120503652039325
1739209598.329408;-45.120503652039325
1739209598.3294098;-38.13080360867914
1739209598.3294117;-45.120503652039325
1739209598.3294137;-45.120503652039325
1739209598.3294156;-45.120503652039325
1739209598.3294175;-45.120503652039325
1739209598.3294194;-45.120503652039325
1739209598.3294213;-38.13080360867914
1739209598.3294232;-35.57807855764607
1739209598.329425;-38.13080360867914
1739209598.329427;-35.57807855764607
1739209598.329429;-38.13080360867914
1739209598.3294308;-35.57807855764607
1739209598.3294327;-35.57807855764607
1739209598.3294346;-45.120503652039325
1739209598.3294365;-45.120503652039325
1739209598.3294384;-38.13080360867914
1739209598.3294404;-38.13080360867914
1739209598.3294423;-45.120503652039325
1739209598.3294442;-45.120503652039325
1739209598.329446;-45.120503652039325
1739209598.329448;-45.120503652039325
1739209598.32945;-45.120503652039325
1739209598.3294518;-33.981070128970906
1739209598.3294537;-38.13080360867914
1739209598.3294556;-45.120503652039325
1739209598.3294575;-29.438486411369333
1739209598.3294594;-32.816014438256545
1739209598.3294613;-38.13080360867914
1739209598.3294632;-45.120503652039325
1739209598.3294652;-38.13080360867914
1739209598.329467;-45.120503652039325
1739209598.329469;-45.120503652039325
1739209598.3294709;-33.981070128970906
1739209598.3294728;-45.120503652039325
1739209598.3294747;-45.120503652039325
1739209598.3294766;-45.120503652039325
1739209598.3294785;-45.120503652039325
1739209598.3294804;-45.120503652039325
1739209598.3294823;-45.120503652039325
1739209598.3294842;-38.13080360867914
1739209598.3294861;-45.120503652039325
1739209598.329488;-32.816014438256545
1739209598.32949;-38.13080360867914
1739209598.3294919;-45.120503652039325
1739209598.3294938;-38.13080360867914
1739209598.3294957;-38.13080360867914
1739209598.3294976;-45.120503652039325
1739209598.3294995;-45.120503652039325
1739209598.3295014;-38.13080360867914
1739209598.3295033;-38.13080360867914
1739209598.3295052;-45.120503652039325
1739209598.329507;-45.120503652039325
1739209598.329509;-38.13080360867914
1739209598.329511;-45.120503652039325
1739209598.3295128;-38.13080360867914
1739209598.3295147;-38.13080360867914
1739209598.3295166;-35.57807855764607
1739209598.3295186;-45.120503652039325
