CAN Message; 0x1b8:0200acb7d4e6fc50
Timestamp;Amplitude
1739209587.5330017;-45.120503652039325
1739209587.5330076;-38.13080360867914
1739209587.5330138;-45.120503652039325
1739209587.5330198;-35.57807855764607
1739209587.5330257;-45.120503652039325
1739209587.5330317;-31.141103565318943
1739209587.5330377;-45.120503652039325
1739209587.5330439;-45.120503652039325
1739209587.5330498;-45.120503652039325
1739209587.5330558;-45.120503652039325
1739209587.5330617;-33.981070128970906
1739209587.5330677;-38.13080360867914
1739209587.5330737;-38.13080360867914
1739209587.5330799;-38.13080360867914
1739209587.5330858;-38.13080360867914
1739209587.5330918;-38.13080360867914
1739209587.5330977;-35.57807855764607
1739209587.5331037;-45.120503652039325
1739209587.53311;-45.120503652039325
1739209587.5331159;-38.13080360867914
1739209587.5331218;-45.120503652039325
1739209587.5331278;-32.816014438256545
1739209587.5331337;-35.57807855764607
1739209587.5331397;-38.13080360867914
1739209587.533146;-38.13080360867914
1739209587.5331519;-33.981070128970906
1739209587.5331578;-45.120503652039325
1739209587.5331638;-45.120503652039325
1739209587.5331697;-45.120503652039325
1739209587.533176;-45.120503652039325
1739209587.533182;-45.120503652039325
1739209587.5331879;-35.57807855764607
1739209587.5331938;-38.13080360867914
1739209587.5331998;-45.120503652039325
1739209587.533206;-35.57807855764607
1739209587.533212;-38.13080360867914
1739209587.533218;-45.120503652039325
1739209587.5332239;-32.816014438256545
1739209587.5332298;-38.13080360867914
1739209587.533236;-45.120503652039325
1739209587.533242;-45.120503652039325
1739209587.533248;-35.57807855764607
1739209587.533254;-38.13080360867914
1739209587.5332599;-45.120503652039325
1739209587.5332658;-38.13080360867914
1739209587.533272;-38.13080360867914
1739209587.533278;-38.13080360867914
1739209587.533284;-45.120503652039325
1739209587.53329;-45.120503652039325
1739209587.5332959;-45.120503652039325
1739209587.533302;-33.981070128970906
1739209587.533308;-33.981070128970906
1739209587.533314;-45.120503652039325
1739209587.53332;-32.816014438256545
1739209587.533326;-32.816014438256545
1739209587.5333319;-38.13080360867914
1739209587.533338;-35.57807855764607
1739209587.533344;-35.57807855764607
1739209587.53335;-33.981070128970906
1739209587.533356;-45.120503652039325
1739209587.533362;-45.120503652039325
1739209587.533368;-45.120503652039325
1739209587.533374;-45.120503652039325
1739209587.53338;-45.120503652039325
1739209587.533386;-38.13080360867914
1739209587.533392;-38.13080360867914
1739209587.5333982;-38.13080360867914
1739209587.533404;-38.13080360867914
1739209587.53341;-45.120503652039325
1739209587.533416;-35.57807855764607
1739209587.533422;-32.816014438256545
1739209587.5334282;-45.120503652039325
1739209587.5334342;-45.120503652039325
1739209587.53344;-45.120503652039325
1739209587.533446;-38.13080360867914
1739209587.533452;-45.120503652039325
1739209587.533458;-45.120503652039325
1739209587.5334642;-38.13080360867914
1739209587.5334702;-45.120503652039325
1739209587.533476;-45.120503652039325
1739209587.533482;-45.120503652039325
1739209587.533488;-45.120503652039325
1739209587.5334942;-38.13080360867914
1739209587.5335002;-45.120503652039325
1739209587.5335062;-45.120503652039325
1739209587.533512;-45.120503652039325
1739209587.533518;-38.13080360867914
1739209587.533524;-38.13080360867914
1739209587.5335302;-35.57807855764607
1739209587.5335362;-38.13080360867914
1739209587.5335422;-45.120503652039325
1739209587.533548;-38.13080360867914
1739209587.533554;-38.13080360867914
1739209587.5335603;-38.13080360867914
1739209587.5335662;-38.13080360867914
1739209587.5335722;-45.120503652039325
1739209587.5335782;-45.120503652039325
1739209587.533584;-45.120503652039325
1739209587.5335903;-45.120503652039325
1739209587.5335963;-45.120503652039325
1739209587.5336022;-45.120503652039325
1739209587.5336082;-35.57807855764607
1739209587.5336142;-33.981070128970906
1739209587.5336204;-38.13080360867914
1739209587.5336263;-38.13080360867914
1739209587.5336323;-38.13080360867914
1739209587.5336382;-45.120503652039325
1739209587.5336442;-45.120503652039325
1739209587.5336502;-38.13080360867914
1739209587.5336564;-45.120503652039325
1739209587.5336623;-45.120503652039325
1739209587.5336683;-38.13080360867914
1739209587.5336742;-45.120503652039325
1739209587.5336802;-38.13080360867914
1739209587.5336864;-38.13080360867914
1739209587.5336924;-45.120503652039325
1739209587.5336983;-38.13080360867914
1739209587.5337043;-45.120503652039325
1739209587.5337102;-38.13080360867914
1739209587.5337162;-45.120503652039325
1739209587.5337224;-45.120503652039325
1739209587.5337284;-45.120503652039325
1739209587.5337343;-38.13080360867914
1739209587.5337403;-45.120503652039325
1739209587.5337462;-38.13080360867914
1739209587.5337524;-45.120503652039325
1739209587.5337584;-38.13080360867914
1739209587.5337644;-38.13080360867914
1739209587.5337703;-38.13080360867914
1739209587.5337763;-45.120503652039325
1739209587.5337825;-38.13080360867914
1739209587.5337884;-33.981070128970906
1739209587.5337944;-45.120503652039325
1739209587.5338004;-45.120503652039325
1739209587.5338063;-45.120503652039325
1739209587.5338125;-45.120503652039325
1739209587.5338185;-45.120503652039325
1739209587.5338244;-45.120503652039325
1739209587.5338304;-38.13080360867914
1739209587.5338364;-38.13080360867914
1739209587.5338423;-45.120503652039325
1739209587.5338485;-45.120503652039325
1739209587.5338545;-45.120503652039325
1739209587.5338604;-45.120503652039325
1739209587.5338664;-45.120503652039325
1739209587.5338724;-38.13080360867914
1739209587.5338786;-38.13080360867914
1739209587.5338845;-38.13080360867914
1739209587.5338905;-38.13080360867914
1739209587.5338964;-45.120503652039325
1739209587.5339024;-35.57807855764607
1739209587.5339084;-33.981070128970906
1739209587.5339146;-45.120503652039325
1739209587.5339205;-33.981070128970906
1739209587.5339265;-33.981070128970906
1739209587.5339324;-38.13080360867914
1739209587.5339384;-45.120503652039325
1739209587.5339446;-45.120503652039325
1739209587.5339506;-45.120503652039325
1739209587.5339565;-33.981070128970956
1739209587.5339625;-45.120503652039325
1739209587.5339684;-45.120503652039325
1739209587.5339746;-45.120503652039325
1739209587.5339806;-45.120503652039325
1739209587.5339866;-45.120503652039325
1739209587.5339925;-45.120503652039325
1739209587.5339985;-38.13080360867914
1739209587.5340047;-26.991370085610722
1739209587.5340106;-38.13080360867914
1739209587.5340166;-45.120503652039325
1739209587.5340226;-33.981070128970906
1739209587.5340285;-38.13080360867914
1739209587.5340345;-45.120503652039325
1739209587.5340407;-33.981070128970906
