CAN Message; 0x1d3:00002228a39dd256
Timestamp;Amplitude
1739209632.7236893;-45.120503652039325
1739209632.723697;-35.57807855764607
1739209632.7237048;-35.57807855764607
1739209632.7237124;-38.13080360867914
1739209632.7237203;-38.13080360867914
1739209632.723728;-45.120503652039325
1739209632.7237358;-38.13080360867914
1739209632.7237434;-45.120503652039325
1739209632.7237513;-35.57807855764607
1739209632.7237592;-45.120503652039325
1739209632.7237668;-45.120503652039325
1739209632.7237747;-45.120503652039325
1739209632.7237823;-38.13080360867914
1739209632.7237902;-45.120503652039325
1739209632.7237978;-38.13080360867914
1739209632.7238057;-33.981070128970906
1739209632.7238135;-38.13080360867914
1739209632.7238212;-35.57807855764607
1739209632.723829;-38.13080360867914
1739209632.7238367;-33.981070128970906
1739209632.7238445;-38.13080360867914
1739209632.7238522;-45.120503652039325
1739209632.72386;-45.120503652039325
1739209632.7238677;-38.13080360867914
1739209632.7238755;-38.13080360867914
1739209632.7238834;-45.120503652039325
1739209632.723891;-45.120503652039325
1739209632.723899;-35.57807855764607
1739209632.7239065;-35.57807855764607
1739209632.7239144;-45.120503652039325
1739209632.723922;-38.13080360867914
1739209632.72393;-38.13080360867914
1739209632.7239377;-38.13080360867914
1739209632.7239454;-45.120503652039325
1739209632.7239532;-38.13080360867914
1739209632.7239609;-33.981070128970906
1739209632.7239687;-33.981070128970906
1739209632.7239764;-38.13080360867914
1739209632.7239842;-38.13080360867914
1739209632.7239919;-32.816014438256545
1739209632.7239997;-33.981070128970906
1739209632.7240076;-45.120503652039325
1739209632.7240152;-38.13080360867914
1739209632.724023;-38.13080360867914
1739209632.7240307;-45.120503652039325
1739209632.7240386;-38.13080360867914
1739209632.7240462;-45.120503652039325
1739209632.724054;-35.57807855764607
1739209632.724062;-31.141103565318915
1739209632.7240696;-45.120503652039325
1739209632.7240775;-45.120503652039325
1739209632.724085;-45.120503652039325
1739209632.724093;-38.13080360867914
1739209632.7241006;-45.120503652039325
1739209632.7241085;-38.13080360867914
1739209632.724116;-26.991370085610722
1739209632.724124;-38.13080360867914
1739209632.7241318;-38.13080360867914
1739209632.7241395;-38.13080360867914
1739209632.7241473;-31.141103565318915
1739209632.724155;-38.13080360867914
1739209632.7241628;-45.120503652039325
1739209632.7241704;-45.120503652039325
1739209632.7241783;-45.120503652039325
1739209632.724186;-45.120503652039325
1739209632.7241938;-38.13080360867914
1739209632.7242017;-38.13080360867914
1739209632.7242093;-35.57807855764607
1739209632.7242172;-32.816014438256545
1739209632.7242248;-45.120503652039325
1739209632.7242327;-38.13080360867914
1739209632.7242403;-45.120503652039325
1739209632.7242482;-45.120503652039325
1739209632.724256;-38.13080360867914
1739209632.7242637;-45.120503652039325
1739209632.7242715;-33.981070128970956
1739209632.7242792;-33.981070128970906
1739209632.724287;-45.120503652039325
1739209632.7242947;-45.120503652039325
1739209632.7243025;-26.487275050834715
1739209632.7243102;-38.13080360867914
1739209632.724318;-45.120503652039325
1739209632.724326;-38.13080360867914
1739209632.7243335;-38.13080360867914
1739209632.7243414;-45.120503652039325
1739209632.724349;-45.120503652039325
1739209632.724357;-45.120503652039325
1739209632.7243645;-45.120503652039325
1739209632.7243724;-45.120503652039325
1739209632.7243803;-38.13080360867914
1739209632.724388;-45.120503652039325
1739209632.7243958;-38.13080360867914
1739209632.7244034;-38.13080360867914
1739209632.7244112;-45.120503652039325
1739209632.7244189;-45.120503652039325
1739209632.7244267;-35.57807855764607
1739209632.7244344;-35.57807855764607
1739209632.7244422;-45.120503652039325
1739209632.72445;-38.13080360867914
1739209632.7244577;-45.120503652039325
1739209632.7244656;-45.120503652039325
1739209632.7244732;-33.981070128970906
1739209632.724481;-45.120503652039325
1739209632.7244887;-45.120503652039325
1739209632.7244966;-45.120503652039325
1739209632.7245045;-45.120503652039325
1739209632.724512;-38.13080360867914
1739209632.72452;-35.57807855764607
1739209632.7245276;-38.13080360867914
1739209632.7245355;-38.13080360867914
1739209632.724543;-38.13080360867914
1739209632.724551;-45.120503652039325
1739209632.7245586;-45.120503652039325
1739209632.7245665;-45.120503652039325
1739209632.7245743;-45.120503652039325
1739209632.724582;-45.120503652039325
1739209632.7245898;-38.13080360867914
1739209632.7245975;-35.57807855764607
1739209632.7246053;-38.13080360867914
1739209632.724613;-32.816014438256545
1739209632.7246208;-38.13080360867914
1739209632.7246287;-38.13080360867914
1739209632.7246363;-38.13080360867914
1739209632.7246442;-45.120503652039325
1739209632.7246518;-45.120503652039325
1739209632.7246597;-32.816014438256545
1739209632.7246673;-35.57807855764607
1739209632.7246752;-45.120503652039325
1739209632.7246828;-45.120503652039325
1739209632.7246907;-45.120503652039325
1739209632.7246985;-38.13080360867914
1739209632.7247062;-38.13080360867914
1739209632.724714;-45.120503652039325
1739209632.7247217;-38.13080360867914
1739209632.7247295;-38.13080360867914
1739209632.7247372;-45.120503652039325
1739209632.724745;-45.120503652039325
1739209632.7247527;-45.120503652039325
1739209632.7247605;-38.13080360867914
1739209632.7247684;-45.120503652039325
1739209632.724776;-45.120503652039325
1739209632.724784;-35.57807855764607
1739209632.7247915;-38.13080360867914
1739209632.7247994;-45.120503652039325
1739209632.724807;-45.120503652039325
1739209632.724815;-38.13080360867914
1739209632.7248228;-38.13080360867914
1739209632.7248304;-38.13080360867914
1739209632.7248383;-35.57807855764607
1739209632.724846;-45.120503652039325
1739209632.7248538;-45.120503652039325
1739209632.7248614;-45.120503652039325
1739209632.7248693;-38.13080360867914
1739209632.7248769;-35.57807855764607
1739209632.7248847;-35.57807855764607
1739209632.7248926;-45.120503652039325
1739209632.7249002;-45.120503652039325
1739209632.724908;-35.57807855764607
1739209632.7249157;-38.13080360867914
1739209632.7249236;-38.13080360867914
1739209632.7249312;-33.981070128970906
1739209632.724939;-33.981070128970906
1739209632.724947;-45.120503652039325
1739209632.7249546;-45.120503652039325
1739209632.7249625;-38.13080360867914
1739209632.72497;-38.13080360867914
1739209632.724978;-38.13080360867914
1739209632.7249856;-38.13080360867914
1739209632.7249935;-38.13080360867914
1739209632.725001;-38.13080360867914
1739209632.725009;-38.13080360867914
1739209632.7250168;-33.981070128970906
1739209632.7250245;-35.57807855764607
1739209632.7250323;-38.13080360867914
1739209632.72504;-45.120503652039325
1739209632.7250478;-38.13080360867914
1739209632.7250555;-38.13080360867914
1739209632.7250633;-38.13080360867914
1739209632.7250712;-35.57807855764607
1739209632.7250788;-38.13080360867914
1739209632.7250867;-45.120503652039325
1739209632.7250943;-45.120503652039325
1739209632.7251022;-45.120503652039325
1739209632.7251098;-45.120503652039325
1739209632.7251177;-38.13080360867914
1739209632.7251253;-38.13080360867914
1739209632.7251332;-45.120503652039325
1739209632.725141;-35.57807855764607
1739209632.7251487;-32.816014438256545
1739209632.7251565;-45.120503652039325
1739209632.7251642;-45.120503652039325
1739209632.725172;-38.13080360867914
1739209632.7251797;-31.141103565318915
1739209632.7251875;-33.981070128970906
1739209632.7251952;-38.13080360867914
1739209632.725203;-45.120503652039325
1739209632.725211;-45.120503652039325
1739209632.7252185;-38.13080360867914
1739209632.7252264;-38.13080360867914
1739209632.725234;-33.981070128970906
1739209632.725242;-31.141103565318915
1739209632.7252495;-31.141103565318915
1739209632.7252574;-45.120503652039325
1739209632.7252653;-45.120503652039325
1739209632.725273;-38.13080360867914
1739209632.7252808;-45.120503652039325
1739209632.7252884;-45.120503652039325
1739209632.7252963;-33.981070128970906
1739209632.725304;-33.981070128970906
1739209632.7253118;-32.816014438256545
1739209632.7253194;-38.13080360867914
1739209632.7253273;-45.120503652039325
1739209632.7253351;-38.13080360867914
1739209632.7253428;-38.13080360867914
1739209632.7253506;-38.13080360867914
1739209632.7253582;-35.57807855764607
1739209632.725366;-31.141103565318915
1739209632.7253737;-28.992665084841942
1739209632.7253816;-45.120503652039325
1739209632.7253895;-38.13080360867914
1739209632.725397;-38.13080360867914
1739209632.725405;-38.13080360867914
1739209632.7254126;-45.120503652039325
1739209632.7254205;-45.120503652039325
1739209632.725428;-33.981070128970906
1739209632.725436;-38.13080360867914
1739209632.7254436;-38.13080360867914
1739209632.7254515;-38.13080360867914
1739209632.7254593;-38.13080360867914
1739209632.725467;-38.13080360867914
1739209632.7254748;-45.120503652039325
1739209632.7254825;-45.120503652039325
1739209632.7254903;-45.120503652039325
1739209632.725498;-35.57807855764607
1739209632.7255058;-38.13080360867914
1739209632.7255137;-38.13080360867914
1739209632.7255213;-32.816014438256545
1739209632.7255292;-45.120503652039325
1739209632.7255368;-38.13080360867914
1739209632.7255447;-38.13080360867914
1739209632.7255523;-38.13080360867914
1739209632.7255602;-38.13080360867914
1739209632.7255678;-45.120503652039325
1739209632.7255757;-45.120503652039325
1739209632.7255836;-45.120503652039325
1739209632.7255912;-35.57807855764607
1739209632.725599;-38.13080360867914
1739209632.7256067;-38.13080360867914
1739209632.7256145;-45.120503652039325
1739209632.7256222;-45.120503652039325
1739209632.72563;-45.120503652039325
1739209632.725638;-45.120503652039325
1739209632.7256455;-45.120503652039325
1739209632.7256534;-45.120503652039325
1739209632.725661;-45.120503652039325
1739209632.725669;-38.13080360867914
1739209632.7256765;-35.57807855764607
1739209632.7256844;-25.826314394896357
1739209632.725692;-38.13080360867914
1739209632.7257;-45.120503652039325
1739209632.7257078;-38.13080360867914
1739209632.7257154;-38.13080360867914
1739209632.7257233;-45.120503652039325
1739209632.725731;-45.120503652039325
1739209632.7257388;-45.120503652039325
1739209632.7257464;-33.981070128970956
1739209632.7257543;-38.13080360867914
1739209632.725762;-45.120503652039325
1739209632.7257698;-45.120503652039325
1739209632.7257776;-38.13080360867914
1739209632.7257853;-38.13080360867914
1739209632.7257931;-38.13080360867914
1739209632.7258008;-38.13080360867914
1739209632.7258086;-38.13080360867914
1739209632.7258162;-45.120503652039325
1739209632.725824;-45.120503652039325
1739209632.725832;-45.120503652039325
1739209632.7258396;-45.120503652039325
1739209632.7258475;-45.120503652039325
1739209632.725855;-38.13080360867914
1739209632.725863;-45.120503652039325
1739209632.7258706;-35.57807855764607
1739209632.7258785;-35.57807855764607
1739209632.725886;-45.120503652039325
1739209632.725894;-38.13080360867914
1739209632.7259018;-31.141103565318893
1739209632.7259095;-45.120503652039325
1739209632.7259173;-38.13080360867914
1739209632.725925;-38.13080360867914
1739209632.7259328;-45.120503652039325
1739209632.7259405;-45.120503652039325
1739209632.7259483;-38.13080360867914
1739209632.7259562;-45.120503652039325
1739209632.7259638;-45.120503652039325
1739209632.7259717;-38.13080360867914
1739209632.7259793;-35.57807855764607
1739209632.7259872;-38.13080360867914
1739209632.7259948;-35.57807855764607
1739209632.7260027;-38.13080360867914
