CAN Message; 0x1b8:030079facf26ade0
Timestamp;Amplitude
1739209848.512062;-45.120503652039325
1739209848.512065;-38.13080360867914
1739209848.5120676;-45.120503652039325
1739209848.5120704;-45.120503652039325
1739209848.5120733;-32.816014438256545
1739209848.5120761;-45.120503652039325
1739209848.512079;-45.120503652039325
1739209848.5120819;-38.13080360867914
1739209848.5120845;-35.57807855764607
1739209848.5120873;-45.120503652039325
1739209848.5120902;-45.120503652039325
1739209848.512093;-45.120503652039325
1739209848.512096;-45.120503652039325
1739209848.5120986;-38.13080360867914
1739209848.5121014;-38.13080360867914
1739209848.5121043;-38.13080360867914
1739209848.5121071;-45.120503652039325
1739209848.51211;-38.13080360867914
1739209848.5121129;-45.120503652039325
1739209848.5121155;-45.120503652039325
1739209848.5121183;-31.141103565318893
1739209848.5121212;-38.13080360867914
1739209848.512124;-35.57807855764607
1739209848.512127;-38.13080360867914
1739209848.5121298;-38.13080360867914
1739209848.5121324;-38.13080360867914
1739209848.5121353;-38.13080360867914
1739209848.5121381;-45.120503652039325
1739209848.512141;-45.120503652039325
1739209848.5121439;-45.120503652039325
1739209848.5121465;-45.120503652039325
1739209848.5121493;-45.120503652039325
1739209848.5121522;-38.13080360867914
1739209848.512155;-38.13080360867914
1739209848.512158;-35.57807855764607
1739209848.5121608;-33.981070128970906
1739209848.5121634;-45.120503652039325
1739209848.5121663;-45.120503652039325
1739209848.5121691;-45.120503652039325
1739209848.512172;-38.13080360867914
1739209848.5121748;-45.120503652039325
1739209848.5121775;-38.13080360867914
1739209848.5121803;-32.816014438256545
1739209848.5121832;-45.120503652039325
1739209848.512186;-33.981070128970906
1739209848.512189;-32.816014438256545
1739209848.5121918;-38.13080360867914
1739209848.5121944;-45.120503652039325
1739209848.5121973;-38.13080360867914
1739209848.5122;-38.13080360867914
1739209848.512203;-45.120503652039325
1739209848.5122058;-35.57807855764607
1739209848.5122085;-38.13080360867914
1739209848.5122113;-38.13080360867914
1739209848.5122142;-35.57807855764607
1739209848.512217;-38.13080360867914
1739209848.51222;-45.120503652039325
1739209848.5122228;-45.120503652039325
1739209848.5122254;-35.57807855764607
1739209848.5122283;-45.120503652039325
1739209848.512231;-31.141103565318915
1739209848.512234;-30.49652367304973
1739209848.5122368;-35.57807855764607
1739209848.5122395;-38.13080360867914
1739209848.5122423;-33.981070128970906
1739209848.5122452;-32.816014438256545
1739209848.512248;-38.13080360867914
1739209848.512251;-38.13080360867914
1739209848.5122538;-45.120503652039325
1739209848.5122564;-32.81601443825658
1739209848.5122592;-38.13080360867914
1739209848.512262;-45.120503652039325
1739209848.512265;-45.120503652039325
1739209848.5122678;-45.120503652039325
1739209848.5122707;-45.120503652039325
1739209848.5122733;-45.120503652039325
1739209848.5122762;-32.816014438256545
1739209848.512279;-28.992665084841942
1739209848.512282;-45.120503652039325
1739209848.5122848;-45.120503652039325
1739209848.5122874;-38.13080360867914
1739209848.5122902;-35.57807855764607
1739209848.512293;-38.13080360867914
1739209848.512296;-45.120503652039325
1739209848.5122988;-38.13080360867914
1739209848.5123017;-38.13080360867914
1739209848.5123043;-45.120503652039325
1739209848.5123072;-45.120503652039325
1739209848.51231;-35.57807855764607
1739209848.512313;-33.981070128970906
1739209848.5123158;-45.120503652039325
1739209848.5123184;-45.120503652039325
1739209848.5123212;-35.57807855764607
1739209848.512324;-38.13080360867914
1739209848.512327;-45.120503652039325
1739209848.5123298;-45.120503652039325
1739209848.5123327;-35.57807855764607
1739209848.5123353;-45.120503652039325
1739209848.5123382;-45.120503652039325
1739209848.512341;-38.13080360867914
1739209848.512344;-33.981070128970906
1739209848.5123467;-31.141103565318915
1739209848.5123494;-45.120503652039325
1739209848.5123522;-45.120503652039325
1739209848.512355;-45.120503652039325
1739209848.512358;-38.13080360867914
1739209848.5123608;-38.13080360867914
1739209848.5123637;-45.120503652039325
1739209848.5123663;-45.120503652039325
1739209848.5123692;-38.13080360867914
1739209848.512372;-38.13080360867914
1739209848.5123749;-38.13080360867914
1739209848.5123777;-45.120503652039325
1739209848.5123806;-45.120503652039325
1739209848.5123832;-38.13080360867914
1739209848.512386;-38.13080360867914
1739209848.512389;-45.120503652039325
1739209848.5123918;-45.120503652039325
1739209848.5123947;-35.57807855764607
1739209848.5123973;-38.13080360867914
1739209848.5124002;-45.120503652039325
1739209848.512403;-33.981070128970906
1739209848.5124059;-32.816014438256545
1739209848.5124087;-38.13080360867914
1739209848.5124116;-45.120503652039325
1739209848.5124142;-38.13080360867914
1739209848.512417;-38.13080360867914
1739209848.51242;-45.120503652039325
1739209848.5124228;-45.120503652039325
1739209848.5124257;-45.120503652039325
1739209848.5124283;-38.13080360867914
1739209848.5124311;-38.13080360867914
1739209848.512434;-45.120503652039325
1739209848.5124369;-45.120503652039325
1739209848.5124397;-45.120503652039325
1739209848.5124426;-45.120503652039325
1739209848.5124452;-45.120503652039325
1739209848.512448;-38.13080360867914
1739209848.512451;-45.120503652039325
1739209848.5124538;-45.120503652039325
1739209848.5124567;-45.120503652039325
1739209848.5124593;-38.13080360867914
1739209848.5124621;-32.816014438256545
1739209848.512465;-38.13080360867914
1739209848.5124679;-38.13080360867914
1739209848.5124707;-38.13080360867914
1739209848.5124736;-35.57807855764607
1739209848.5124762;-38.13080360867914
1739209848.512479;-38.13080360867914
1739209848.512482;-45.120503652039325
1739209848.5124848;-45.120503652039325
1739209848.5124876;-45.120503652039325
1739209848.5124905;-35.57807855764607
1739209848.5124931;-35.57807855764607
1739209848.512496;-45.120503652039325
1739209848.5124989;-38.13080360867914
1739209848.5125017;-35.57807855764607
1739209848.5125046;-38.13080360867914
1739209848.5125072;-32.816014438256545
1739209848.51251;-45.120503652039325
1739209848.512513;-38.13080360867914
1739209848.5125158;-45.120503652039325
1739209848.5125186;-38.13080360867914
1739209848.5125215;-45.120503652039325
1739209848.5125241;-45.120503652039325
1739209848.512527;-38.13080360867914
1739209848.5125299;-45.120503652039325
1739209848.5125327;-45.120503652039325
1739209848.5125356;-45.120503652039325
1739209848.5125382;-45.120503652039325
1739209848.512541;-45.120503652039325
1739209848.512544;-45.120503652039325
1739209848.5125468;-45.120503652039325
1739209848.5125496;-45.120503652039325
1739209848.5125525;-45.120503652039325
1739209848.5125551;-45.120503652039325
1739209848.512558;-45.120503652039325
1739209848.5125608;-33.981070128970906
1739209848.5125637;-30.49652367304973
1739209848.5125666;-33.981070128970906
1739209848.5125692;-45.120503652039325
1739209848.512572;-38.13080360867914
1739209848.512575;-32.816014438256545
1739209848.5125778;-45.120503652039325
1739209848.5125806;-45.120503652039325
1739209848.5125835;-45.120503652039325
1739209848.512586;-38.13080360867914
1739209848.512589;-38.13080360867914
1739209848.5125918;-45.120503652039325
1739209848.5125947;-45.120503652039325
1739209848.5125976;-45.120503652039325
1739209848.5126004;-38.13080360867914
1739209848.512603;-45.120503652039325
1739209848.512606;-45.120503652039325
1739209848.5126088;-45.120503652039325
1739209848.5126116;-45.120503652039325
1739209848.5126145;-38.13080360867914
1739209848.512617;-45.120503652039325
1739209848.51262;-28.21854285175415
1739209848.5126228;-32.816014438256545
