CAN Message; 0x150:0300322f69db466a
Timestamp;Amplitude
1739209811.4959512;-38.13080360867914
1739209811.4959564;-38.13080360867914
1739209811.495962;-45.120503652039325
1739209811.4959674;-45.120503652039325
1739209811.4959726;-45.120503652039325
1739209811.495978;-45.120503652039325
1739209811.4959834;-31.141103565318915
1739209811.4959888;-45.120503652039325
1739209811.4959943;-45.120503652039325
1739209811.4959996;-32.816014438256545
1739209811.496005;-38.13080360867914
1739209811.4960105;-45.120503652039325
1739209811.4960158;-45.120503652039325
1739209811.4960213;-35.57807855764607
1739209811.4960268;-38.13080360867914
1739209811.496032;-45.120503652039325
1739209811.4960375;-38.13080360867914
1739209811.496043;-45.120503652039325
1739209811.4960482;-45.120503652039325
1739209811.4960537;-38.13080360867914
1739209811.496059;-38.13080360867914
1739209811.4960644;-45.120503652039325
1739209811.49607;-33.981070128970906
1739209811.4960752;-45.120503652039325
1739209811.4960806;-45.120503652039325
1739209811.4960861;-35.57807855764607
1739209811.4960914;-38.13080360867914
1739209811.4960968;-45.120503652039325
1739209811.4961023;-38.13080360867914
1739209811.4961076;-38.13080360867914
1739209811.496113;-45.120503652039325
1739209811.4961185;-45.120503652039325
1739209811.4961238;-45.120503652039325
1739209811.4961293;-45.120503652039325
1739209811.4961345;-33.981070128970906
1739209811.49614;-35.57807855764607
1739209811.4961455;-45.120503652039325
1739209811.4961507;-38.13080360867914
1739209811.4961562;-35.57807855764607
1739209811.4961617;-38.13080360867914
1739209811.496167;-38.13080360867914
1739209811.4961724;-45.120503652039325
1739209811.496178;-33.981070128970906
1739209811.4961832;-38.13080360867914
1739209811.4961886;-45.120503652039325
1739209811.496194;-45.120503652039325
1739209811.4961994;-45.120503652039325
1739209811.4962049;-45.120503652039325
1739209811.49621;-45.120503652039325
1739209811.4962156;-45.120503652039325
1739209811.496221;-33.981070128970906
1739209811.4962263;-38.13080360867914
1739209811.4962318;-45.120503652039325
1739209811.4962373;-45.120503652039325
1739209811.4962425;-38.13080360867914
1739209811.496248;-45.120503652039325
1739209811.4962535;-45.120503652039325
1739209811.4962587;-45.120503652039325
1739209811.4962642;-33.981070128970906
1739209811.4962695;-38.13080360867914
1739209811.496275;-45.120503652039325
1739209811.4962804;-45.120503652039325
1739209811.4962857;-38.13080360867914
1739209811.4962912;-45.120503652039325
1739209811.4962966;-38.13080360867914
1739209811.496302;-38.13080360867914
1739209811.4963074;-45.120503652039325
1739209811.4963129;-45.120503652039325
1739209811.496318;-45.120503652039325
1739209811.4963236;-35.57807855764607
1739209811.4963288;-38.13080360867914
1739209811.4963343;-45.120503652039325
1739209811.4963398;-38.13080360867914
1739209811.496345;-35.57807855764607
1739209811.4963505;-38.13080360867914
1739209811.496356;-45.120503652039325
1739209811.4963613;-38.13080360867914
1739209811.4963667;-35.57807855764607
1739209811.4963722;-33.981070128970906
1739209811.4963775;-45.120503652039325
1739209811.496383;-38.13080360867914
1739209811.4963884;-38.13080360867914
1739209811.4963937;-45.120503652039325
1739209811.4963992;-45.120503652039325
1739209811.4964044;-45.120503652039325
1739209811.49641;-38.13080360867914
1739209811.4964154;-33.981070128970906
1739209811.4964206;-35.57807855764607
1739209811.496426;-38.13080360867914
1739209811.4964316;-45.120503652039325
1739209811.4964368;-31.141103565318915
1739209811.4964423;-31.141103565318915
1739209811.4964478;-45.120503652039325
1739209811.496453;-45.120503652039325
1739209811.4964585;-45.120503652039325
1739209811.4964638;-45.120503652039325
1739209811.4964693;-45.120503652039325
1739209811.4964747;-45.120503652039325
1739209811.49648;-38.13080360867914
1739209811.4964855;-35.57807855764607
1739209811.496491;-38.13080360867914
1739209811.4964962;-45.120503652039325
1739209811.4965017;-45.120503652039325
1739209811.4965072;-33.981070128970906
1739209811.4965124;-33.981070128970906
1739209811.496518;-45.120503652039325
1739209811.4965234;-27.267205301931607
1739209811.4965286;-28.992665084841942
1739209811.496534;-45.120503652039325
1739209811.4965394;-35.57807855764607
1739209811.4965448;-35.57807855764607
1739209811.4965503;-45.120503652039325
1739209811.4965556;-45.120503652039325
1739209811.496561;-45.120503652039325
1739209811.4965665;-45.120503652039325
1739209811.4965718;-45.120503652039325
1739209811.4965773;-38.13080360867914
1739209811.4965827;-45.120503652039325
1739209811.496588;-45.120503652039325
1739209811.4965935;-45.120503652039325
1739209811.496599;-38.13080360867914
1739209811.4966042;-35.57807855764607
1739209811.4966097;-38.13080360867914
1739209811.496615;-45.120503652039325
1739209811.4966204;-38.13080360867914
1739209811.496626;-45.120503652039325
1739209811.4966311;-45.120503652039325
1739209811.4966366;-45.120503652039325
1739209811.496642;-38.13080360867914
1739209811.4966474;-38.13080360867914
1739209811.4966528;-35.57807855764607
1739209811.4966583;-32.816014438256545
1739209811.4966636;-38.13080360867914
1739209811.496669;-38.13080360867914
1739209811.4966743;-38.13080360867914
1739209811.4966798;-45.120503652039325
1739209811.4966853;-45.120503652039325
1739209811.4966905;-29.438486411369333
1739209811.496696;-38.13080360867914
1739209811.4967015;-31.141103565318943
1739209811.4967067;-38.13080360867914
1739209811.4967122;-45.120503652039325
1739209811.4967177;-45.120503652039325
1739209811.496723;-45.120503652039325
1739209811.4967284;-38.13080360867914
1739209811.496734;-38.13080360867914
1739209811.4967391;-35.57807855764607
1739209811.4967446;-30.49652367304973
1739209811.4967499;-38.13080360867914
1739209811.4967554;-35.57807855764607
1739209811.4967608;-38.13080360867914
1739209811.496766;-45.120503652039325
1739209811.4967716;-45.120503652039325
1739209811.496777;-38.13080360867914
1739209811.4967823;-45.120503652039325
1739209811.4967878;-45.120503652039325
1739209811.4967933;-38.13080360867914
1739209811.4967985;-45.120503652039325
1739209811.496804;-45.120503652039325
1739209811.4968095;-35.57807855764607
1739209811.4968147;-38.13080360867914
1739209811.4968202;-45.120503652039325
1739209811.4968255;-38.13080360867914
1739209811.496831;-38.13080360867914
1739209811.4968364;-38.13080360867914
1739209811.4968417;-38.13080360867914
1739209811.4968472;-38.13080360867914
1739209811.4968526;-45.120503652039325
1739209811.496858;-35.57807855764607
1739209811.4968634;-38.13080360867914
1739209811.4968688;-45.120503652039325
1739209811.496874;-32.816014438256545
1739209811.4968796;-45.120503652039325
1739209811.4968848;-45.120503652039325
1739209811.4968903;-38.13080360867914
1739209811.4968958;-38.13080360867914
1739209811.496901;-38.13080360867914
1739209811.4969065;-45.120503652039325
1739209811.496912;-45.120503652039325
1739209811.4969172;-45.120503652039325
1739209811.4969227;-45.120503652039325
1739209811.4969282;-45.120503652039325
1739209811.4969335;-38.13080360867914
1739209811.496939;-38.13080360867914
1739209811.4969444;-33.981070128970906
1739209811.4969497;-45.120503652039325
1739209811.4969552;-38.13080360867914
1739209811.4969604;-32.816014438256545
1739209811.496966;-38.13080360867914
1739209811.4969714;-38.13080360867914
1739209811.4969766;-33.981070128970906
