CAN Message; 0x39:01c234aa20fa3708
Timestamp;Amplitude
1739209841.5759883;-45.120503652039325
1739209841.575991;-45.120503652039325
1739209841.5759933;-31.141103565318915
1739209841.5759957;-38.13080360867914
1739209841.575998;-45.120503652039325
1739209841.5760007;-45.120503652039325
1739209841.576003;-33.981070128970906
1739209841.5760055;-33.981070128970906
1739209841.5760078;-45.120503652039325
1739209841.5760105;-45.120503652039325
1739209841.5760128;-45.120503652039325
1739209841.5760152;-45.120503652039325
1739209841.5760176;-38.13080360867914
1739209841.5760202;-38.13080360867914
1739209841.5760226;-35.57807855764607
1739209841.576025;-35.57807855764607
1739209841.5760274;-45.120503652039325
1739209841.57603;-45.120503652039325
1739209841.5760324;-38.13080360867914
1739209841.5760348;-38.13080360867914
1739209841.5760372;-45.120503652039325
1739209841.5760398;-45.120503652039325
1739209841.5760422;-45.120503652039325
1739209841.5760446;-38.13080360867914
1739209841.5760472;-45.120503652039325
1739209841.5760496;-38.13080360867914
1739209841.576052;-31.141103565318915
1739209841.5760543;-45.120503652039325
1739209841.576057;-35.57807855764607
1739209841.5760593;-38.13080360867914
1739209841.5760617;-38.13080360867914
1739209841.576064;-45.120503652039325
1739209841.5760667;-45.120503652039325
1739209841.576069;-38.13080360867914
1739209841.5760715;-35.57807855764607
1739209841.576074;-45.120503652039325
1739209841.5760765;-35.57807855764607
1739209841.576079;-35.57807855764607
1739209841.5760813;-38.13080360867914
1739209841.5760837;-38.13080360867914
1739209841.5760863;-38.13080360867914
1739209841.5760887;-35.57807855764607
1739209841.576091;-33.981070128970906
1739209841.5760937;-38.13080360867914
1739209841.576096;-45.120503652039325
1739209841.5760984;-45.120503652039325
1739209841.5761008;-45.120503652039325
1739209841.5761034;-38.13080360867914
1739209841.5761058;-45.120503652039325
1739209841.5761082;-38.13080360867914
1739209841.5761106;-45.120503652039325
1739209841.5761132;-45.120503652039325
1739209841.5761156;-38.13080360867914
1739209841.576118;-38.13080360867914
1739209841.5761204;-38.13080360867914
1739209841.576123;-45.120503652039325
1739209841.5761254;-45.120503652039325
1739209841.5761278;-33.981070128970906
1739209841.5761302;-45.120503652039325
1739209841.5761328;-38.13080360867914
1739209841.5761352;-32.816014438256545
