CAN Message; 0x39:0cf57bbe04a62c5e
Timestamp;Amplitude
1739209790.230442;-38.13080360867914
1739209790.2304428;-45.120503652039325
1739209790.2304435;-38.13080360867914
1739209790.2304442;-45.120503652039325
1739209790.230445;-38.13080360867914
1739209790.2304459;-38.13080360867914
1739209790.2304466;-45.120503652039325
1739209790.2304473;-45.120503652039325
1739209790.230448;-32.816014438256545
1739209790.2304487;-38.13080360867914
1739209790.2304494;-45.120503652039325
1739209790.2304502;-33.981070128970906
1739209790.2304509;-32.816014438256545
1739209790.2304516;-33.981070128970906
1739209790.2304523;-45.120503652039325
1739209790.230453;-45.120503652039325
1739209790.230454;-38.13080360867914
1739209790.2304547;-38.13080360867914
1739209790.2304554;-45.120503652039325
1739209790.230456;-38.13080360867914
1739209790.2304568;-32.816014438256545
1739209790.2304575;-38.13080360867914
1739209790.2304583;-45.120503652039325
1739209790.230459;-38.13080360867914
1739209790.2304597;-38.13080360867914
1739209790.2304604;-45.120503652039325
1739209790.2304611;-45.120503652039325
1739209790.230462;-45.120503652039325
1739209790.2304628;-45.120503652039325
1739209790.2304635;-45.120503652039325
1739209790.2304642;-38.13080360867914
1739209790.230465;-38.13080360867914
1739209790.2304657;-35.57807855764607
1739209790.2304664;-45.120503652039325
1739209790.230467;-38.13080360867914
1739209790.2304678;-35.57807855764607
1739209790.2304685;-35.57807855764607
1739209790.2304692;-38.13080360867914
1739209790.2304702;-45.120503652039325
1739209790.230471;-45.120503652039325
1739209790.2304716;-38.13080360867914
1739209790.2304723;-38.13080360867914
1739209790.230473;-45.120503652039325
1739209790.2304738;-35.57807855764607
1739209790.2304745;-38.13080360867914
1739209790.2304752;-45.120503652039325
1739209790.230476;-45.120503652039325
1739209790.2304766;-45.120503652039325
1739209790.2304773;-38.13080360867914
1739209790.230478;-45.120503652039325
1739209790.230479;-35.57807855764607
1739209790.2304797;-38.13080360867914
1739209790.2304804;-38.13080360867914
1739209790.2304811;-35.57807855764607
1739209790.2304819;-35.57807855764607
1739209790.2304826;-38.13080360867914
1739209790.2304833;-45.120503652039325
1739209790.230484;-33.981070128970906
1739209790.2304847;-32.816014438256545
1739209790.2304854;-33.981070128970906
1739209790.2304862;-45.120503652039325
1739209790.230487;-45.120503652039325
1739209790.2304878;-38.13080360867914
1739209790.2304885;-45.120503652039325
1739209790.2304893;-45.120503652039325
1739209790.23049;-45.120503652039325
