CAN Message; 0x39:05c28cede717252d
Timestamp;Amplitude
1739209808.151547;-45.120503652039325
1739209808.1515558;-38.13080360867914
1739209808.1515646;-33.981070128970906
1739209808.1515734;-31.141103565318915
1739209808.151582;-38.13080360867914
1739209808.1515908;-38.13080360867914
1739209808.1515996;-35.57807855764607
1739209808.1516085;-32.816014438256545
1739209808.1516173;-45.120503652039325
1739209808.151626;-45.120503652039325
1739209808.151635;-45.120503652039325
1739209808.1516438;-38.13080360867914
1739209808.1516523;-33.981070128970906
1739209808.1516612;-38.13080360867914
1739209808.15167;-45.120503652039325
1739209808.1516788;-45.120503652039325
1739209808.1516876;-38.13080360867914
1739209808.1516964;-45.120503652039325
1739209808.1517053;-45.120503652039325
1739209808.151714;-38.13080360867914
1739209808.151723;-38.13080360867914
1739209808.1517315;-45.120503652039325
1739209808.1517403;-45.120503652039325
1739209808.1517491;-38.13080360867914
1739209808.151758;-38.13080360867914
1739209808.1517668;-45.120503652039325
1739209808.1517756;-45.120503652039325
1739209808.1517844;-45.120503652039325
1739209808.1517932;-32.816014438256545
1739209808.151802;-38.13080360867914
1739209808.1518106;-45.120503652039325
1739209808.1518195;-38.13080360867914
1739209808.1518283;-38.13080360867914
1739209808.151837;-45.120503652039325
1739209808.151846;-45.120503652039325
1739209808.1518548;-38.13080360867914
1739209808.1518636;-38.13080360867914
1739209808.1518724;-38.13080360867914
1739209808.151881;-45.120503652039325
1739209808.1518898;-45.120503652039325
1739209808.1518986;-45.120503652039325
1739209808.1519074;-33.981070128970906
1739209808.1519163;-33.981070128970906
1739209808.151925;-45.120503652039325
1739209808.151934;-38.13080360867914
1739209808.1519427;-38.13080360867914
1739209808.1519516;-45.120503652039325
1739209808.1519601;-38.13080360867914
1739209808.151969;-38.13080360867914
1739209808.1519778;-45.120503652039325
1739209808.1519866;-45.120503652039325
1739209808.1519954;-38.13080360867914
1739209808.1520042;-32.816014438256545
1739209808.152013;-38.13080360867914
1739209808.152022;-38.13080360867914
1739209808.1520305;-38.13080360867914
1739209808.1520393;-38.13080360867914
1739209808.152048;-45.120503652039325
1739209808.152057;-45.120503652039325
1739209808.1520658;-45.120503652039325
1739209808.1520746;-45.120503652039325
1739209808.1520834;-45.120503652039325
1739209808.1520922;-45.120503652039325
1739209808.152101;-38.13080360867914
1739209808.1521096;-45.120503652039325
1739209808.1521184;-38.13080360867914
1739209808.1521273;-38.13080360867914
1739209808.152136;-45.120503652039325
1739209808.152145;-35.57807855764607
1739209808.1521537;-38.13080360867914
1739209808.1521626;-45.120503652039325
1739209808.1521714;-38.13080360867914
1739209808.1521802;-35.57807855764607
1739209808.1521888;-38.13080360867914
1739209808.1521976;-45.120503652039325
1739209808.1522064;-38.13080360867914
1739209808.1522152;-45.120503652039325
1739209808.152224;-45.120503652039325
1739209808.152233;-38.13080360867914
1739209808.1522417;-38.13080360867914
1739209808.1522505;-45.120503652039325
1739209808.152259;-45.120503652039325
1739209808.152268;-33.981070128970906
1739209808.1522768;-33.981070128970906
1739209808.1522856;-45.120503652039325
1739209808.1522944;-45.120503652039325
1739209808.1523032;-38.13080360867914
1739209808.152312;-38.13080360867914
1739209808.1523209;-35.57807855764607
1739209808.1523297;-38.13080360867914
1739209808.1523383;-45.120503652039325
1739209808.152347;-38.13080360867914
1739209808.152356;-35.57807855764607
1739209808.1523647;-35.57807855764607
1739209808.1523736;-45.120503652039325
1739209808.1523824;-38.13080360867914
1739209808.1523912;-45.120503652039325
1739209808.1524;-45.120503652039325
1739209808.1524086;-38.13080360867914
1739209808.1524174;-38.13080360867914
1739209808.1524262;-45.120503652039325
1739209808.152435;-45.120503652039325
1739209808.152444;-38.13080360867914
1739209808.1524527;-38.13080360867914
1739209808.1524615;-38.13080360867914
1739209808.1524704;-45.120503652039325
1739209808.1524792;-35.57807855764607
1739209808.1524878;-45.120503652039325
1739209808.1524966;-29.438486411369333
1739209808.1525054;-29.438486411369333
1739209808.1525142;-45.120503652039325
1739209808.152523;-45.120503652039325
