CAN Message; 0x77:f35bc0572e9e0595
Timestamp;Amplitude
1739209758.2575657;-45.120503652039325
1739209758.257573;-38.13080360867914
1739209758.25758;-45.120503652039325
1739209758.2575872;-33.981070128970956
1739209758.2575943;-45.120503652039325
1739209758.2576015;-38.13080360867914
1739209758.2576087;-45.120503652039325
1739209758.2576156;-45.120503652039325
1739209758.2576227;-45.120503652039325
1739209758.2576299;-45.120503652039325
1739209758.257637;-45.120503652039325
1739209758.2576442;-29.438486411369333
1739209758.2576513;-35.57807855764607
1739209758.2576585;-38.13080360867914
1739209758.2576656;-38.13080360867914
1739209758.2576728;-38.13080360867914
1739209758.25768;-38.13080360867914
1739209758.257687;-38.13080360867914
1739209758.2576942;-38.13080360867914
1739209758.2577014;-45.120503652039325
1739209758.2577085;-38.13080360867914
1739209758.2577155;-33.981070128970906
1739209758.2577226;-38.13080360867914
1739209758.2577298;-38.13080360867914
1739209758.257737;-38.13080360867914
1739209758.257744;-45.120503652039325
1739209758.2577512;-38.13080360867914
1739209758.2577584;-45.120503652039325
1739209758.2577655;-45.120503652039325
1739209758.2577727;-35.57807855764607
1739209758.2577798;-38.13080360867914
1739209758.257787;-45.120503652039325
1739209758.2577941;-45.120503652039325
1739209758.2578013;-38.13080360867914
1739209758.2578084;-45.120503652039325
1739209758.2578156;-28.21854285175415
1739209758.2578225;-31.141103565318893
1739209758.2578297;-45.120503652039325
1739209758.2578368;-45.120503652039325
1739209758.257844;-35.57807855764607
1739209758.2578511;-35.57807855764607
1739209758.2578583;-45.120503652039325
1739209758.2578654;-35.57807855764607
1739209758.2578726;-38.13080360867914
1739209758.2578797;-45.120503652039325
1739209758.257887;-38.13080360867914
1739209758.257894;-45.120503652039325
1739209758.2579012;-45.120503652039325
1739209758.2579083;-33.981070128970906
1739209758.2579155;-38.13080360867914
1739209758.2579226;-45.120503652039325
1739209758.2579296;-35.57807855764607
1739209758.2579367;-32.816014438256545
1739209758.2579439;-45.120503652039325
1739209758.257951;-38.13080360867914
1739209758.2579582;-38.13080360867914
1739209758.2579653;-38.13080360867914
1739209758.2579725;-38.13080360867914
1739209758.2579796;-45.120503652039325
1739209758.2579868;-32.816014438256545
1739209758.257994;-32.816014438256545
1739209758.258001;-45.120503652039325
1739209758.2580082;-38.13080360867914
1739209758.2580154;-30.49652367304973
1739209758.2580225;-38.13080360867914
1739209758.2580295;-45.120503652039325
1739209758.2580366;-38.13080360867914
1739209758.2580438;-45.120503652039325
1739209758.258051;-45.120503652039325
1739209758.258058;-45.120503652039325
1739209758.2580652;-38.13080360867914
1739209758.2580724;-38.13080360867914
1739209758.2580795;-38.13080360867914
1739209758.2580867;-45.120503652039325
1739209758.2580938;-45.120503652039325
1739209758.258101;-31.141103565318893
1739209758.2581081;-32.816014438256545
1739209758.2581153;-45.120503652039325
1739209758.2581224;-38.13080360867914
1739209758.2581296;-38.13080360867914
1739209758.2581365;-38.13080360867914
1739209758.2581437;-45.120503652039325
1739209758.2581508;-45.120503652039325
1739209758.258158;-38.13080360867914
1739209758.2581651;-38.13080360867914
1739209758.2581723;-45.120503652039325
1739209758.2581794;-38.13080360867914
1739209758.2581866;-33.981070128970906
1739209758.2581937;-35.57807855764607
