CAN Message; 0x1d3:0000fa5047582089
Timestamp;Amplitude
1739209701.298168;-45.120503652039325
1739209701.2981813;-38.13080360867914
1739209701.298195;-38.13080360867914
1739209701.2982085;-45.120503652039325
1739209701.2982218;-31.141103565318915
1739209701.2982354;-38.13080360867914
1739209701.2982488;-38.13080360867914
1739209701.2982624;-45.120503652039325
1739209701.298276;-38.13080360867914
1739209701.2982893;-38.13080360867914
1739209701.298303;-38.13080360867914
1739209701.2983165;-38.13080360867914
1739209701.2983298;-38.13080360867914
1739209701.2983434;-45.120503652039325
1739209701.2983568;-45.120503652039325
1739209701.2983704;-38.13080360867914
1739209701.298384;-38.13080360867914
1739209701.2983973;-45.120503652039325
1739209701.298411;-38.13080360867914
1739209701.2984245;-45.120503652039325
1739209701.2984378;-33.981070128970906
1739209701.2984514;-32.816014438256545
1739209701.2984648;-38.13080360867914
1739209701.2984784;-38.13080360867914
1739209701.298492;-38.13080360867914
1739209701.2985053;-45.120503652039325
1739209701.298519;-45.120503652039325
1739209701.2985325;-45.120503652039325
1739209701.2985458;-45.120503652039325
1739209701.2985594;-38.13080360867914
1739209701.2985728;-45.120503652039325
1739209701.2985864;-45.120503652039325
1739209701.2986;-38.13080360867914
1739209701.2986133;-45.120503652039325
1739209701.298627;-45.120503652039325
1739209701.2986405;-45.120503652039325
1739209701.2986538;-38.13080360867914
1739209701.2986674;-38.13080360867914
1739209701.2986808;-45.120503652039325
1739209701.2986944;-33.981070128970906
1739209701.298708;-38.13080360867914
1739209701.2987213;-38.13080360867914
1739209701.298735;-45.120503652039325
1739209701.2987485;-45.120503652039325
1739209701.2987618;-45.120503652039325
1739209701.2987754;-45.120503652039325
1739209701.2987888;-45.120503652039325
1739209701.2988024;-45.120503652039325
1739209701.298816;-38.13080360867914
1739209701.2988293;-38.13080360867914
1739209701.298843;-45.120503652039325
1739209701.2988565;-45.120503652039325
1739209701.2988698;-38.13080360867914
1739209701.2988834;-38.13080360867914
1739209701.2988968;-45.120503652039325
1739209701.2989104;-45.120503652039325
1739209701.298924;-45.120503652039325
1739209701.2989373;-35.57807855764607
1739209701.298951;-38.13080360867914
1739209701.2989645;-45.120503652039325
1739209701.2989779;-45.120503652039325
1739209701.2989914;-45.120503652039325
1739209701.2990048;-45.120503652039325
1739209701.2990184;-45.120503652039325
1739209701.299032;-38.13080360867914
1739209701.2990453;-33.981070128970906
1739209701.299059;-38.13080360867914
1739209701.2990725;-45.120503652039325
1739209701.2990859;-38.13080360867914
1739209701.2990994;-38.13080360867914
1739209701.2991128;-45.120503652039325
1739209701.2991264;-45.120503652039325
1739209701.29914;-45.120503652039325
1739209701.2991533;-45.120503652039325
1739209701.299167;-38.13080360867914
1739209701.2991805;-38.13080360867914
1739209701.2991939;-45.120503652039325
1739209701.2992074;-45.120503652039325
1739209701.2992208;-38.13080360867914
1739209701.2992344;-38.13080360867914
1739209701.299248;-38.13080360867914
1739209701.2992613;-38.13080360867914
1739209701.299275;-45.120503652039325
1739209701.2992885;-45.120503652039325
1739209701.2993019;-38.13080360867914
1739209701.2993155;-38.13080360867914
1739209701.2993288;-38.13080360867914
1739209701.2993424;-45.120503652039325
1739209701.299356;-38.13080360867914
1739209701.2993693;-38.13080360867914
1739209701.299383;-38.13080360867914
1739209701.2993965;-45.120503652039325
1739209701.2994099;-45.120503652039325
1739209701.2994235;-35.57807855764607
1739209701.2994368;-45.120503652039325
1739209701.2994504;-45.120503652039325
1739209701.299464;-45.120503652039325
1739209701.2994773;-45.120503652039325
1739209701.299491;-45.120503652039325
1739209701.2995045;-45.120503652039325
1739209701.2995179;-38.13080360867914
1739209701.2995315;-28.992665084841942
1739209701.2995448;-38.13080360867914
1739209701.2995584;-45.120503652039325
1739209701.299572;-38.13080360867914
1739209701.2995853;-38.13080360867914
1739209701.299599;-38.13080360867914
1739209701.2996125;-45.120503652039325
1739209701.2996259;-38.13080360867914
1739209701.2996395;-31.141103565318943
