CAN Message; 0x1bb:0000078f69f87507
Timestamp;Amplitude
1739209688.5364444;-45.120503652039325
1739209688.5364552;-45.120503652039325
1739209688.5364661;-38.13080360867914
1739209688.5364769;-45.120503652039325
1739209688.5364876;-38.13080360867914
1739209688.5364983;-38.13080360867914
1739209688.536509;-38.13080360867914
1739209688.53652;-45.120503652039325
1739209688.5365307;-32.816014438256545
1739209688.5365415;-31.141103565318893
1739209688.5365522;-35.57807855764607
1739209688.536563;-35.57807855764607
1739209688.536574;-35.57807855764607
1739209688.5365846;-35.57807855764607
1739209688.5365953;-38.13080360867914
1739209688.536606;-38.13080360867914
1739209688.5366168;-45.120503652039325
1739209688.5366275;-45.120503652039325
1739209688.5366385;-38.13080360867914
1739209688.5366492;-38.13080360867914
1739209688.53666;-45.120503652039325
1739209688.5366707;-38.13080360867914
1739209688.5366814;-38.13080360867914
1739209688.5366924;-38.13080360867914
1739209688.536703;-32.816014438256545
1739209688.5367138;-28.21854285175415
1739209688.5367246;-45.120503652039325
1739209688.5367353;-45.120503652039325
1739209688.5367463;-45.120503652039325
1739209688.536757;-45.120503652039325
1739209688.5367677;-45.120503652039325
1739209688.5367785;-45.120503652039325
1739209688.5367892;-35.57807855764607
1739209688.5368001;-35.57807855764607
1739209688.5368109;-45.120503652039325
1739209688.5368216;-45.120503652039325
1739209688.5368323;-35.57807855764607
1739209688.536843;-38.13080360867914
1739209688.536854;-45.120503652039325
1739209688.5368648;-35.57807855764607
1739209688.5368755;-45.120503652039325
1739209688.5368862;-38.13080360867914
1739209688.536897;-33.981070128970906
1739209688.5369077;-45.120503652039325
1739209688.5369186;-45.120503652039325
1739209688.5369294;-38.13080360867914
1739209688.53694;-32.816014438256545
1739209688.5369508;-45.120503652039325
1739209688.5369616;-38.13080360867914
1739209688.5369725;-31.141103565318893
1739209688.5369833;-45.120503652039325
1739209688.536994;-45.120503652039325
1739209688.5370047;-35.57807855764607
1739209688.5370154;-38.13080360867914
1739209688.5370264;-45.120503652039325
1739209688.5370371;-45.120503652039325
1739209688.5370479;-38.13080360867914
1739209688.5370586;-45.120503652039325
1739209688.5370693;-45.120503652039325
1739209688.5370803;-45.120503652039325
1739209688.537091;-38.13080360867914
1739209688.5371017;-35.57807855764607
1739209688.5371125;-45.120503652039325
1739209688.5371232;-38.13080360867914
1739209688.5371342;-38.13080360867914
1739209688.537145;-38.13080360867914
1739209688.5371556;-33.981070128970906
1739209688.5371664;-45.120503652039325
1739209688.537177;-38.13080360867914
1739209688.5371878;-38.13080360867914
1739209688.5371988;-38.13080360867914
1739209688.5372095;-38.13080360867914
1739209688.5372202;-45.120503652039325
1739209688.537231;-38.13080360867914
1739209688.5372417;-38.13080360867914
1739209688.5372527;-33.981070128970906
1739209688.5372634;-35.57807855764607
1739209688.5372741;-35.57807855764607
1739209688.5372849;-45.120503652039325
1739209688.5372956;-45.120503652039325
1739209688.5373065;-38.13080360867914
1739209688.5373173;-38.13080360867914
1739209688.537328;-38.13080360867914
1739209688.5373387;-45.120503652039325
1739209688.5373495;-33.981070128970906
1739209688.5373604;-38.13080360867914
1739209688.5373712;-38.13080360867914
1739209688.537382;-38.13080360867914
1739209688.5373926;-45.120503652039325
1739209688.5374033;-38.13080360867914
1739209688.5374143;-38.13080360867914
1739209688.537425;-45.120503652039325
1739209688.5374358;-38.13080360867914
1739209688.5374465;-35.57807855764607
1739209688.5374572;-38.13080360867914
1739209688.537468;-45.120503652039325
1739209688.537479;-38.13080360867914
1739209688.5374897;-45.120503652039325
1739209688.5375004;-35.57807855764607
1739209688.537511;-45.120503652039325
1739209688.5375218;-38.13080360867914
1739209688.5375328;-33.981070128970906
1739209688.5375435;-38.13080360867914
1739209688.5375543;-45.120503652039325
1739209688.537565;-38.13080360867914
1739209688.5375757;-45.120503652039325
1739209688.5375867;-45.120503652039325
1739209688.5375974;-45.120503652039325
1739209688.5376081;-45.120503652039325
1739209688.5376189;-38.13080360867914
1739209688.5376296;-38.13080360867914
1739209688.5376406;-45.120503652039325
1739209688.5376513;-33.981070128970906
1739209688.537662;-35.57807855764607
1739209688.5376728;-31.141103565318915
1739209688.5376835;-45.120503652039325
1739209688.5376945;-38.13080360867914
1739209688.5377052;-35.57807855764607
1739209688.537716;-38.13080360867914
1739209688.5377266;-45.120503652039325
1739209688.5377374;-33.981070128970906
1739209688.537748;-38.13080360867914
1739209688.537759;-31.14110356531892
1739209688.5377698;-45.120503652039325
1739209688.5377805;-45.120503652039325
1739209688.5377913;-38.13080360867914
1739209688.537802;-38.13080360867914
1739209688.537813;-45.120503652039325
1739209688.5378237;-38.13080360867914
1739209688.5378344;-35.57807855764607
1739209688.5378451;-45.120503652039325
1739209688.5378559;-45.120503652039325
1739209688.5378668;-38.13080360867914
1739209688.5378776;-38.13080360867914
1739209688.5378883;-38.13080360867914
1739209688.537899;-45.120503652039325
1739209688.5379097;-38.13080360867914
1739209688.5379207;-35.57807855764607
1739209688.5379314;-28.992665084841942
1739209688.5379422;-38.13080360867914
1739209688.537953;-45.120503652039325
1739209688.5379636;-38.13080360867914
1739209688.5379746;-45.120503652039325
1739209688.5379853;-45.120503652039325
1739209688.537996;-33.981070128970906
1739209688.5380068;-38.13080360867914
1739209688.5380175;-32.81601443825658
1739209688.5380282;-45.120503652039325
1739209688.5380392;-38.13080360867914
1739209688.53805;-45.120503652039325
1739209688.5380607;-38.13080360867914
1739209688.5380714;-38.13080360867914
1739209688.5380821;-38.13080360867914
1739209688.538093;-38.13080360867914
1739209688.5381038;-38.13080360867914
