CAN Message; 0x39:0c2868f84e5eaec8
Timestamp;Amplitude
1739209765.8763638;-45.120503652039325
1739209765.8763688;-45.120503652039325
1739209765.8763738;-38.13080360867914
1739209765.8763788;-35.57807855764607
1739209765.8763838;-35.57807855764607
1739209765.8763888;-45.120503652039325
1739209765.8763938;-38.13080360867914
1739209765.8763988;-35.57807855764607
1739209765.8764036;-38.13080360867914
1739209765.8764086;-45.120503652039325
1739209765.8764136;-38.13080360867914
1739209765.8764186;-35.57807855764607
1739209765.8764236;-38.13080360867914
1739209765.8764286;-38.13080360867914
1739209765.8764336;-38.13080360867914
1739209765.8764386;-35.57807855764607
1739209765.8764436;-38.13080360867914
1739209765.8764486;-38.13080360867914
1739209765.8764536;-38.13080360867914
1739209765.8764586;-38.13080360867914
1739209765.8764637;-38.13080360867914
1739209765.8764687;-45.120503652039325
1739209765.8764737;-45.120503652039325
1739209765.8764787;-38.13080360867914
1739209765.8764837;-38.13080360867914
1739209765.8764884;-45.120503652039325
1739209765.8764935;-45.120503652039325
1739209765.8764985;-35.57807855764607
1739209765.8765035;-38.13080360867914
1739209765.8765085;-45.120503652039325
1739209765.8765135;-45.120503652039325
1739209765.8765185;-45.120503652039325
1739209765.8765235;-45.120503652039325
1739209765.8765285;-35.57807855764607
1739209765.8765335;-38.13080360867914
1739209765.8765385;-45.120503652039325
1739209765.8765435;-38.13080360867914
1739209765.8765485;-30.49652367304973
1739209765.8765535;-33.981070128970906
1739209765.8765585;-45.120503652039325
1739209765.8765635;-45.120503652039325
1739209765.8765683;-33.981070128970906
1739209765.8765733;-35.57807855764607
1739209765.8765783;-38.13080360867914
1739209765.8765833;-38.13080360867914
1739209765.8765883;-38.13080360867914
1739209765.8765934;-33.981070128970956
1739209765.8765984;-38.13080360867914
1739209765.8766034;-45.120503652039325
1739209765.8766084;-45.120503652039325
1739209765.8766134;-45.120503652039325
1739209765.8766184;-45.120503652039325
1739209765.8766234;-45.120503652039325
1739209765.8766284;-30.49652367304973
1739209765.8766334;-28.58837851428586
1739209765.8766384;-45.120503652039325
1739209765.8766434;-38.13080360867914
1739209765.8766484;-32.816014438256545
1739209765.8766532;-33.981070128970906
1739209765.8766582;-45.120503652039325
1739209765.8766632;-38.13080360867914
1739209765.8766682;-38.13080360867914
