CAN Message; 0x24:0e3d999de00c49b8
Timestamp;Amplitude
1739209801.1853151;-35.57807855764607
1739209801.1853235;-45.120503652039325
1739209801.1853318;-38.13080360867914
1739209801.1853402;-35.57807855764607
1739209801.1853487;-35.57807855764607
1739209801.185357;-38.13080360867914
1739209801.1853654;-45.120503652039325
1739209801.1853738;-38.13080360867914
1739209801.1853821;-45.120503652039325
1739209801.1853905;-45.120503652039325
1739209801.1853988;-38.13080360867914
1739209801.1854072;-32.816014438256545
1739209801.1854155;-45.120503652039325
1739209801.185424;-45.120503652039325
1739209801.1854324;-38.13080360867914
1739209801.1854408;-38.13080360867914
1739209801.1854491;-45.120503652039325
1739209801.1854575;-45.120503652039325
1739209801.1854658;-45.120503652039325
1739209801.1854742;-45.120503652039325
1739209801.1854825;-29.438486411369333
1739209801.1854908;-31.141103565318893
1739209801.1854994;-45.120503652039325
1739209801.1855078;-45.120503652039325
1739209801.185516;-38.13080360867914
1739209801.1855245;-38.13080360867914
1739209801.1855328;-45.120503652039325
1739209801.1855412;-38.13080360867914
1739209801.1855495;-45.120503652039325
1739209801.1855578;-38.13080360867914
1739209801.1855662;-38.13080360867914
1739209801.1855745;-45.120503652039325
1739209801.185583;-38.13080360867914
1739209801.1855915;-38.13080360867914
1739209801.1855998;-45.120503652039325
1739209801.1856081;-38.13080360867914
1739209801.1856165;-45.120503652039325
1739209801.1856248;-45.120503652039325
1739209801.1856332;-38.13080360867914
1739209801.1856415;-38.13080360867914
1739209801.1856499;-45.120503652039325
1739209801.1856585;-38.13080360867914
1739209801.1856668;-38.13080360867914
1739209801.1856751;-45.120503652039325
1739209801.1856835;-32.816014438256545
1739209801.1856918;-29.438486411369333
1739209801.1857002;-45.120503652039325
1739209801.1857085;-38.13080360867914
1739209801.1857169;-35.57807855764607
1739209801.1857252;-38.13080360867914
1739209801.1857338;-45.120503652039325
1739209801.1857421;-38.13080360867914
1739209801.1857505;-38.13080360867914
1739209801.1857588;-45.120503652039325
1739209801.1857672;-33.981070128970906
1739209801.1857755;-38.13080360867914
1739209801.1857839;-45.120503652039325
1739209801.1857922;-38.13080360867914
1739209801.1858006;-45.120503652039325
1739209801.1858091;-45.120503652039325
1739209801.1858175;-45.120503652039325
1739209801.1858258;-45.120503652039325
1739209801.1858342;-38.13080360867914
1739209801.1858425;-35.57807855764607
1739209801.1858509;-45.120503652039325
1739209801.1858592;-45.120503652039325
1739209801.1858675;-35.57807855764607
1739209801.185876;-38.13080360867914
1739209801.1858845;-38.13080360867914
1739209801.1858928;-35.57807855764607
1739209801.1859012;-38.13080360867914
1739209801.1859095;-38.13080360867914
1739209801.1859179;-45.120503652039325
1739209801.1859262;-38.13080360867914
1739209801.1859345;-45.120503652039325
1739209801.185943;-38.13080360867914
1739209801.1859512;-45.120503652039325
1739209801.1859598;-45.120503652039325
1739209801.1859682;-35.57807855764607
1739209801.1859765;-45.120503652039325
1739209801.1859848;-45.120503652039325
1739209801.1859932;-45.120503652039325
1739209801.1860015;-38.13080360867914
1739209801.18601;-38.13080360867914
1739209801.1860182;-33.981070128970906
1739209801.1860266;-32.816014438256545
1739209801.1860352;-38.13080360867914
1739209801.1860435;-45.120503652039325
1739209801.1860518;-45.120503652039325
1739209801.1860602;-45.120503652039325
1739209801.1860685;-38.13080360867914
1739209801.1860769;-38.13080360867914
1739209801.1860852;-45.120503652039325
1739209801.1860936;-38.13080360867914
1739209801.186102;-38.13080360867914
1739209801.1861105;-38.13080360867914
1739209801.1861188;-38.13080360867914
1739209801.1861272;-33.981070128970906
1739209801.1861355;-45.120503652039325
1739209801.1861439;-45.120503652039325
1739209801.1861522;-38.13080360867914
1739209801.1861606;-38.13080360867914
1739209801.186169;-38.13080360867914
1739209801.1861773;-38.13080360867914
1739209801.1861856;-45.120503652039325
1739209801.1861942;-45.120503652039325
1739209801.1862025;-45.120503652039325
1739209801.1862109;-38.13080360867914
1739209801.1862192;-45.120503652039325
1739209801.1862276;-38.13080360867914
1739209801.186236;-33.981070128970906
1739209801.1862442;-45.120503652039325
1739209801.1862526;-45.120503652039325
1739209801.186261;-33.981070128970906
1739209801.1862695;-45.120503652039325
1739209801.1862779;-45.120503652039325
1739209801.1862862;-38.13080360867914
1739209801.1862946;-38.13080360867914
1739209801.186303;-33.981070128970906
1739209801.1863112;-38.13080360867914
1739209801.1863196;-45.120503652039325
1739209801.186328;-45.120503652039325
1739209801.1863363;-45.120503652039325
1739209801.1863449;-45.120503652039325
1739209801.1863532;-45.120503652039325
1739209801.1863616;-38.13080360867914
1739209801.18637;-33.981070128970906
1739209801.1863782;-38.13080360867914
1739209801.1863866;-38.13080360867914
1739209801.186395;-32.816014438256545
1739209801.1864033;-45.120503652039325
1739209801.1864116;-45.120503652039325
1739209801.1864202;-45.120503652039325
1739209801.1864285;-45.120503652039325
1739209801.186437;-38.13080360867914
1739209801.1864452;-45.120503652039325
