CAN Message; 0x39:06b87e2b494d96df
Timestamp;Amplitude
1739209791.7119598;-38.13080360867914
1739209791.7119699;-45.120503652039325
1739209791.71198;-33.981070128970906
1739209791.71199;-31.141103565318915
1739209791.7120001;-38.13080360867914
1739209791.7120101;-38.13080360867914
1739209791.7120204;-38.13080360867914
1739209791.7120304;-38.13080360867914
1739209791.7120404;-45.120503652039325
1739209791.7120504;-38.13080360867914
1739209791.7120607;-45.120503652039325
1739209791.7120707;-38.13080360867914
1739209791.7120807;-38.13080360867914
1739209791.7120907;-45.120503652039325
1739209791.7121007;-33.981070128970906
1739209791.712111;-32.816014438256545
1739209791.712121;-38.13080360867914
1739209791.712131;-45.120503652039325
1739209791.712141;-45.120503652039325
1739209791.7121513;-45.120503652039325
1739209791.7121613;-45.120503652039325
1739209791.7121713;-45.120503652039325
1739209791.7121813;-45.120503652039325
1739209791.7121913;-45.120503652039325
1739209791.7122016;-38.13080360867914
1739209791.7122116;-38.13080360867914
1739209791.7122216;-38.13080360867914
1739209791.7122316;-35.57807855764607
1739209791.712242;-38.13080360867914
1739209791.712252;-38.13080360867914
1739209791.712262;-45.120503652039325
1739209791.712272;-35.57807855764607
1739209791.7122822;-38.13080360867914
1739209791.7122922;-38.13080360867914
1739209791.7123022;-38.13080360867914
1739209791.7123122;-38.13080360867914
1739209791.7123222;-45.120503652039325
1739209791.7123325;-38.13080360867914
1739209791.7123425;-45.120503652039325
1739209791.7123525;-38.13080360867914
1739209791.7123625;-35.57807855764607
1739209791.7123728;-38.13080360867914
1739209791.7123828;-45.120503652039325
1739209791.7123928;-45.120503652039325
1739209791.7124028;-38.13080360867914
1739209791.7124128;-35.57807855764607
1739209791.712423;-38.13080360867914
1739209791.712433;-38.13080360867914
1739209791.712443;-45.120503652039325
1739209791.7124531;-38.13080360867914
1739209791.7124634;-38.13080360867914
1739209791.7124734;-33.981070128970906
1739209791.7124834;-32.816014438256545
1739209791.7124934;-38.13080360867914
1739209791.7125037;-38.13080360867914
1739209791.7125137;-38.13080360867914
1739209791.7125237;-35.57807855764607
1739209791.7125337;-38.13080360867914
1739209791.7125437;-45.120503652039325
1739209791.712554;-45.120503652039325
1739209791.712564;-45.120503652039325
1739209791.712574;-38.13080360867914
1739209791.712584;-45.120503652039325
1739209791.7125943;-38.13080360867914
1739209791.7126043;-45.120503652039325
1739209791.7126143;-35.57807855764607
1739209791.7126243;-38.13080360867914
1739209791.7126343;-38.13080360867914
1739209791.7126446;-33.981070128970906
1739209791.7126546;-45.120503652039325
1739209791.7126646;-45.120503652039325
1739209791.7126746;-38.13080360867914
1739209791.7126849;-32.816014438256545
1739209791.712695;-45.120503652039325
1739209791.712705;-35.57807855764607
1739209791.712715;-38.13080360867914
1739209791.7127252;-45.120503652039325
1739209791.7127352;-35.57807855764607
1739209791.7127452;-35.57807855764607
1739209791.7127552;-45.120503652039325
1739209791.7127652;-45.120503652039325
1739209791.7127755;-33.981070128970906
1739209791.7127855;-45.120503652039325
1739209791.7127955;-45.120503652039325
1739209791.7128055;-45.120503652039325
1739209791.7128158;-38.13080360867914
1739209791.7128258;-38.13080360867914
1739209791.7128358;-38.13080360867914
1739209791.7128458;-38.13080360867914
1739209791.7128558;-45.120503652039325
1739209791.712866;-45.120503652039325
1739209791.712876;-35.57807855764607
1739209791.712886;-27.8777449560314
1739209791.712896;-38.13080360867914
1739209791.7129064;-38.13080360867914
1739209791.7129164;-38.13080360867914
1739209791.7129264;-35.57807855764607
1739209791.7129364;-45.120503652039325
1739209791.7129467;-32.816014438256545
1739209791.7129567;-45.120503652039325
1739209791.7129667;-45.120503652039325
1739209791.7129767;-38.13080360867914
1739209791.7129867;-45.120503652039325
1739209791.712997;-45.120503652039325
1739209791.713007;-38.13080360867914
1739209791.713017;-38.13080360867914
1739209791.713027;-45.120503652039325
1739209791.7130373;-35.57807855764607
1739209791.7130473;-35.57807855764607
1739209791.7130573;-38.13080360867914
1739209791.7130673;-45.120503652039325
1739209791.7130773;-45.120503652039325
1739209791.7130876;-45.120503652039325
1739209791.7130976;-45.120503652039325
1739209791.7131076;-38.13080360867914
1739209791.7131176;-38.13080360867914
1739209791.7131279;-38.13080360867914
1739209791.7131379;-38.13080360867914
1739209791.7131479;-45.120503652039325
1739209791.713158;-38.13080360867914
1739209791.7131681;-32.816014438256545
1739209791.7131782;-45.120503652039325
1739209791.7131882;-45.120503652039325
1739209791.7131982;-45.120503652039325
1739209791.7132082;-45.120503652039325
1739209791.7132185;-45.120503652039325
1739209791.7132285;-45.120503652039325
1739209791.7132385;-33.981070128970906
1739209791.7132485;-45.120503652039325
1739209791.7132587;-38.13080360867914
1739209791.7132688;-45.120503652039325
1739209791.7132788;-35.57807855764607
1739209791.7132888;-26.991370085610722
1739209791.7132988;-35.57807855764607
1739209791.713309;-35.57807855764607
1739209791.713319;-45.120503652039325
1739209791.713329;-32.816014438256545
1739209791.713339;-35.57807855764607
1739209791.7133493;-45.120503652039325
1739209791.7133594;-38.13080360867914
1739209791.7133694;-38.13080360867914
1739209791.7133794;-45.120503652039325
1739209791.7133896;-38.13080360867914
1739209791.7133996;-38.13080360867914
1739209791.7134097;-45.120503652039325
1739209791.7134197;-38.13080360867914
1739209791.7134297;-45.120503652039325
1739209791.71344;-45.120503652039325
1739209791.71345;-28.992665084841942
1739209791.71346;-38.13080360867914
1739209791.71347;-45.120503652039325
1739209791.7134802;-38.13080360867914
1739209791.7134902;-38.13080360867914
1739209791.7135003;-45.120503652039325
1739209791.7135103;-38.13080360867914
1739209791.7135203;-38.13080360867914
1739209791.7135305;-45.120503652039325
1739209791.7135406;-45.120503652039325
1739209791.7135506;-38.13080360867914
1739209791.7135606;-45.120503652039325
1739209791.7135708;-45.120503652039325
1739209791.7135808;-38.13080360867914
1739209791.7135909;-45.120503652039325
1739209791.7136009;-45.120503652039325
1739209791.7136111;-45.120503652039325
1739209791.7136211;-38.13080360867914
1739209791.7136312;-38.13080360867914
1739209791.7136412;-45.120503652039325
1739209791.7136512;-45.120503652039325
1739209791.7136614;-45.120503652039325
1739209791.7136714;-38.13080360867914
1739209791.7136815;-38.13080360867914
1739209791.7136915;-33.981070128970906
1739209791.7137017;-35.57807855764607
1739209791.7137117;-38.13080360867914
1739209791.7137218;-45.120503652039325
1739209791.7137318;-45.120503652039325
1739209791.713742;-33.981070128970906
1739209791.713752;-38.13080360867914
1739209791.713762;-38.13080360867914
1739209791.713772;-38.13080360867914
1739209791.713782;-38.13080360867914
1739209791.7137923;-32.816014438256545
1739209791.7138023;-45.120503652039325
1739209791.7138124;-45.120503652039325
1739209791.7138224;-38.13080360867914
1739209791.7138326;-38.13080360867914
1739209791.7138426;-33.981070128970906
1739209791.7138526;-38.13080360867914
1739209791.7138627;-38.13080360867914
1739209791.7138727;-45.120503652039325
1739209791.713883;-45.120503652039325
1739209791.713893;-38.13080360867914
1739209791.713903;-33.981070128970906
1739209791.713913;-38.13080360867914
1739209791.7139232;-45.120503652039325
1739209791.7139332;-38.13080360867914
1739209791.7139432;-45.120503652039325
1739209791.7139533;-45.120503652039325
1739209791.7139635;-33.981070128970906
1739209791.7139735;-38.13080360867914
1739209791.7139835;-38.13080360867914
1739209791.7139935;-45.120503652039325
1739209791.7140036;-45.120503652039325
1739209791.7140138;-38.13080360867914
1739209791.7140238;-38.13080360867914
1739209791.7140338;-45.120503652039325
1739209791.7140439;-45.120503652039325
1739209791.714054;-45.120503652039325
1739209791.7140641;-45.120503652039325
1739209791.7140741;-45.120503652039325
1739209791.7140841;-33.981070128970906
1739209791.7140942;-38.13080360867914
1739209791.7141044;-38.13080360867914
1739209791.7141144;-38.13080360867914
1739209791.7141244;-38.13080360867914
1739209791.7141345;-38.13080360867914
1739209791.7141447;-33.981070128970906
1739209791.7141547;-38.13080360867914
1739209791.7141647;-38.13080360867914
1739209791.7141747;-38.13080360867914
1739209791.714185;-45.120503652039325
1739209791.714195;-45.120503652039325
1739209791.714205;-33.981070128970906
1739209791.714215;-32.816014438256545
1739209791.714225;-38.13080360867914
1739209791.7142353;-45.120503652039325
1739209791.7142453;-33.981070128970906
1739209791.7142553;-38.13080360867914
1739209791.7142653;-35.57807855764607
1739209791.7142756;-38.13080360867914
1739209791.7142856;-33.981070128970906
1739209791.7142956;-35.57807855764607
1739209791.7143056;-38.13080360867914
1739209791.7143157;-38.13080360867914
1739209791.714326;-38.13080360867914
1739209791.714336;-35.57807855764607
1739209791.714346;-38.13080360867914
1739209791.714356;-45.120503652039325
1739209791.7143662;-38.13080360867914
1739209791.7143762;-35.57807855764607
1739209791.7143862;-45.120503652039325
1739209791.7143962;-45.120503652039325
1739209791.7144065;-38.13080360867914
1739209791.7144165;-45.120503652039325
1739209791.7144265;-38.13080360867914
1739209791.7144365;-35.57807855764607
1739209791.7144465;-45.120503652039325
1739209791.7144568;-45.120503652039325
1739209791.7144668;-38.13080360867914
1739209791.7144768;-38.13080360867914
1739209791.7144868;-45.120503652039325
1739209791.714497;-45.120503652039325
1739209791.714507;-32.816014438256545
1739209791.714517;-35.57807855764607
1739209791.7145271;-45.120503652039325
1739209791.7145371;-38.13080360867914
1739209791.7145474;-38.13080360867914
1739209791.7145574;-38.13080360867914
1739209791.7145674;-38.13080360867914
1739209791.7145774;-38.13080360867914
1739209791.7145877;-45.120503652039325
1739209791.7145977;-45.120503652039325
1739209791.7146077;-45.120503652039325
1739209791.7146177;-45.120503652039325
1739209791.714628;-38.13080360867914
1739209791.714638;-38.13080360867914
1739209791.714648;-35.57807855764607
1739209791.714658;-45.120503652039325
1739209791.714668;-32.816014438256545
1739209791.7146783;-28.21854285175415
1739209791.7146883;-45.120503652039325
1739209791.7146983;-45.120503652039325
1739209791.7147083;-45.120503652039325
1739209791.7147186;-38.13080360867914
1739209791.7147286;-38.13080360867914
1739209791.7147386;-38.13080360867914
1739209791.7147486;-45.120503652039325
1739209791.7147586;-45.120503652039325
1739209791.714769;-33.981070128970906
1739209791.714779;-38.13080360867914
1739209791.714789;-45.120503652039325
1739209791.714799;-45.120503652039325
1739209791.7148092;-33.981070128970906
1739209791.7148192;-45.120503652039325
1739209791.7148292;-38.13080360867914
1739209791.7148392;-31.141103565318893
1739209791.7148495;-45.120503652039325
1739209791.7148595;-45.120503652039325
1739209791.7148695;-45.120503652039325
1739209791.7148795;-45.120503652039325
1739209791.7148895;-38.13080360867914
1739209791.7148998;-35.57807855764607
1739209791.7149098;-38.13080360867914
1739209791.7149198;-45.120503652039325
1739209791.7149298;-38.13080360867914
1739209791.71494;-32.816014438256545
1739209791.71495;-45.120503652039325
1739209791.71496;-45.120503652039325
1739209791.71497;-45.120503652039325
1739209791.7149801;-38.13080360867914
1739209791.7149904;-45.120503652039325
1739209791.7150004;-38.13080360867914
1739209791.7150104;-45.120503652039325
1739209791.7150204;-38.13080360867914
1739209791.7150307;-45.120503652039325
1739209791.7150407;-45.120503652039325
1739209791.7150507;-38.13080360867914
1739209791.7150607;-38.13080360867914
1739209791.715071;-38.13080360867914
1739209791.715081;-29.438486411369333
1739209791.715091;-45.120503652039325
1739209791.715101;-45.120503652039325
1739209791.715111;-38.13080360867914
1739209791.7151213;-35.57807855764607
1739209791.7151313;-45.120503652039325
1739209791.7151413;-33.981070128970906
1739209791.7151513;-38.13080360867914
1739209791.7151616;-33.981070128970956
1739209791.7151716;-45.120503652039325
1739209791.7151816;-45.120503652039325
1739209791.7151916;-45.120503652039325
1739209791.7152016;-38.13080360867914
1739209791.7152119;-38.13080360867914
1739209791.715222;-45.120503652039325
1739209791.715232;-45.120503652039325
1739209791.715242;-32.816014438256545
1739209791.7152522;-38.13080360867914
1739209791.7152622;-45.120503652039325
1739209791.7152722;-38.13080360867914
1739209791.7152822;-38.13080360867914
1739209791.7152925;-38.13080360867914
1739209791.7153025;-45.120503652039325
1739209791.7153125;-28.992665084841942
1739209791.7153225;-31.141103565318893
1739209791.7153325;-45.120503652039325
1739209791.7153428;-38.13080360867914
1739209791.7153528;-33.981070128970906
1739209791.7153628;-35.57807855764607
1739209791.7153728;-38.13080360867914
1739209791.715383;-45.120503652039325
1739209791.715393;-38.13080360867914
1739209791.715403;-35.57807855764607
1739209791.715413;-38.13080360867914
1739209791.7154233;-45.120503652039325
1739209791.7154334;-45.120503652039325
1739209791.7154434;-45.120503652039325
1739209791.7154534;-38.13080360867914
1739209791.7154634;-38.13080360867914
1739209791.7154737;-45.120503652039325
1739209791.7154837;-45.120503652039325
1739209791.7154937;-38.13080360867914
1739209791.7155037;-45.120503652039325
1739209791.715514;-38.13080360867914
1739209791.715524;-45.120503652039325
1739209791.715534;-38.13080360867914
1739209791.715544;-38.13080360867914
1739209791.715554;-45.120503652039325
1739209791.7155643;-45.120503652039325
1739209791.7155743;-33.981070128970906
1739209791.7155843;-33.981070128970906
1739209791.7155943;-38.13080360867914
1739209791.7156045;-38.13080360867914
1739209791.7156146;-38.13080360867914
1739209791.7156246;-45.120503652039325
1739209791.7156346;-38.13080360867914
1739209791.7156448;-45.120503652039325
1739209791.7156549;-45.120503652039325
1739209791.7156649;-35.57807855764607
1739209791.7156749;-38.13080360867914
1739209791.715685;-45.120503652039325
1739209791.7156951;-45.120503652039325
1739209791.7157052;-32.816014438256545
1739209791.7157152;-38.13080360867914
1739209791.7157252;-45.120503652039325
1739209791.7157354;-31.141103565318915
1739209791.7157454;-32.816014438256545
1739209791.7157555;-38.13080360867914
1739209791.7157655;-45.120503652039325
1739209791.7157755;-33.981070128970906
1739209791.7157857;-38.13080360867914
1739209791.7157958;-38.13080360867914
1739209791.7158058;-38.13080360867914
1739209791.7158158;-38.13080360867914
1739209791.715826;-45.120503652039325
1739209791.715836;-45.120503652039325
1739209791.715846;-45.120503652039325
1739209791.715856;-45.120503652039325
1739209791.7158663;-45.120503652039325
1739209791.7158763;-45.120503652039325
1739209791.7158864;-38.13080360867914
1739209791.7158964;-33.981070128970906
1739209791.7159064;-38.13080360867914
1739209791.7159166;-45.120503652039325
1739209791.7159266;-45.120503652039325
1739209791.7159367;-33.981070128970906
1739209791.7159467;-38.13080360867914
1739209791.715957;-38.13080360867914
1739209791.715967;-38.13080360867914
1739209791.715977;-45.120503652039325
1739209791.715987;-45.120503652039325
1739209791.715997;-38.13080360867914
1739209791.7160072;-45.120503652039325
1739209791.7160172;-38.13080360867914
1739209791.7160273;-45.120503652039325
1739209791.7160373;-45.120503652039325
1739209791.7160475;-45.120503652039325
1739209791.7160575;-38.13080360867914
1739209791.7160676;-38.13080360867914
1739209791.7160776;-38.13080360867914
1739209791.7160878;-32.816014438256545
1739209791.7160978;-45.120503652039325
1739209791.7161078;-38.13080360867914
1739209791.7161179;-35.57807855764607
1739209791.7161279;-45.120503652039325
1739209791.7161381;-27.267205301931607
1739209791.7161481;-33.981070128970906
1739209791.7161582;-38.13080360867914
1739209791.7161682;-45.120503652039325
1739209791.7161784;-45.120503652039325
1739209791.7161884;-35.57807855764607
1739209791.7161984;-45.120503652039325
1739209791.7162085;-45.120503652039325
1739209791.7162185;-31.141103565318943
1739209791.7162287;-38.13080360867914
1739209791.7162387;-38.13080360867914
1739209791.7162488;-45.120503652039325
1739209791.7162588;-45.120503652039325
1739209791.716269;-38.13080360867914
1739209791.716279;-38.13080360867914
1739209791.716289;-45.120503652039325
1739209791.716299;-30.49652367304973
1739209791.7163093;-32.816014438256545
1739209791.7163193;-45.120503652039325
1739209791.7163293;-45.120503652039325
1739209791.7163393;-33.981070128970906
1739209791.7163494;-38.13080360867914
1739209791.7163596;-45.120503652039325
1739209791.7163696;-45.120503652039325
1739209791.7163796;-45.120503652039325
1739209791.7163897;-45.120503652039325
1739209791.7164;-45.120503652039325
1739209791.71641;-45.120503652039325
1739209791.71642;-45.120503652039325
1739209791.71643;-38.13080360867914
1739209791.71644;-45.120503652039325
1739209791.7164502;-45.120503652039325
1739209791.7164602;-45.120503652039325
1739209791.7164702;-45.120503652039325
