CAN Message; 0x150:0000659796118d62
Timestamp;Amplitude
1739209778.3253987;-45.120503652039325
1739209778.3253999;-38.13080360867914
1739209778.325401;-45.120503652039325
1739209778.3254023;-38.13080360867914
1739209778.3254035;-45.120503652039325
1739209778.3254046;-45.120503652039325
1739209778.3254058;-33.981070128970906
1739209778.325407;-38.13080360867914
1739209778.3254082;-45.120503652039325
1739209778.3254094;-45.120503652039325
1739209778.3254106;-35.57807855764607
1739209778.3254118;-38.13080360867914
1739209778.3254128;-45.120503652039325
1739209778.325414;-35.57807855764607
1739209778.3254151;-38.13080360867914
1739209778.3254163;-45.120503652039325
1739209778.3254175;-45.120503652039325
1739209778.3254187;-45.120503652039325
1739209778.32542;-45.120503652039325
1739209778.325421;-45.120503652039325
1739209778.3254223;-45.120503652039325
1739209778.3254235;-38.13080360867914
1739209778.3254247;-35.57807855764607
1739209778.3254259;-45.120503652039325
1739209778.325427;-38.13080360867914
1739209778.3254282;-38.13080360867914
1739209778.3254294;-45.120503652039325
1739209778.3254306;-45.120503652039325
1739209778.3254318;-45.120503652039325
1739209778.325433;-45.120503652039325
1739209778.3254342;-45.120503652039325
1739209778.3254354;-38.13080360867914
1739209778.3254366;-45.120503652039325
1739209778.3254378;-38.13080360867914
1739209778.325439;-45.120503652039325
1739209778.3254402;-38.13080360867914
1739209778.3254414;-38.13080360867914
1739209778.3254426;-45.120503652039325
1739209778.3254435;-45.120503652039325
1739209778.3254447;-45.120503652039325
1739209778.325446;-38.13080360867914
1739209778.325447;-38.13080360867914
1739209778.3254483;-38.13080360867914
1739209778.3254495;-45.120503652039325
1739209778.3254507;-38.13080360867914
1739209778.3254519;-45.120503652039325
1739209778.325453;-38.13080360867914
1739209778.3254542;-33.981070128970906
1739209778.3254554;-45.120503652039325
1739209778.3254566;-45.120503652039325
1739209778.3254578;-45.120503652039325
1739209778.325459;-38.13080360867914
1739209778.3254602;-38.13080360867914
1739209778.3254614;-45.120503652039325
1739209778.3254626;-45.120503652039325
1739209778.3254638;-38.13080360867914
1739209778.325465;-45.120503652039325
1739209778.3254662;-45.120503652039325
1739209778.3254673;-38.13080360867914
1739209778.3254685;-45.120503652039325
1739209778.3254697;-38.13080360867914
1739209778.325471;-45.120503652039325
1739209778.325472;-32.816014438256545
1739209778.3254733;-25.826314394896354
1739209778.3254743;-38.13080360867914
1739209778.3254755;-38.13080360867914
1739209778.3254766;-38.13080360867914
1739209778.3254778;-38.13080360867914
1739209778.325479;-45.120503652039325
1739209778.3254802;-45.120503652039325
1739209778.3254814;-38.13080360867914
1739209778.3254826;-35.57807855764607
1739209778.3254838;-38.13080360867914
1739209778.325485;-45.120503652039325
1739209778.3254862;-45.120503652039325
1739209778.3254874;-45.120503652039325
1739209778.3254886;-38.13080360867914
1739209778.3254898;-45.120503652039325
1739209778.325491;-45.120503652039325
1739209778.3254921;-45.120503652039325
1739209778.3254933;-45.120503652039325
1739209778.3254945;-45.120503652039325
1739209778.3254957;-45.120503652039325
1739209778.325497;-45.120503652039325
1739209778.325498;-38.13080360867914
1739209778.3254993;-38.13080360867914
1739209778.3255005;-35.57807855764607
1739209778.3255017;-29.438486411369333
1739209778.3255029;-38.13080360867914
1739209778.3255038;-35.57807855764607
1739209778.325505;-38.13080360867914
1739209778.3255062;-38.13080360867914
1739209778.3255074;-45.120503652039325
1739209778.3255086;-38.13080360867914
1739209778.3255098;-45.120503652039325
1739209778.325511;-35.57807855764607
