CAN Message; 0x1a7:000085cbe9f10634
Timestamp;Amplitude
1739209786.5264802;-45.120503652039325
1739209786.5264838;-38.13080360867914
1739209786.526487;-38.13080360867914
1739209786.5264907;-45.120503652039325
1739209786.5264943;-38.13080360867914
1739209786.5264978;-45.120503652039325
1739209786.5265012;-33.981070128970906
1739209786.5265048;-31.141103565318915
1739209786.5265083;-38.13080360867914
1739209786.526512;-45.120503652039325
1739209786.5265155;-38.13080360867914
1739209786.5265188;-38.13080360867914
1739209786.5265224;-45.120503652039325
1739209786.526526;-45.120503652039325
1739209786.5265296;-38.13080360867914
1739209786.526533;-45.120503652039325
1739209786.5265365;-38.13080360867914
1739209786.52654;-45.120503652039325
1739209786.5265436;-45.120503652039325
1739209786.526547;-35.57807855764607
1739209786.5265505;-38.13080360867914
1739209786.526554;-45.120503652039325
1739209786.5265577;-45.120503652039325
1739209786.5265613;-45.120503652039325
1739209786.5265646;-38.13080360867914
1739209786.5265682;-38.13080360867914
1739209786.5265718;-33.981070128970906
1739209786.5265753;-45.120503652039325
1739209786.5265787;-45.120503652039325
1739209786.5265822;-33.981070128970906
1739209786.5265858;-38.13080360867914
1739209786.5265894;-32.816014438256545
1739209786.5265927;-45.120503652039325
1739209786.5265963;-45.120503652039325
1739209786.5266;-45.120503652039325
1739209786.5266035;-45.120503652039325
1739209786.526607;-45.120503652039325
1739209786.5266104;-38.13080360867914
1739209786.526614;-38.13080360867914
1739209786.5266175;-45.120503652039325
1739209786.526621;-45.120503652039325
1739209786.5266244;-45.120503652039325
1739209786.526628;-38.13080360867914
1739209786.5266316;-45.120503652039325
1739209786.5266352;-45.120503652039325
1739209786.5266385;-32.816014438256545
1739209786.526642;-38.13080360867914
1739209786.5266457;-32.816014438256545
1739209786.5266492;-38.13080360867914
1739209786.5266528;-38.13080360867914
1739209786.5266562;-38.13080360867914
1739209786.5266597;-38.13080360867914
1739209786.5266633;-45.120503652039325
1739209786.5266669;-38.13080360867914
1739209786.5266702;-38.13080360867914
1739209786.5266738;-33.981070128970956
1739209786.5266774;-45.120503652039325
1739209786.526681;-33.981070128970906
1739209786.5266843;-38.13080360867914
1739209786.5266879;-45.120503652039325
1739209786.5266914;-38.13080360867914
1739209786.526695;-38.13080360867914
1739209786.5266986;-35.57807855764607
1739209786.526702;-30.49652367304973
1739209786.5267055;-38.13080360867914
1739209786.526709;-38.13080360867914
1739209786.5267127;-38.13080360867914
1739209786.526716;-33.981070128970906
1739209786.5267196;-38.13080360867914
1739209786.5267231;-38.13080360867914
1739209786.5267267;-35.57807855764607
1739209786.52673;-45.120503652039325
1739209786.5267336;-45.120503652039325
1739209786.5267372;-38.13080360867914
1739209786.5267408;-45.120503652039325
1739209786.5267444;-45.120503652039325
1739209786.5267477;-45.120503652039325
1739209786.5267513;-45.120503652039325
1739209786.5267549;-45.120503652039325
1739209786.5267584;-45.120503652039325
1739209786.5267618;-38.13080360867914
1739209786.5267653;-35.57807855764607
1739209786.526769;-45.120503652039325
1739209786.5267725;-45.120503652039325
1739209786.5267758;-45.120503652039325
1739209786.5267794;-45.120503652039325
1739209786.526783;-45.120503652039325
1739209786.5267866;-29.438486411369333
1739209786.5267901;-35.57807855764607
1739209786.5267935;-45.120503652039325
1739209786.526797;-45.120503652039325
1739209786.5268006;-35.57807855764607
1739209786.5268042;-35.57807855764607
1739209786.5268075;-45.120503652039325
1739209786.5268111;-38.13080360867914
1739209786.5268147;-45.120503652039325
1739209786.5268183;-45.120503652039325
1739209786.5268219;-35.57807855764607
1739209786.5268252;-45.120503652039325
1739209786.5268288;-45.120503652039325
1739209786.5268323;-38.13080360867914
1739209786.526836;-38.13080360867914
1739209786.5268393;-45.120503652039325
1739209786.5268428;-28.21854285175415
1739209786.5268464;-30.49652367304973
1739209786.52685;-45.120503652039325
1739209786.5268533;-38.13080360867914
1739209786.526857;-30.49652367304973
1739209786.5268605;-38.13080360867914
1739209786.526864;-45.120503652039325
1739209786.5268676;-45.120503652039325
1739209786.526871;-45.120503652039325
1739209786.5268745;-45.120503652039325
1739209786.526878;-45.120503652039325
1739209786.5268817;-45.120503652039325
1739209786.526885;-45.120503652039325
1739209786.5268886;-38.13080360867914
1739209786.5268922;-38.13080360867914
1739209786.5268958;-45.120503652039325
1739209786.526899;-38.13080360867914
1739209786.5269027;-38.13080360867914
1739209786.5269063;-45.120503652039325
1739209786.5269098;-45.120503652039325
1739209786.5269134;-45.120503652039325
1739209786.5269167;-38.13080360867914
1739209786.5269203;-38.13080360867914
1739209786.526924;-38.13080360867914
1739209786.5269275;-35.57807855764607
1739209786.5269308;-35.57807855764607
1739209786.5269344;-45.120503652039325
1739209786.526938;-38.13080360867914
1739209786.5269415;-45.120503652039325
1739209786.5269449;-38.13080360867914
1739209786.5269485;-45.120503652039325
1739209786.526952;-45.120503652039325
1739209786.5269556;-45.120503652039325
1739209786.5269592;-45.120503652039325
1739209786.5269625;-45.120503652039325
1739209786.526966;-38.13080360867914
1739209786.5269697;-45.120503652039325
1739209786.5269732;-45.120503652039325
1739209786.5269766;-31.141103565318893
1739209786.5269802;-35.57807855764607
1739209786.5269837;-38.13080360867914
1739209786.5269873;-32.816014438256545
1739209786.5269907;-33.981070128970906
1739209786.5269942;-38.13080360867914
1739209786.5269978;-45.120503652039325
1739209786.5270014;-38.13080360867914
1739209786.527005;-38.13080360867914
1739209786.5270083;-33.981070128970906
1739209786.5270119;-45.120503652039325
1739209786.5270154;-45.120503652039325
1739209786.527019;-32.816014438256545
1739209786.5270224;-35.57807855764607
1739209786.527026;-45.120503652039325
1739209786.5270295;-45.120503652039325
1739209786.527033;-35.57807855764607
1739209786.5270364;-38.13080360867914
1739209786.52704;-45.120503652039325
1739209786.5270436;-45.120503652039325
1739209786.5270472;-38.13080360867914
1739209786.5270507;-35.57807855764607
1739209786.527054;-38.13080360867914
1739209786.5270576;-45.120503652039325
1739209786.5270612;-35.57807855764607
1739209786.5270648;-35.57807855764607
1739209786.5270681;-45.120503652039325
1739209786.5270717;-38.13080360867914
1739209786.5270753;-33.981070128970906
1739209786.5270789;-38.13080360867914
1739209786.5270822;-38.13080360867914
1739209786.5270858;-32.816014438256545
1739209786.5270894;-38.13080360867914
1739209786.527093;-45.120503652039325
1739209786.5270965;-45.120503652039325
1739209786.5270998;-38.13080360867914
1739209786.5271034;-38.13080360867914
1739209786.527107;-45.120503652039325
1739209786.5271106;-45.120503652039325
1739209786.527114;-45.120503652039325
1739209786.5271175;-45.120503652039325
1739209786.527121;-45.120503652039325
1739209786.5271246;-45.120503652039325
1739209786.527128;-38.13080360867914
1739209786.5271316;-38.13080360867914
1739209786.5271351;-45.120503652039325
1739209786.5271387;-38.13080360867914
1739209786.5271423;-35.57807855764607
1739209786.5271456;-45.120503652039325
1739209786.5271492;-45.120503652039325
1739209786.5271528;-38.13080360867914
1739209786.5271564;-35.57807855764607
1739209786.5271597;-38.13080360867914
1739209786.5271633;-45.120503652039325
1739209786.5271668;-45.120503652039325
1739209786.5271704;-38.13080360867914
1739209786.5271738;-45.120503652039325
1739209786.5271773;-45.120503652039325
1739209786.527181;-45.120503652039325
1739209786.5271845;-45.120503652039325
1739209786.527188;-35.57807855764607
1739209786.5271914;-35.57807855764607
1739209786.527195;-38.13080360867914
1739209786.5271986;-38.13080360867914
1739209786.5272021;-35.57807855764607
1739209786.5272055;-33.981070128970906
1739209786.527209;-45.120503652039325
1739209786.5272126;-31.141103565318915
1739209786.5272162;-27.267205301931607
1739209786.5272195;-45.120503652039325
1739209786.527223;-45.120503652039325
1739209786.5272267;-38.13080360867914
1739209786.5272303;-33.981070128970906
1739209786.5272338;-45.120503652039325
1739209786.5272372;-45.120503652039325
1739209786.5272408;-45.120503652039325
1739209786.5272443;-45.120503652039325
1739209786.527248;-38.13080360867914
1739209786.5272512;-45.120503652039325
1739209786.5272548;-45.120503652039325
1739209786.5272584;-38.13080360867914
1739209786.527262;-33.981070128970906
1739209786.5272653;-45.120503652039325
1739209786.527269;-38.13080360867914
1739209786.5272725;-30.49652367304973
1739209786.527276;-38.13080360867914
