CAN Message; 0x150:0500a55e2ebfa30b
Timestamp;Amplitude
1739209678.7894685;-45.120503652039325
1739209678.7894719;-33.981070128970906
1739209678.789475;-35.57807855764607
1739209678.789478;-45.120503652039325
1739209678.7894814;-45.120503652039325
1739209678.7894845;-38.13080360867914
1739209678.7894878;-38.13080360867914
1739209678.789491;-35.57807855764607
1739209678.789494;-33.981070128970906
1739209678.7894974;-33.981070128970906
1739209678.7895005;-45.120503652039325
1739209678.7895038;-45.120503652039325
1739209678.789507;-38.13080360867914
1739209678.7895103;-38.13080360867914
1739209678.7895133;-45.120503652039325
1739209678.7895164;-33.981070128970906
1739209678.7895198;-38.13080360867914
1739209678.789523;-38.13080360867914
1739209678.7895262;-38.13080360867914
1739209678.7895293;-35.57807855764607
1739209678.7895324;-38.13080360867914
1739209678.7895358;-45.120503652039325
1739209678.7895389;-38.13080360867914
1739209678.7895422;-45.120503652039325
1739209678.7895453;-38.13080360867914
1739209678.7895484;-38.13080360867914
1739209678.7895517;-45.120503652039325
1739209678.7895548;-35.57807855764607
1739209678.7895582;-38.13080360867914
1739209678.7895613;-45.120503652039325
1739209678.7895644;-45.120503652039325
1739209678.7895677;-45.120503652039325
1739209678.7895708;-45.120503652039325
1739209678.7895741;-45.120503652039325
1739209678.7895772;-45.120503652039325
1739209678.7895803;-45.120503652039325
1739209678.7895837;-33.981070128970906
1739209678.7895868;-38.13080360867914
1739209678.7895901;-38.13080360867914
1739209678.7895932;-38.13080360867914
1739209678.7895963;-38.13080360867914
1739209678.7895997;-35.57807855764607
1739209678.7896028;-38.13080360867914
1739209678.789606;-38.13080360867914
1739209678.7896092;-45.120503652039325
1739209678.7896123;-35.57807855764607
1739209678.7896156;-35.57807855764607
1739209678.7896187;-38.13080360867914
1739209678.789622;-33.981070128970906
1739209678.7896252;-27.267205301931607
1739209678.7896285;-35.57807855764607
1739209678.7896316;-45.120503652039325
1739209678.7896347;-38.13080360867914
1739209678.789638;-33.981070128970906
1739209678.7896411;-45.120503652039325
1739209678.7896445;-33.981070128970906
1739209678.7896476;-33.981070128970906
1739209678.7896507;-30.49652367304976
1739209678.789654;-45.120503652039325
1739209678.789657;-38.13080360867914
1739209678.7896605;-38.13080360867914
1739209678.7896636;-45.120503652039325
1739209678.7896667;-35.57807855764607
1739209678.78967;-38.13080360867914
1739209678.789673;-35.57807855764607
1739209678.7896764;-30.49652367304973
