CAN Message; 0x1bb:000072eebfa6fdbf
Timestamp;Amplitude
1739209600.7151148;-45.120503652039325
1739209600.71512;-38.13080360867914
1739209600.715125;-32.816014438256545
1739209600.7151303;-38.13080360867914
1739209600.7151353;-45.120503652039325
1739209600.7151406;-38.13080360867914
1739209600.7151456;-45.120503652039325
1739209600.7151508;-38.13080360867914
1739209600.7151558;-35.57807855764607
1739209600.715161;-38.13080360867914
1739209600.715166;-45.120503652039325
1739209600.7151713;-38.13080360867914
1739209600.7151763;-38.13080360867914
1739209600.7151816;-38.13080360867914
1739209600.7151866;-45.120503652039325
1739209600.7151918;-38.13080360867914
1739209600.7151968;-45.120503652039325
1739209600.715202;-38.13080360867914
1739209600.715207;-35.57807855764607
1739209600.7152123;-38.13080360867914
1739209600.7152174;-38.13080360867914
1739209600.7152226;-38.13080360867914
1739209600.7152276;-38.13080360867914
1739209600.7152328;-38.13080360867914
1739209600.7152379;-45.120503652039325
1739209600.715243;-45.120503652039325
1739209600.715248;-38.13080360867914
1739209600.7152534;-38.13080360867914
1739209600.7152584;-45.120503652039325
1739209600.7152636;-45.120503652039325
1739209600.7152686;-45.120503652039325
1739209600.7152739;-33.981070128970906
1739209600.7152789;-38.13080360867914
1739209600.715284;-38.13080360867914
1739209600.715289;-38.13080360867914
1739209600.7152944;-38.13080360867914
1739209600.7152994;-45.120503652039325
1739209600.7153046;-38.13080360867914
1739209600.7153096;-35.57807855764607
1739209600.7153149;-45.120503652039325
1739209600.7153199;-45.120503652039325
1739209600.715325;-38.13080360867914
1739209600.7153301;-35.57807855764607
1739209600.7153354;-45.120503652039325
1739209600.7153404;-35.57807855764607
1739209600.7153456;-38.13080360867914
1739209600.7153506;-38.13080360867914
1739209600.7153559;-45.120503652039325
1739209600.7153609;-45.120503652039325
1739209600.7153661;-45.120503652039325
1739209600.7153711;-45.120503652039325
1739209600.7153764;-45.120503652039325
1739209600.7153814;-45.120503652039325
1739209600.7153866;-33.981070128970906
1739209600.7153916;-28.58837851428586
1739209600.715397;-45.120503652039325
1739209600.715402;-45.120503652039325
1739209600.715407;-33.981070128970906
1739209600.7154121;-38.13080360867914
1739209600.7154171;-45.120503652039325
1739209600.7154224;-45.120503652039325
1739209600.7154274;-45.120503652039325
1739209600.7154326;-38.13080360867914
1739209600.7154377;-38.13080360867914
1739209600.715443;-45.120503652039325
1739209600.715448;-45.120503652039325
1739209600.7154531;-45.120503652039325
1739209600.7154582;-45.120503652039325
1739209600.7154634;-45.120503652039325
1739209600.7154684;-38.13080360867914
1739209600.7154737;-45.120503652039325
1739209600.7154787;-35.57807855764607
1739209600.715484;-38.13080360867914
1739209600.715489;-45.120503652039325
1739209600.7154942;-45.120503652039325
1739209600.7154992;-45.120503652039325
1739209600.7155044;-45.120503652039325
1739209600.7155094;-38.13080360867914
1739209600.7155147;-35.57807855764607
1739209600.7155197;-38.13080360867914
1739209600.715525;-45.120503652039325
1739209600.71553;-38.13080360867914
1739209600.7155352;-38.13080360867914
1739209600.7155402;-45.120503652039325
1739209600.7155454;-45.120503652039325
1739209600.7155504;-45.120503652039325
1739209600.7155557;-45.120503652039325
1739209600.7155607;-38.13080360867914
1739209600.715566;-35.57807855764607
1739209600.715571;-33.981070128970906
1739209600.7155762;-45.120503652039325
1739209600.7155812;-45.120503652039325
1739209600.7155864;-35.57807855764607
1739209600.7155914;-38.13080360867914
1739209600.7155967;-32.816014438256545
1739209600.7156017;-38.13080360867914
1739209600.715607;-38.13080360867914
1739209600.715612;-45.120503652039325
1739209600.7156172;-45.120503652039325
1739209600.7156222;-33.981070128970906
1739209600.7156274;-45.120503652039325
1739209600.7156324;-38.13080360867914
1739209600.7156377;-38.13080360867914
1739209600.7156427;-45.120503652039325
1739209600.715648;-38.13080360867914
1739209600.715653;-38.13080360867914
1739209600.7156582;-45.120503652039325
1739209600.7156632;-38.13080360867914
