CAN Message; 0x1bb:00004813832e5bf6
Timestamp;Amplitude
1739209751.7952006;-45.120503652039325
1739209751.7952113;-45.120503652039325
1739209751.7952218;-45.120503652039325
1739209751.7952325;-38.13080360867914
1739209751.7952433;-38.13080360867914
1739209751.795254;-38.13080360867914
1739209751.7952645;-45.120503652039325
1739209751.7952752;-45.120503652039325
1739209751.795286;-33.981070128970906
1739209751.7952967;-35.57807855764607
1739209751.7953072;-45.120503652039325
1739209751.795318;-45.120503652039325
1739209751.7953286;-45.120503652039325
1739209751.7953393;-33.981070128970906
1739209751.7953498;-38.13080360867914
1739209751.7953606;-45.120503652039325
1739209751.7953713;-31.141103565318893
1739209751.795382;-33.981070128970906
1739209751.7953925;-32.816014438256545
1739209751.7954032;-35.57807855764607
1739209751.795414;-35.57807855764607
1739209751.7954247;-35.57807855764607
1739209751.7954352;-45.120503652039325
1739209751.795446;-38.13080360867914
1739209751.7954566;-38.13080360867914
1739209751.7954674;-38.13080360867914
1739209751.7954779;-45.120503652039325
1739209751.7954886;-45.120503652039325
1739209751.7954993;-33.981070128970906
1739209751.79551;-38.13080360867914
1739209751.7955205;-38.13080360867914
1739209751.7955313;-45.120503652039325
1739209751.795542;-45.120503652039325
1739209751.7955527;-38.13080360867914
1739209751.7955632;-32.816014438256545
1739209751.795574;-45.120503652039325
1739209751.7955847;-38.13080360867914
1739209751.7955954;-35.57807855764607
1739209751.795606;-38.13080360867914
1739209751.7956166;-38.13080360867914
1739209751.7956274;-45.120503652039325
1739209751.795638;-45.120503652039325
1739209751.7956488;-45.120503652039325
1739209751.7956593;-45.120503652039325
1739209751.79567;-45.120503652039325
1739209751.7956808;-45.120503652039325
1739209751.7956915;-38.13080360867914
1739209751.795702;-38.13080360867914
1739209751.7957127;-45.120503652039325
1739209751.7957234;-45.120503652039325
1739209751.7957342;-32.816014438256545
1739209751.7957447;-38.13080360867914
1739209751.7957554;-45.120503652039325
1739209751.795766;-45.120503652039325
1739209751.7957768;-35.57807855764607
1739209751.7957873;-38.13080360867914
1739209751.795798;-45.120503652039325
1739209751.7958088;-45.120503652039325
1739209751.7958195;-45.120503652039325
1739209751.79583;-38.13080360867914
1739209751.7958407;-45.120503652039325
1739209751.7958515;-38.13080360867914
1739209751.7958622;-38.13080360867914
1739209751.7958727;-38.13080360867914
1739209751.7958834;-45.120503652039325
1739209751.7958941;-38.13080360867914
1739209751.7959049;-33.981070128970906
1739209751.7959154;-38.13080360867914
1739209751.795926;-45.120503652039325
1739209751.7959368;-45.120503652039325
1739209751.7959476;-29.438486411369333
1739209751.795958;-32.816014438256545
1739209751.7959688;-45.120503652039325
1739209751.7959795;-45.120503652039325
1739209751.7959902;-33.981070128970906
1739209751.7960007;-32.816014438256545
1739209751.7960114;-45.120503652039325
1739209751.7960222;-32.816014438256545
1739209751.796033;-45.120503652039325
1739209751.7960434;-45.120503652039325
1739209751.7960541;-45.120503652039325
1739209751.7960649;-45.120503652039325
1739209751.7960756;-38.13080360867914
1739209751.796086;-38.13080360867914
1739209751.7960968;-35.57807855764607
1739209751.7961075;-45.120503652039325
1739209751.7961183;-38.13080360867914
1739209751.796129;-33.981070128970906
1739209751.7961395;-45.120503652039325
1739209751.7961502;-38.13080360867914
1739209751.796161;-38.13080360867914
1739209751.7961717;-38.13080360867914
1739209751.7961822;-38.13080360867914
1739209751.796193;-45.120503652039325
