CAN Message; 0x1a7:000092a663ab734b
Timestamp;Amplitude
1739209771.6101646;-45.120503652039325
1739209771.6101663;-45.120503652039325
1739209771.610168;-38.13080360867914
1739209771.6101694;-45.120503652039325
1739209771.610171;-45.120503652039325
1739209771.6101727;-33.981070128970906
1739209771.6101744;-35.57807855764607
1739209771.610176;-38.13080360867914
1739209771.6101778;-45.120503652039325
1739209771.6101794;-33.981070128970906
1739209771.6101809;-38.13080360867914
1739209771.6101825;-45.120503652039325
1739209771.6101842;-38.13080360867914
1739209771.6101859;-31.141103565318915
1739209771.6101875;-38.13080360867914
1739209771.6101892;-45.120503652039325
1739209771.6101909;-38.13080360867914
1739209771.6101925;-38.13080360867914
1739209771.610194;-45.120503652039325
1739209771.6101956;-45.120503652039325
1739209771.6101973;-45.120503652039325
1739209771.610199;-33.981070128970956
1739209771.6102006;-45.120503652039325
1739209771.6102023;-45.120503652039325
1739209771.610204;-45.120503652039325
1739209771.6102054;-45.120503652039325
1739209771.610207;-45.120503652039325
1739209771.6102087;-45.120503652039325
1739209771.6102104;-38.13080360867914
1739209771.610212;-28.992665084841942
1739209771.6102138;-45.120503652039325
1739209771.6102154;-45.120503652039325
1739209771.6102169;-45.120503652039325
1739209771.6102185;-38.13080360867914
1739209771.6102202;-45.120503652039325
1739209771.6102219;-45.120503652039325
1739209771.6102235;-45.120503652039325
1739209771.6102252;-38.13080360867914
1739209771.6102269;-38.13080360867914
1739209771.6102283;-45.120503652039325
1739209771.61023;-38.13080360867914
1739209771.6102316;-38.13080360867914
1739209771.6102333;-45.120503652039325
1739209771.610235;-45.120503652039325
1739209771.6102366;-38.13080360867914
1739209771.6102383;-38.13080360867914
1739209771.6102397;-45.120503652039325
1739209771.6102414;-38.13080360867914
1739209771.610243;-38.13080360867914
1739209771.6102448;-38.13080360867914
1739209771.6102464;-38.13080360867914
1739209771.610248;-38.13080360867914
1739209771.6102498;-45.120503652039325
1739209771.6102514;-27.8777449560314
1739209771.6102529;-30.49652367304973
1739209771.6102545;-45.120503652039325
1739209771.6102562;-45.120503652039325
1739209771.6102579;-38.13080360867914
1739209771.6102595;-45.120503652039325
1739209771.6102612;-45.120503652039325
1739209771.6102629;-35.57807855764607
1739209771.6102643;-38.13080360867914
1739209771.610266;-45.120503652039325
1739209771.6102676;-38.13080360867914
1739209771.6102693;-45.120503652039325
1739209771.610271;-45.120503652039325
1739209771.6102726;-45.120503652039325
1739209771.6102743;-33.981070128970906
1739209771.6102757;-45.120503652039325
1739209771.6102774;-38.13080360867914
1739209771.610279;-32.816014438256545
1739209771.6102808;-38.13080360867914
1739209771.6102824;-38.13080360867914
1739209771.610284;-45.120503652039325
1739209771.6102858;-45.120503652039325
1739209771.6102872;-35.57807855764607
1739209771.6102889;-45.120503652039325
1739209771.6102905;-38.13080360867914
1739209771.6102922;-38.13080360867914
1739209771.6102939;-38.13080360867914
1739209771.6102955;-38.13080360867914
1739209771.6102972;-30.49652367304973
