CAN Message; 0x24:038532220af4f1e6
Timestamp;Amplitude
1739209683.5010905;-38.13080360867914
1739209683.5010984;-45.120503652039325
1739209683.501106;-38.13080360867914
1739209683.501114;-33.981070128970906
1739209683.5011215;-38.13080360867914
1739209683.5011294;-45.120503652039325
1739209683.501137;-45.120503652039325
1739209683.5011446;-45.120503652039325
1739209683.5011525;-38.13080360867914
1739209683.5011601;-45.120503652039325
1739209683.501168;-35.57807855764607
1739209683.5011756;-38.13080360867914
1739209683.5011835;-45.120503652039325
1739209683.5011911;-45.120503652039325
1739209683.5011988;-33.981070128970906
1739209683.5012066;-35.57807855764607
1739209683.5012143;-45.120503652039325
1739209683.5012221;-45.120503652039325
1739209683.5012298;-38.13080360867914
1739209683.5012374;-33.981070128970906
1739209683.5012453;-38.13080360867914
1739209683.501253;-38.13080360867914
1739209683.5012608;-38.13080360867914
1739209683.5012684;-38.13080360867914
1739209683.5012763;-45.120503652039325
1739209683.501284;-45.120503652039325
1739209683.5012915;-45.120503652039325
1739209683.5012994;-45.120503652039325
1739209683.501307;-38.13080360867914
1739209683.5013149;-45.120503652039325
1739209683.5013225;-33.981070128970906
1739209683.5013304;-45.120503652039325
1739209683.501338;-45.120503652039325
1739209683.5013456;-45.120503652039325
1739209683.5013535;-45.120503652039325
1739209683.5013611;-38.13080360867914
1739209683.501369;-45.120503652039325
1739209683.5013766;-38.13080360867914
1739209683.5013845;-45.120503652039325
1739209683.5013921;-35.57807855764607
1739209683.5013998;-45.120503652039325
1739209683.5014076;-45.120503652039325
1739209683.5014153;-45.120503652039325
1739209683.5014231;-28.992665084841942
1739209683.5014307;-31.141103565318915
1739209683.5014386;-38.13080360867914
1739209683.5014462;-38.13080360867914
1739209683.5014539;-45.120503652039325
1739209683.5014617;-45.120503652039325
1739209683.5014694;-45.120503652039325
1739209683.5014772;-38.13080360867914
1739209683.5014849;-32.816014438256545
1739209683.5014927;-31.141103565318915
1739209683.5015004;-38.13080360867914
1739209683.501508;-38.13080360867914
1739209683.5015159;-45.120503652039325
1739209683.5015235;-45.120503652039325
1739209683.5015314;-45.120503652039325
1739209683.501539;-45.120503652039325
1739209683.5015466;-33.981070128970906
1739209683.5015545;-31.141103565318915
1739209683.501562;-38.13080360867914
1739209683.50157;-38.13080360867914
1739209683.5015776;-33.981070128970906
1739209683.5015855;-33.981070128970906
1739209683.501593;-38.13080360867914
1739209683.5016007;-45.120503652039325
1739209683.5016086;-33.981070128970906
1739209683.5016162;-33.981070128970906
1739209683.501624;-33.981070128970906
1739209683.5016317;-38.13080360867914
1739209683.5016396;-38.13080360867914
1739209683.5016472;-38.13080360867914
1739209683.5016549;-45.120503652039325
1739209683.5016627;-45.120503652039325
1739209683.5016704;-31.141103565318915
1739209683.5016782;-33.981070128970906
1739209683.5016859;-38.13080360867914
1739209683.5016937;-45.120503652039325
1739209683.5017014;-38.13080360867914
1739209683.501709;-38.13080360867914
1739209683.5017169;-35.57807855764607
1739209683.5017245;-45.120503652039325
1739209683.5017323;-38.13080360867914
1739209683.50174;-31.141103565318915
1739209683.5017478;-38.13080360867914
1739209683.5017555;-45.120503652039325
1739209683.501763;-38.13080360867914
1739209683.501771;-38.13080360867914
1739209683.5017786;-38.13080360867914
1739209683.5017865;-45.120503652039325
1739209683.501794;-45.120503652039325
1739209683.501802;-38.13080360867914
1739209683.5018096;-38.13080360867914
1739209683.5018172;-45.120503652039325
1739209683.501825;-45.120503652039325
1739209683.5018327;-38.13080360867914
1739209683.5018406;-45.120503652039325
1739209683.5018482;-38.13080360867914
1739209683.5018559;-45.120503652039325
1739209683.5018637;-35.57807855764607
1739209683.5018713;-33.981070128970906
1739209683.5018792;-38.13080360867914
1739209683.5018868;-45.120503652039325
1739209683.5018947;-35.57807855764607
1739209683.5019023;-35.57807855764607
1739209683.50191;-45.120503652039325
1739209683.5019178;-38.13080360867914
1739209683.5019255;-27.267205301931607
1739209683.5019333;-38.13080360867914
1739209683.501941;-45.120503652039325
1739209683.5019488;-38.13080360867914
1739209683.5019565;-38.13080360867914
1739209683.501964;-38.13080360867914
1739209683.501972;-38.13080360867914
1739209683.5019796;-45.120503652039325
1739209683.5019875;-38.13080360867914
1739209683.501995;-45.120503652039325
1739209683.502003;-38.13080360867914
1739209683.5020106;-45.120503652039325
1739209683.5020182;-38.13080360867914
1739209683.502026;-38.13080360867914
1739209683.5020337;-45.120503652039325
1739209683.5020416;-38.13080360867914
1739209683.5020492;-38.13080360867914
1739209683.502057;-38.13080360867914
1739209683.5020647;-45.120503652039325
1739209683.5020723;-45.120503652039325
1739209683.5020802;-38.13080360867914
1739209683.5020878;-38.13080360867914
1739209683.5020957;-45.120503652039325
1739209683.5021033;-45.120503652039325
1739209683.502111;-33.981070128970906
1739209683.5021188;-45.120503652039325
1739209683.5021265;-45.120503652039325
