CAN Message; 0x150:0300a674f5deeb81
Timestamp;Amplitude
1739209613.020074;-45.120503652039325
1739209613.020082;-35.57807855764607
1739209613.0200903;-45.120503652039325
1739209613.0200984;-38.13080360867914
1739209613.0201068;-45.120503652039325
1739209613.0201151;-45.120503652039325
1739209613.0201232;-35.57807855764607
1739209613.0201316;-38.13080360867914
1739209613.02014;-45.120503652039325
1739209613.020148;-45.120503652039325
1739209613.0201564;-45.120503652039325
1739209613.0201645;-38.13080360867914
1739209613.0201728;-38.13080360867914
1739209613.0201812;-45.120503652039325
1739209613.0201893;-38.13080360867914
1739209613.0201976;-45.120503652039325
1739209613.0202057;-30.49652367304973
1739209613.020214;-30.49652367304973
1739209613.0202224;-38.13080360867914
1739209613.0202305;-38.13080360867914
1739209613.0202389;-33.981070128970906
1739209613.0202472;-38.13080360867914
1739209613.0202553;-38.13080360867914
1739209613.0202637;-38.13080360867914
1739209613.0202718;-45.120503652039325
1739209613.0202801;-35.57807855764607
1739209613.0202885;-45.120503652039325
1739209613.0202966;-33.981070128970906
1739209613.020305;-38.13080360867914
1739209613.020313;-45.120503652039325
1739209613.0203214;-45.120503652039325
1739209613.0203297;-45.120503652039325
1739209613.0203378;-35.57807855764607
1739209613.0203462;-38.13080360867914
1739209613.0203545;-38.13080360867914
1739209613.0203626;-45.120503652039325
1739209613.020371;-38.13080360867914
1739209613.020379;-45.120503652039325
1739209613.0203874;-45.120503652039325
1739209613.0203958;-45.120503652039325
1739209613.0204039;-45.120503652039325
1739209613.0204122;-45.120503652039325
1739209613.0204203;-45.120503652039325
1739209613.0204287;-38.13080360867914
1739209613.020437;-38.13080360867914
1739209613.020445;-45.120503652039325
1739209613.0204535;-45.120503652039325
1739209613.0204618;-38.13080360867914
1739209613.02047;-38.13080360867914
1739209613.0204782;-45.120503652039325
1739209613.0204864;-45.120503652039325
1739209613.0204947;-33.981070128970906
1739209613.020503;-31.141103565318915
1739209613.0205112;-45.120503652039325
1739209613.0205195;-38.13080360867914
1739209613.0205276;-45.120503652039325
1739209613.020536;-38.13080360867914
1739209613.0205443;-38.13080360867914
1739209613.0205524;-45.120503652039325
1739209613.0205607;-38.13080360867914
1739209613.020569;-35.57807855764607
1739209613.0205772;-45.120503652039325
1739209613.0205855;-45.120503652039325
1739209613.0205936;-38.13080360867914
